note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[31],"[[158, 329, 461, 355]]",7,[31],"[[155, 724, 468, 747]]",[UUID('3ffd91bf-d082-32e0-8ab6-9f55368456c2')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7455083a0>],"['6', '6']"
7,,[31],"[[155, 724, 468, 747]]",8,[32],"[[148, 330, 309, 353]]",[UUID('efc7774e-5b47-3490-8eeb-2c286806460d')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef745508280>],"['7', '7']"
8,,[32],"[[148, 330, 309, 353]]",9,[32],"[[147, 628, 395, 653]]",[UUID('7ffc0a3b-a55e-307d-9649-743ca64b4f05')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef742450d30>],['8']
18,,[38],"[[147, 784, 496, 811]]",19,[39],"[[1006, 1490, 1027, 1510]]","[UUID('c82d3967-1d22-3b50-b047-faa207097b80'), UUID('0c9479d3-d63e-3960-beae-c5073ac8fc74')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef742450f70>, <UAT_app.database.db_models.TableLogs object at 0x7ef742450a60>]","['18', '18', '18', '18']"
12,,[34],"[[148, 862, 388, 885]]",13,[34],"[[146, 1028, 269, 1054]]",[UUID('a93e7ca8-19c3-3fb0-b83f-55185b130a10')],"[[18, 19, 20, 21, 22]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef6b5fe50d0>],['12']
10,,[33],"[[155, 332, 491, 358]]",11,[34],"[[148, 327, 647, 353]]","[UUID('8536f2f0-4b7d-31ea-bb24-87bedf677232'), UUID('a93e7ca8-19c3-3fb0-b83f-55185b130a10')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef6c5861550>, <UAT_app.database.db_models.TableLogs object at 0x7ef6b5fe50d0>]",['10']
11,,[34],"[[148, 327, 647, 353]]",12,[34],"[[148, 862, 388, 885]]",[UUID('a93e7ca8-19c3-3fb0-b83f-55185b130a10')],"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef6b5fe50d0>],['11']
5,,[28],"[[146, 1067, 307, 1092]]",6,[29],"[[1006, 1490, 1028, 1510]]","[UUID('d3ad3623-c706-37c6-93e7-62c3757eab4a'), UUID('c4af688b-9ee0-3a90-a510-1fc0d80f6f74'), UUID('cb9d1961-5837-35a3-a1ae-0ea3e9a9abe8'), UUID('2b99a9ca-f3c4-33ba-802d-bd3b9e90df5f')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], [0, 1, 2, 3, 4, 5, 6, 7]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7411b1730>, <UAT_app.database.db_models.TableLogs object at 0x7ef6c58610d0>, <UAT_app.database.db_models.TableLogs object at 0x7ef6c58615b0>, <UAT_app.database.db_models.TableLogs object at 0x7ef6c5861160>]","['5', '5']"
14,,[36],"[[147, 1061, 469, 1087]]",15,[37],"[[154, 330, 459, 357]]",[UUID('fc1bd256-17d8-3f0a-a971-b4387b435e7b')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7437cde80>],"['14', '14']"
15,,[37],"[[154, 330, 459, 357]]",16,[37],"[[153, 615, 310, 641]]",[UUID('6a6fa2c9-e5ce-3b4c-a40a-88fcd71cf86a')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef745508a90>],"['15', '15']"
16,,[37],"[[153, 615, 310, 641]]",17,[37],"[[151, 1138, 441, 1161]]",[UUID('7bd37b83-b93f-38f0-9486-5adfc77f880f')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef740c7ad00>],"['16', '16']"
17,,[37],"[[151, 1138, 441, 1161]]",18,[38],"[[147, 784, 496, 811]]","[UUID('7bd37b83-b93f-38f0-9486-5adfc77f880f'), UUID('69631cb4-e4a5-3bb1-9ca1-62929ef12dc2')]","[[18, 19, 20, 21, 22, 23, 24, 25, 26, 27], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef740c7ad00>, <UAT_app.database.db_models.TableLogs object at 0x7ef7fa6e3a00>]","['17', '17']"
20,,[42],"[[150, 329, 460, 355]]",21,[43],"[[155, 539, 493, 562]]","[UUID('ee76a311-0e80-3e20-a1b8-1a1f31483ba9'), UUID('54c6afcb-4967-3241-9035-1a2955b9ec2a')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7424506a0>, <UAT_app.database.db_models.TableLogs object at 0x7ef742450730>]","['20', '20']"
4,1,[27],"[[157, 365, 585, 389]]",4.2,[27],"[[153, 1115, 336, 1138]]",[UUID('58bf518f-18ea-36dc-b9ff-22fb3cf5a1fe')],"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7fa6e3100>],['4.1']
4,5,[28],"[[148, 674, 352, 696]]",4.6,[28],"[[147, 852, 334, 873]]",[UUID('f88ce07f-3d06-3687-9623-5d2d1b765cb6')],"[[11, 12, 13, 14, 15, 16, 17]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef745a1ba30>],['4.5']
4,2,[27],"[[153, 1115, 336, 1138]]",4.3,[28],"[[150, 366, 381, 391]]","[UUID('58bf518f-18ea-36dc-b9ff-22fb3cf5a1fe'), UUID('f88ce07f-3d06-3687-9623-5d2d1b765cb6')]","[[31, 32, 33, 34, 35, 27, 28, 29, 30], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7fa6e3100>, <UAT_app.database.db_models.TableLogs object at 0x7ef745a1ba30>]",['4.2']
4,4,[28],"[[148, 449, 352, 473]]",4.5,[28],"[[148, 674, 352, 696]]",[UUID('f88ce07f-3d06-3687-9623-5d2d1b765cb6')],"[[3, 4, 5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef745a1ba30>],['4.4']
4,6,[28],"[[147, 852, 334, 873]]",4.7,[29],"[[1006, 1490, 1028, 1510]]","[UUID('d3ad3623-c706-37c6-93e7-62c3757eab4a'), UUID('f88ce07f-3d06-3687-9623-5d2d1b765cb6'), UUID('c4af688b-9ee0-3a90-a510-1fc0d80f6f74'), UUID('cb9d1961-5837-35a3-a1ae-0ea3e9a9abe8'), UUID('2b99a9ca-f3c4-33ba-802d-bd3b9e90df5f')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8], [17, 18, 19, 20, 21, 22, 23], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], [0, 1, 2, 3, 4, 5, 6, 7]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7411b1730>, <UAT_app.database.db_models.TableLogs object at 0x7ef745a1ba30>, <UAT_app.database.db_models.TableLogs object at 0x7ef6c58610d0>, <UAT_app.database.db_models.TableLogs object at 0x7ef6c58615b0>, <UAT_app.database.db_models.TableLogs object at 0x7ef6c5861160>]",['4.6']
