note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
8,,[20],"[[54, 210, 365, 235]]",9,[20],"[[57, 437, 380, 462]]",[UUID('702cd807-2c32-3ea0-a4d6-3b98a415e2be')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2df29c5460>],"['8', '8']"
9,,[20],"[[57, 437, 380, 462]]",10,[20],"[[62, 804, 226, 827]]",[UUID('3d24bf49-f35b-36ee-bf5f-fe6647311fb5')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2df3890af0>],['9']
10,,[20],"[[62, 804, 226, 827]]",11,[20],"[[68, 1299, 246, 1322]]",[UUID('04860837-e821-3ee9-b08c-9d6cef4ddf41')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2df38908b0>],['10']
11,,[20],"[[68, 1299, 246, 1322]]",12,[21],"[[53, 210, 406, 238]]",[UUID('e9620c26-50c0-3781-8f0a-103f342d7d15')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2df29e7f40>],['11']
12,,[21],"[[53, 210, 406, 238]]",13,[21],"[[61, 850, 185, 877]]",[UUID('9c672fe0-2ae4-3a91-873a-b338bd6d9a64')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2df29ed0a0>],['12']
14,,[23],"[[53, 212, 274, 238]]",15,[23],"[[62, 1051, 365, 1076]]",[UUID('8c36231a-940f-3ddc-9c73-92396e1d40c5')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2df496dac0>],['14']
15,,[23],"[[62, 1051, 365, 1076]]",16,[24],"[[53, 204, 327, 230]]",[UUID('080f7910-8511-36fe-86ee-80203bfde08e')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2df496d910>],['15']
16,,[24],"[[53, 204, 327, 230]]",17,[24],"[[59, 878, 217, 905]]","[UUID('66ee42b2-17c4-3aa5-8242-8a4ba97d15e4'), UUID('da5e4fd5-3a74-33e7-9090-157ede3e1ac7')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7f2df47cec70>, <UAT_app.database.db_models.TableLogs object at 0x7f2df47ced30>]",['16']
17,,[24],"[[59, 878, 217, 905]]",18,[25],"[[57, 215, 293, 241]]",[UUID('8c324fa5-0e56-3f16-a590-9efc25d2fce3')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2df47ce0d0>],"['17', '17']"
18,,[25],"[[57, 215, 293, 241]]",19,[25],"[[59, 574, 311, 602]]",[UUID('7629e09e-406f-3e78-abad-309666cea89d')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2df29e76d0>],"['18', '18']"
