note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[23],"[[163, 345, 272, 370]]",7,[23],"[[162, 550, 404, 573]]",[UUID('8dc79a6c-cc29-3329-834d-60e9132d8c69')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d48436370>],['6']
7,,[23],"[[162, 550, 404, 573]]",8,[24],"[[162, 628, 384, 651]]","[UUID('8dc79a6c-cc29-3329-834d-60e9132d8c69'), UUID('a61b34b2-cfd3-31de-8539-e59cc9e9b2c6')]","[[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d48436370>, <UAT_app.database.db_models.TableLogs object at 0x7f1d48436c10>]","['7', '7']"
8,,[24],"[[162, 628, 384, 651]]",9,[25],"[[162, 348, 516, 371]]",[UUID('e0f663e4-e6ef-3476-af7b-229b13551d9a')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d48436f10>],"['8', '8']"
9,,[25],"[[162, 348, 516, 371]]",10,[26],"[[172, 329, 424, 352]]",[UUID('e6f78ac5-6cc0-3a4b-b228-8f1422d55309')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1cd644c3d0>],"['9', '9']"
10,,[26],"[[172, 329, 424, 352]]",11,[27],"[[162, 343, 376, 371]]",[UUID('b47fa600-c233-31a9-b310-6724550d08ab')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d46b8ba60>],['10']
11,,[27],"[[162, 343, 376, 371]]",12,[27],"[[161, 809, 452, 837]]",[UUID('54c05a16-4de6-3357-8b96-7b46e20a8644')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d49a0e4c0>],['11']
5,,[22],"[[163, 343, 324, 368]]",6,[23],"[[163, 345, 272, 370]]","[UUID('e7d9b245-8267-3085-a5b5-8b7c8be8b25a'), UUID('98f66561-5cd3-3fd8-ba4d-64fcd79fb626'), UUID('b61907f7-29d8-3d8a-861e-f3e628dc83d4')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d48436eb0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d48436a30>, <UAT_app.database.db_models.TableLogs object at 0x7f1d48436d90>]","['5', '5']"
12,,[27],"[[161, 809, 452, 837]]",13,[28],"[[162, 345, 467, 373]]",[UUID('54c05a16-4de6-3357-8b96-7b46e20a8644')],"[[12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d49a0e4c0>],['12']
13,,[28],"[[162, 345, 467, 373]]",14,[28],"[[163, 626, 572, 652]]",[UUID('ac400268-3dd9-32a4-9dd5-ffb173f9b028')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d47958f70>],"['13', '13']"
14,,[28],"[[163, 626, 572, 652]]",15,[29],"[[161, 812, 393, 840]]","[UUID('e3a1c4bf-e757-3537-bdd8-2d54a6ff2a13'), UUID('2a18fbaf-1cd4-39d7-8fb6-adf5ca36d6ab')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d46a97a00>, <UAT_app.database.db_models.TableLogs object at 0x7f1d46a970a0>]","['14', '14']"
15,,[29],"[[161, 812, 393, 840]]",16,[29],"[[163, 1026, 522, 1050]]",[UUID('1157dfac-ae3e-354f-a26c-9c21b09d148a')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d46a979a0>],['15']
4,1,[21],"[[162, 381, 373, 402]]",4.2,[21],"[[162, 557, 344, 580]]",[UUID('ba1e7be1-4347-308f-8323-db43715956fa')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d49a0ebe0>],['4.1']
4,2,[21],"[[162, 557, 344, 580]]",4.3,[21],"[[162, 792, 364, 815]]",[UUID('e0ca66bc-d853-35ef-9cbf-21e480a7b669')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d44efcb50>],['4.2']
4,3,[21],"[[162, 792, 364, 815]]",4.4,[22],"[[1011, 1499, 1032, 1521]]","[UUID('58b11cd3-3486-3b09-82a0-1df64ec940b3'), UUID('e7d9b245-8267-3085-a5b5-8b7c8be8b25a'), UUID('98f66561-5cd3-3fd8-ba4d-64fcd79fb626'), UUID('b61907f7-29d8-3d8a-861e-f3e628dc83d4')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d44efc760>, <UAT_app.database.db_models.TableLogs object at 0x7f1d48436eb0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d48436a30>, <UAT_app.database.db_models.TableLogs object at 0x7f1d48436d90>]",['4.3']
