note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
12,,[24],"[[183, 258, 892, 369]]",13,[24],"[[187, 379, 893, 530]]",[UUID('c9e0a643-d8ea-3914-aead-63c39a17fae0')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7feaddfd63a0>],"['12', '12']"
11,,[23],"[[177, 266, 885, 392]]",12,[24],"[[183, 258, 892, 369]]","[UUID('f64d063f-19fa-3744-92f4-72d76c796869'), UUID('c9e0a643-d8ea-3914-aead-63c39a17fae0')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7feaf26aff10>, <UAT_app.database.db_models.TableLogs object at 0x7feaddfd63a0>]","['11', '11', '11', '11', '11']"
14,,[24],"[[188, 622, 277, 640]]",15,[24],"[[186, 810, 892, 961]]","[UUID('c9e0a643-d8ea-3914-aead-63c39a17fae0'), UUID('c27d9521-b2bb-3d37-98c6-8238f14ca3f9')]","[[20, 21, 22, 23, 24, 25, 26, 27, 28, 29], [0, 1, 2, 3, 4, 5, 6, 7, 8]]","[<UAT_app.database.db_models.TableLogs object at 0x7feaddfd63a0>, <UAT_app.database.db_models.TableLogs object at 0x7feadce42e80>]",['14']
15,,[24],"[[186, 810, 892, 961]]",16,[24],"[[184, 1042, 893, 1109]]",[UUID('c27d9521-b2bb-3d37-98c6-8238f14ca3f9')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7feadce42e80>],"['15', '15']"
16,,[24],"[[184, 1042, 893, 1109]]",17,[25],"[[177, 276, 883, 461]]","[UUID('c27d9521-b2bb-3d37-98c6-8238f14ca3f9'), UUID('727b17e2-e06d-3e71-9fb5-0fed1792976c')]","[[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29], [0, 1, 2, 3, 4, 5, 6, 7, 8]]","[<UAT_app.database.db_models.TableLogs object at 0x7feadce42e80>, <UAT_app.database.db_models.TableLogs object at 0x7feadce42430>]",['16']
17,,[25],"[[177, 276, 883, 461]]",18,[25],"[[181, 640, 283, 659]]",[UUID('727b17e2-e06d-3e71-9fb5-0fed1792976c')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7feadce42430>],['17']
18,,[25],"[[181, 640, 283, 659]]",19,[26],"[[207, 895, 892, 1017]]","[UUID('ca3cbed7-72c5-3eef-9d5a-a5419bb42477'), UUID('ced70ba4-980b-33b8-9364-5f53377a41c4'), UUID('9b821999-7e74-3781-b0ca-4573e48a1185'), UUID('f74161cf-0a5d-3c02-ba1c-5fab40b41d6a'), UUID('16c264eb-9db0-36ed-9b15-e4208f81da1d')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7feaddfc1400>, <UAT_app.database.db_models.TableLogs object at 0x7feaddd08220>, <UAT_app.database.db_models.TableLogs object at 0x7feaf3d42880>, <UAT_app.database.db_models.TableLogs object at 0x7feaf3d420a0>, <UAT_app.database.db_models.TableLogs object at 0x7feaf3d42610>]",['18']
21,,[26],"[[184, 274, 478, 313]]",22,[26],"[[187, 481, 321, 501]]",[UUID('16c264eb-9db0-36ed-9b15-e4208f81da1d')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7feaf3d42610>],['21']
22,,[26],"[[187, 481, 321, 501]]",23,[26],"[[186, 728, 276, 747]]",[UUID('f74161cf-0a5d-3c02-ba1c-5fab40b41d6a')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7feaf3d420a0>],"['22', '22']"
23,,[26],"[[186, 728, 276, 747]]",24,[27],"[[181, 312, 325, 331]]",[UUID('9b821999-7e74-3781-b0ca-4573e48a1185')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7feaf3d42880>],"['23', '23']"
10,,[22],"[[177, 1204, 319, 1226]]",11,[23],"[[177, 266, 885, 392]]","[UUID('be5efa01-8db2-368e-b918-1f8996b505f7'), UUID('f64d063f-19fa-3744-92f4-72d76c796869')]","[[34, 35, 36, 37, 38], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7feaddf9b3d0>, <UAT_app.database.db_models.TableLogs object at 0x7feaf26aff10>]",['10']
