note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[24],"[[209, 231, 412, 249]]",7,[24],"[[208, 501, 341, 519]]",[UUID('61fa4cc6-84c3-301c-9e21-40f967c44829')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf5a2d400>],"['6', '6']"
7,,[24],"[[208, 501, 341, 519]]",8,[24],"[[209, 805, 902, 836]]",[UUID('f963f458-b00a-3268-a311-b0d25f15d8a6')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf5a2d580>],"['7', '7']"
5,(c),[23],"[[173, 305, 416, 327]]",(d),[24],"[[1114, 1498, 1138, 1518]]","[UUID('65c040c5-6607-3011-afc5-0b4b481e2039'), UUID('f963f458-b00a-3268-a311-b0d25f15d8a6'), UUID('61fa4cc6-84c3-301c-9e21-40f967c44829')]","[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdaf68b7f10>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf5a2d580>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf5a2d400>]","['5(c)', '5(c)']"
5,(a),[22],"[[177, 885, 330, 907]]",(b),[22],"[[179, 517, 1004, 598]]",[],[],[],['5(a)']
12,,[26],"[[204, 465, 954, 497]]",13,[26],"[[204, 678, 956, 713]]",[UUID('5620778f-c344-319d-a60a-8a90aec2dcab')],"[[7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba813ee80>],['12']
11,,[26],"[[204, 246, 440, 269]]",12,[26],"[[204, 465, 954, 497]]",[UUID('5620778f-c344-319d-a60a-8a90aec2dcab')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba813ee80>],"['11', '11']"
14,,[27],"[[151, 256, 508, 277]]",15,[28],"[[207, 244, 381, 266]]","[UUID('543b3167-23c8-303b-8968-e666fdebf7cb'), UUID('e6f6db02-882e-3afd-92be-6eb3a1b5124f'), UUID('8a0574a3-022b-380e-80f6-bf5651db462e'), UUID('13fb2260-39f8-3bd0-9f41-2340d208db8e')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7fda6ebf8df0>, <UAT_app.database.db_models.TableLogs object at 0x7fda6ebf8250>, <UAT_app.database.db_models.TableLogs object at 0x7fda6ebf8490>, <UAT_app.database.db_models.TableLogs object at 0x7fdba776fa30>]","['14', '14']"
15,,[28],"[[207, 244, 381, 266]]",16,[28],"[[205, 737, 479, 757]]",[UUID('13fb2260-39f8-3bd0-9f41-2340d208db8e')],"[[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba776fa30>],['15']
4,(a),[22],"[[179, 373, 1003, 414]]",(b),[22],"[[179, 517, 1004, 598]]",[UUID('737e1444-036c-39ec-af6e-9b44d43b250d')],"[[6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6d4e0550>],['4(a)']
4,(b),"[22, 22]","[[179, 517, 1004, 598], [179, 1183, 565, 1204]]",(c),[22],"[[179, 639, 287, 662]]",[UUID('737e1444-036c-39ec-af6e-9b44d43b250d')],"[[12, 13, 14, 15, 16, 17]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6d4e0550>],['4(b)']
4,(c),[22],"[[179, 639, 287, 662]]",(d),[23],"[[1111, 1498, 1136, 1518]]","[UUID('737e1444-036c-39ec-af6e-9b44d43b250d'), UUID('65c040c5-6607-3011-afc5-0b4b481e2039')]","[[17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]]","[<UAT_app.database.db_models.TableLogs object at 0x7fda6d4e0550>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf68b7f10>]",['4(c)']
