note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
8,,[22],"[[82, 803, 381, 827]]",9,[22],"[[83, 1021, 394, 1046]]",[UUID('f08927ae-b5e8-343a-896a-980ae17550b3')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f3549966a30>],"['8', '8']"
9,,[22],"[[83, 1021, 394, 1046]]",10,[23],"[[88, 238, 246, 264]]",[UUID('eed671a5-8370-3640-adfd-94b197829437')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f3549946700>],['9']
10,,[23],"[[88, 238, 246, 264]]",11,[23],"[[87, 794, 257, 816]]",[UUID('3d356975-1833-3224-a183-2860024a6b24')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7f3549946160>],['10']
11,,[23],"[[87, 794, 257, 816]]",12,[24],"[[80, 236, 417, 261]]",[UUID('28f19f46-b44f-371f-a173-de1aedfcbc8d')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f3549946970>],['11']
12,,[24],"[[80, 236, 417, 261]]",13,[24],"[[84, 921, 201, 942]]",[UUID('73d1aa61-0c29-312e-b35e-b83b7bb7388b')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]",[<UAT_app.database.db_models.TableLogs object at 0x7f354994db50>],['12']
14,,[26],"[[81, 233, 292, 258]]",15,[26],"[[83, 1041, 373, 1067]]",[UUID('e61a2a39-da67-3d25-9726-e899e644e21d')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]]",[<UAT_app.database.db_models.TableLogs object at 0x7f3548a01b20>],['14']
7,,[21],"[[90, 245, 268, 268]]",8,[22],"[[82, 803, 381, 827]]","[UUID('ff492f1d-cabe-3096-a94e-0a5f1fde6e9d'), UUID('b9a53742-b18b-363a-b38c-4a70fa2463cd'), UUID('9eee2427-a503-3a72-b4c8-6f04de0a1c05'), UUID('1138e6af-7ba4-3ebe-a1dd-ef4151b9ac50')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[<UAT_app.database.db_models.TableLogs object at 0x7f3549973f10>, <UAT_app.database.db_models.TableLogs object at 0x7f3549973bb0>, <UAT_app.database.db_models.TableLogs object at 0x7f3549973e50>, <UAT_app.database.db_models.TableLogs object at 0x7f354a76fd30>]","['7', '7']"
15,,[26],"[[83, 1041, 373, 1067]]",16,[27],"[[90, 236, 352, 263]]",[UUID('35f7adbf-25ae-3945-8a5a-6b72884567d5')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7f354996a670>],['15']
16,,[27],"[[90, 236, 352, 263]]",17,[27],"[[89, 941, 240, 964]]","[UUID('878e36d5-ae95-3d11-b45a-d2aefb1f6218'), UUID('ae950544-9727-3d3b-b903-b6fa0b5bd3ee')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7f3549940a00>, <UAT_app.database.db_models.TableLogs object at 0x7f354996adf0>]",['16']
17,,[27],"[[89, 941, 240, 964]]",18,[28],"[[81, 235, 306, 259]]","[UUID('1137bc73-8582-399f-b394-59d7b5589d93'), UUID('302e21ae-4044-3604-a218-3c9210d89319')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7f3548a01b50>, <UAT_app.database.db_models.TableLogs object at 0x7f3549940910>]","['17', '17']"
18,,[28],"[[81, 235, 306, 259]]",19,[28],"[[83, 590, 244, 617]]",[UUID('3f304ea3-6f72-36ac-8c88-52d2fd275cee')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f354a7fcd60>],"['18', '18']"
19,,[28],"[[83, 590, 244, 617]]",20,[29],"[[90, 243, 287, 268]]","[UUID('d7ceb914-4714-3689-989a-cc1e6ba3d1f4'), UUID('5f3d98fe-aa94-37cf-aad5-044b1335b4f8')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7f35499489d0>, <UAT_app.database.db_models.TableLogs object at 0x7f3549948160>]",['19']
4,,[20],"[[80, 238, 215, 259]]",5,[20],"[[81, 630, 320, 653]]",[UUID('24574e06-63c2-32c2-bc76-b4d787f00b36')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7f3549953310>],['4']
6,,[20],"[[82, 885, 298, 908]]",7,[21],"[[90, 245, 268, 268]]",[UUID('24574e06-63c2-32c2-bc76-b4d787f00b36')],"[[17, 18, 19, 20, 21, 22, 23, 24, 25, 26]]",[<UAT_app.database.db_models.TableLogs object at 0x7f3549953310>],['6']
