note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
8,,[17],"[[118, 1062, 917, 1087]]",9,[18],"[[120, 269, 917, 289]]",[UUID('94eabd45-2db0-3bc8-8bd3-5595f231067a')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73118d9820>],['8']
9,,[18],"[[120, 269, 917, 289]]",10,[18],"[[115, 480, 917, 506]]",[UUID('5620ffdf-6622-34dc-8b53-faa3a664b248')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7312f4b0d0>],['9']
7,(b),[17],"[[111, 315, 918, 337]]",(c),[17],"[[111, 792, 917, 818]]",[UUID('1ca8cba9-1688-3dd9-9d49-4f4abcd17f63')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7f730ed64e80>],['7(b)']
7,(c),[17],"[[111, 792, 917, 818]]",(d),[17],"[[110, 929, 407, 955]]",[UUID('cc9ea7cf-858f-3394-9a3b-e39730030a09')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7f730ed64d90>],['7(c)']
10,,[18],"[[115, 480, 917, 506]]",11,[18],"[[116, 983, 205, 1004]]",[UUID('b1562429-efb4-3965-8d13-51d439ad17ab')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]",[<UAT_app.database.db_models.TableLogs object at 0x7f74706ed700>],['10']
11,(a),[18],"[[112, 1026, 302, 1052]]",(b),[18],"[[112, 1221, 276, 1248]]",[UUID('b1562429-efb4-3965-8d13-51d439ad17ab')],"[[21, 22, 23, 24, 25, 26, 27, 28]]",[<UAT_app.database.db_models.TableLogs object at 0x7f74706ed700>],['11(a)']
11,(b),[18],"[[112, 1221, 276, 1248]]",(c),[19],"[[586, 1583, 607, 1605]]","[UUID('b1562429-efb4-3965-8d13-51d439ad17ab'), UUID('c25640a0-3902-3efc-a4d2-a979bc9b7a8a'), UUID('a31cf41e-e2b2-39f9-8963-d19bf241fd48'), UUID('4c4325d5-6019-3bf7-ad7e-dce524983170')]","[[31, 32, 33, 34, 35, 36, 28, 29, 30], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7f74706ed700>, <UAT_app.database.db_models.TableLogs object at 0x7f730ecefbe0>, <UAT_app.database.db_models.TableLogs object at 0x7f730ecef070>, <UAT_app.database.db_models.TableLogs object at 0x7f730ecef880>]","['11(b)', '11(b)']"
12,,[19],"[[116, 266, 917, 287]]",13,[19],"[[116, 439, 917, 460]]",[UUID('a31cf41e-e2b2-39f9-8963-d19bf241fd48')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f730ecef070>],['12']
13,,[19],"[[116, 439, 917, 460]]",14,[19],"[[115, 1042, 913, 1067]]","[UUID('c25640a0-3902-3efc-a4d2-a979bc9b7a8a'), UUID('a31cf41e-e2b2-39f9-8963-d19bf241fd48'), UUID('4c4325d5-6019-3bf7-ad7e-dce524983170')]","[[0, 1], [7, 8, 9, 10, 11, 12, 13, 14], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7f730ecefbe0>, <UAT_app.database.db_models.TableLogs object at 0x7f730ecef070>, <UAT_app.database.db_models.TableLogs object at 0x7f730ecef880>]","['13', '13']"
14,,[19],"[[115, 1042, 913, 1067]]",15,[20],"[[115, 268, 917, 289]]",[UUID('c25640a0-3902-3efc-a4d2-a979bc9b7a8a')],"[[1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7f730ecefbe0>],"['14', '14']"
