note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
9,,[25],"[[96, 322, 1028, 348]]",10,[25],"[[97, 483, 1028, 508]]",[UUID('dc5e36de-3f07-331f-8e43-10d83e2e85b8')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2d1f4a0280>],"['9', '9']"
10,,[25],"[[97, 483, 1028, 508]]",11,[25],"[[97, 777, 1027, 800]]",[UUID('dc5e36de-3f07-331f-8e43-10d83e2e85b8')],"[[4, 5, 6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2d1f4a0280>],['10']
11,,[25],"[[97, 777, 1027, 800]]",12,[26],"[[190, 216, 539, 240]]",[UUID('39850ee3-7473-3845-b30f-5d94b14fbddb')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2d1f4a0190>],['11']
12,,[26],"[[190, 216, 539, 240]]",13,[27],"[[98, 322, 1028, 348]]",[UUID('d676f33f-491e-3d2d-8e04-a27260498371')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2dad9ddb50>],"['12', '12']"
13,,[27],"[[98, 322, 1028, 348]]",14,[27],"[[97, 549, 1027, 573]]",[UUID('658e3a0f-4498-3c6f-ba89-bc1b01321d8c')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2d2da6eac0>],['13']
14,,[27],"[[97, 549, 1027, 573]]",15,[27],"[[98, 848, 1028, 871]]",[UUID('658e3a0f-4498-3c6f-ba89-bc1b01321d8c')],"[[6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2d2da6eac0>],"['14', '14']"
15,,[27],"[[98, 848, 1028, 871]]",16,[28],"[[97, 320, 205, 345]]",[UUID('658e3a0f-4498-3c6f-ba89-bc1b01321d8c')],"[[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2d2da6eac0>],"['15', '15']"
4,,[22],"[[96, 292, 1027, 317]]",5,[22],"[[96, 460, 1028, 485]]",[UUID('09f20552-574f-3653-83b3-a1956af7f4de')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2d2da6ec40>],['4']
5,,[22],"[[96, 460, 1028, 485]]",6,[22],"[[96, 710, 1027, 736]]",[UUID('09f20552-574f-3653-83b3-a1956af7f4de')],"[[4, 5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2d2da6ec40>],['5']
6,,[22],"[[96, 710, 1027, 736]]",7,[22],"[[96, 894, 1050, 917]]",[UUID('09f20552-574f-3653-83b3-a1956af7f4de')],"[[11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2d2da6ec40>],['6']
7,,[22],"[[96, 894, 1050, 917]]",8,[23],"[[96, 319, 1027, 343]]",[UUID('09f20552-574f-3653-83b3-a1956af7f4de')],"[[16, 17, 18, 19, 20]]",[<UAT_app.database.db_models.TableLogs object at 0x7f2d2da6ec40>],['7']
