note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
3,4,[19],"[[122, 743, 576, 777]]",3.5,[20],"[[122, 194, 418, 228]]",[],[],[],"[3.4, 3.4]"
3,5,[20],"[[122, 194, 418, 228]]",3.6,[20],"[[122, 578, 371, 613]]",[],[],[],"[3.5, 3.5]"
3,6,[20],"[[122, 578, 371, 613]]",3.7,[20],"[[122, 850, 607, 886]]",[],[],[],"[3.6, 3.6]"
3,7,[20],"[[122, 850, 607, 886]]",3.8,[21],"[[123, 194, 350, 228]]",[],[],[],[3.7]
3,8,[21],"[[123, 194, 350, 228]]",3.9,[22],"[[122, 192, 245, 230]]",[UUID('5e8c1c01-326a-3305-b6b9-3cb2b42f6f21')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda88fba040>],[3.8]
3,13,[25],"[[122, 444, 461, 481]]",3.14,[25],"[[123, 651, 282, 684]]",[],[],[],[3.13]
3,12,[24],"[[123, 194, 343, 226]]",3.13,[25],"[[122, 444, 461, 481]]",[UUID('12a833d7-6726-3988-b53a-d221f0ef6a2e')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9af4f5af0>],"[3.12, 3.12]"
3,11,[23],"[[123, 707, 458, 740]]",3.12,[24],"[[123, 194, 343, 226]]",[],[],[],"[3.11, 3.11]"
3,15,[26],"[[123, 725, 537, 759]]",3.16,[26],"[[122, 957, 502, 994]]",[],[],[],"[3.15, 3.15]"
3,17,[27],"[[122, 264, 454, 302]]",3.18,[27],"[[122, 514, 316, 552]]",[],[],[],['3.17']
3,18,[27],"[[122, 514, 316, 552]]",3.19,[27],"[[122, 912, 360, 950]]",[UUID('9e7b0854-d3da-3d11-9d01-f91f155b4f6e')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9ae8e2d00>],['3.18']
