note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
15,,[26],"[[104, 830, 368, 853]]",16,[26],"[[104, 1042, 379, 1067]]",[UUID('230516a0-c465-39b6-aa5d-ea51ccf25cee')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7efbe661aee0>],"['15', '15', '15']"
16,,[26],"[[104, 1042, 379, 1067]]",17,[26],"[[104, 1435, 240, 1457]]",[UUID('230516a0-c465-39b6-aa5d-ea51ccf25cee')],"[[3, 4, 5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7efbe661aee0>],"['16', '16']"
17,,[26],"[[104, 1435, 240, 1457]]",18,[27],"[[104, 182, 1074, 207]]","[UUID('32ece1b9-5067-30fe-a598-93165ce079ba'), UUID('5a3b7443-fb90-37aa-a4dc-fec624bf1904')]","[[0, 1, 2], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef6c5531ee0>, <UAT_app.database.db_models.TableLogs object at 0x7ef744aa9af0>]",['17']
18,,[27],"[[104, 182, 1074, 207]]",19,[27],"[[104, 442, 303, 463]]",[UUID('5a3b7443-fb90-37aa-a4dc-fec624bf1904')],"[[1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744aa9af0>],"['18', '18']"
19,,[27],"[[104, 442, 303, 463]]",20,[28],"[[56, 212, 404, 238]]",[UUID('5a3b7443-fb90-37aa-a4dc-fec624bf1904')],"[[8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744aa9af0>],['19']
22,,[11],"[[153, 337, 1107, 363]]",23,[12],"[[1027, 1609, 1049, 1633]]",[],[],[],"['22', '22']"
23,,[34],"[[58, 194, 265, 215]]",24,[35],"[[58, 261, 522, 286]]","[UUID('3795c8ae-2b66-34fe-ade4-b974cacf2344'), UUID('7d77ac09-3316-36ff-95e8-f3b16e7da3a9')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7437c2460>, <UAT_app.database.db_models.TableLogs object at 0x7ef7402c9f70>]",['23']
24,,[35],"[[58, 261, 522, 286]]",25,[35],"[[58, 486, 311, 511]]",[UUID('7d77ac09-3316-36ff-95e8-f3b16e7da3a9')],"[[2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7402c9f70>],"['24', '24']"
25,,[35],"[[58, 486, 311, 511]]",26,[35],"[[58, 1208, 277, 1230]]","[UUID('1a56d4b4-35e0-3bda-ac33-f27c70315161'), UUID('7d77ac09-3316-36ff-95e8-f3b16e7da3a9')]","[[0, 1, 2, 3, 4], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]]","[<UAT_app.database.db_models.TableLogs object at 0x7efadc5b4df0>, <UAT_app.database.db_models.TableLogs object at 0x7ef7402c9f70>]","['25', '25']"
26,,[35],"[[58, 1208, 277, 1230]]",27,[36],"[[58, 218, 241, 245]]",[UUID('bc16864b-b081-3225-95c1-c3ad5b16e376')],"[[1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7439de970>],"['26', '26']"
