note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
9,,[21],"[[111, 176, 413, 193]]",10,[21],"[[111, 270, 425, 290]]",[UUID('b15df03c-bde6-325e-997d-467339390045')],"[[2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf5d0e1c0>],"['9', '9']"
10,,[21],"[[111, 270, 425, 290]]",11,[21],"[[111, 578, 284, 598]]",[UUID('b15df03c-bde6-325e-997d-467339390045')],"[[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf5d0e1c0>],"['10', '10']"
12,,[22],"[[111, 119, 548, 157]]",13,[23],"[[112, 156, 402, 176]]","[UUID('cc40cb64-4362-36c6-af47-30b0a9000ae9'), UUID('a6107f8a-14c3-337b-8d00-a874d0d163e1')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdcf0748310>, <UAT_app.database.db_models.TableLogs object at 0x7fdcf0748af0>]","['12', '12']"
8,,[20],"[[111, 157, 297, 176]]",9,[21],"[[111, 176, 413, 193]]","[UUID('91353fc5-9e30-3663-81fd-ca5c3e347dc3'), UUID('b15df03c-bde6-325e-997d-467339390045')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdcf0748610>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf5d0e1c0>]","['8', '8', '8']"
13,,[23],"[[112, 156, 402, 176]]",14,[23],"[[111, 307, 338, 327]]",[UUID('8d1e17ca-0031-36df-9387-1ba0c7aa1900')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf6462e50>],['13']
15,,[23],"[[111, 519, 378, 538]]",16,[23],"[[111, 728, 276, 747]]",[UUID('8d1e17ca-0031-36df-9387-1ba0c7aa1900')],"[[15, 16, 17, 18, 19]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf6462e50>],['15']
14,,[23],"[[111, 307, 338, 327]]",15,[23],"[[111, 519, 378, 538]]",[UUID('8d1e17ca-0031-36df-9387-1ba0c7aa1900')],"[[6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf6462e50>],"['14', '14']"
16,,[23],"[[111, 728, 276, 747]]",17,[24],"[[111, 159, 362, 179]]",[UUID('863abb53-1e24-3a89-82eb-65b92e829945')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6e810a90>],"['16', '16']"
4,,[19],"[[111, 176, 246, 193]]",5,[19],"[[111, 443, 355, 460]]",[UUID('c2367030-fda7-3c14-95f1-10e144670c79')],"[[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6e8105b0>],['4']
5,,[19],"[[111, 443, 355, 460]]",6,[19],"[[112, 595, 306, 614]]",[UUID('c2367030-fda7-3c14-95f1-10e144670c79')],"[[15, 16, 17, 18, 19, 20, 21, 22]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6e8105b0>],['5']
7,,[19],"[[111, 785, 1146, 822]]",8,[20],"[[111, 157, 297, 176]]",[UUID('c2367030-fda7-3c14-95f1-10e144670c79')],"[[31, 32, 33, 34, 35, 36, 30]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6e8105b0>],['7']
