note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
8,,[21],"[[91, 1370, 389, 1397]]",9,[22],"[[81, 238, 388, 261]]","[UUID('c57d6ac6-120f-37df-b1f5-e0f54410534b'), UUID('09e670b5-530c-3191-abf1-40bbd70bb1f6')]","[[0, 1, 2], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7418ca730>, <UAT_app.database.db_models.TableLogs object at 0x7ef7400f7310>]",['8']
9,,[22],"[[81, 238, 388, 261]]",10,[22],"[[83, 681, 228, 702]]",[UUID('09e670b5-530c-3191-abf1-40bbd70bb1f6')],"[[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7400f7310>],"['9', '9']"
10,,[22],"[[83, 681, 228, 702]]",11,[22],"[[83, 1030, 272, 1051]]",[UUID('09e670b5-530c-3191-abf1-40bbd70bb1f6')],"[[15, 16, 17, 18, 19, 20]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7400f7310>],['10']
14,,[24],"[[83, 865, 311, 890]]",15,[24],"[[83, 1140, 240, 1165]]",[],[],[],['14']
12,,[23],"[[81, 177, 410, 205]]",13,[24],"[[81, 177, 284, 204]]",[UUID('b592c173-025d-3fdd-b3d3-4b783522e997')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef6c5ba31f0>],['12']
13,,[24],"[[81, 177, 284, 204]]",14,[24],"[[83, 865, 311, 890]]",[UUID('91f409de-4380-301a-bfa1-2b7079ea7d86')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef706885c10>],['13']
16,,[26],"[[91, 422, 373, 449]]",17,[26],"[[94, 659, 243, 682]]",[UUID('212c29d2-0a8b-3ef0-afa3-6d7b7eba146e')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef706885040>],['16']
17,,[26],"[[94, 659, 243, 682]]",18,[26],"[[94, 1058, 235, 1081]]",[],[],[],"['17', '17']"
19,,[27],"[[94, 623, 277, 645]]",20,[28],"[[165, 1597, 1104, 1620]]","[UUID('20237fa8-9c97-378b-b006-6baa25b4984f'), UUID('f5581635-6892-319e-8e06-dc39ebb7be5b')]","[[11, 12, 13, 14, 15, 16, 17], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]]","[<UAT_app.database.db_models.TableLogs object at 0x7efa78766430>, <UAT_app.database.db_models.TableLogs object at 0x7ef6c4546220>]","['19', '19']"
4,,[20],"[[91, 236, 514, 261]]",5,[20],"[[93, 669, 260, 694]]",[UUID('eafb2623-9946-3ffb-a327-78df6d94c687')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef706885b80>],['4']
5,,[20],"[[93, 669, 260, 694]]",6,[20],"[[91, 1212, 393, 1239]]",[UUID('89d84d09-2c12-3c49-a709-90448b6de360')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7068859a0>],['5']
