note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[29],"[[141, 315, 458, 342]]",7,[29],"[[140, 503, 467, 526]]",[UUID('3a4f44ff-5a7c-3dab-ade6-dd0aa624fd72')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fce5f888c70>],"['6', '6']"
7,,[29],"[[140, 503, 467, 526]]",8,[29],"[[140, 698, 308, 721]]",[UUID('3a4f44ff-5a7c-3dab-ade6-dd0aa624fd72')],"[[5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7fce5f888c70>],['7']
8,,[29],"[[140, 698, 308, 721]]",9,[29],"[[140, 991, 357, 1014]]",[UUID('3a4f44ff-5a7c-3dab-ade6-dd0aa624fd72')],"[[11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7fce5f888c70>],['8']
9,,[29],"[[140, 991, 357, 1014]]",10,[30],"[[140, 314, 323, 340]]",[UUID('cb8e6cec-5687-3927-a967-8e037ca2c839')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7fc9c9ebeaf0>],"['9', '9']"
11,,[30],"[[140, 624, 457, 652]]",12,[31],"[[141, 315, 491, 342]]","[UUID('7e2b209a-fe1c-3f33-a063-f949d7a26f20'), UUID('932dd513-b7c2-3455-803e-d22432f4362f'), UUID('ae9d7085-f39d-30c4-bc30-81afe4906dc7')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6], [10, 11, 12, 13]]","[<UAT_app.database.db_models.TableLogs object at 0x7fc9cad71130>, <UAT_app.database.db_models.TableLogs object at 0x7fc9cad715b0>, <UAT_app.database.db_models.TableLogs object at 0x7fc9c5232e20>]","['11', '11']"
12,,[31],"[[141, 315, 491, 342]]",13,[31],"[[140, 1060, 269, 1087]]",[UUID('635bc213-ff15-3cc2-b1f2-cc9772cb371f')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]",[<UAT_app.database.db_models.TableLogs object at 0x7fc9c9086eb0>],"['12', '12']"
5,,[27],"[[141, 999, 309, 1024]]",6,[28],"[[1029, 1522, 1050, 1544]]","[UUID('847077db-c866-3632-abc5-acb7e81815d7'), UUID('27f4d3f8-ae13-3c09-923c-8d755799b5cd'), UUID('89972ffe-3cfc-3aac-a84f-158e988630df'), UUID('b272e5cf-a6ec-3c7b-b161-cb543e85033e')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]","[<UAT_app.database.db_models.TableLogs object at 0x7fcd64490460>, <UAT_app.database.db_models.TableLogs object at 0x7fcd64490a60>, <UAT_app.database.db_models.TableLogs object at 0x7fce5f88cd00>, <UAT_app.database.db_models.TableLogs object at 0x7fce5f88c6d0>]","['5', '5', '5']"
16,,[32],"[[140, 1221, 312, 1248]]",17,[33],"[[141, 693, 303, 717]]","[UUID('71beeaeb-102d-3b4c-9b48-e2cd37345b0a'), UUID('61a3a5a3-7245-3dbb-908d-9aaa1a2ce543')]","[[26, 27, 28, 29], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7fc9cabde3d0>, <UAT_app.database.db_models.TableLogs object at 0x7fc9c5e5cac0>]",['16']
17,,[33],"[[141, 693, 303, 717]]",18,[33],"[[141, 1039, 381, 1068]]",[UUID('f6e17640-659f-3e41-9661-02365947127a')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fc9c5e5c640>],"['17', '17']"
15,,[32],"[[143, 919, 379, 940]]",16,[32],"[[140, 1221, 312, 1248]]",[UUID('71beeaeb-102d-3b4c-9b48-e2cd37345b0a')],"[[17, 18, 19, 20, 21, 22, 23, 24, 25, 26]]",[<UAT_app.database.db_models.TableLogs object at 0x7fc9cabde3d0>],['15']
18,,[33],"[[141, 1039, 381, 1068]]",19,[34],"[[141, 315, 291, 340]]",[UUID('8c00bbe0-2bcb-39ad-9239-afc9d5d0f075')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7fce5d166160>],['18']
19,,[34],"[[141, 315, 291, 340]]",20,[35],"[[140, 314, 444, 342]]",[UUID('ea539ccd-6c49-3b68-b625-b59860a98d12')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]]",[<UAT_app.database.db_models.TableLogs object at 0x7fc9cad5b490>],['19']
4,1,[26],"[[140, 351, 582, 378]]",4.2,[26],"[[141, 823, 338, 846]]",[UUID('5ecaa179-38b1-3174-894a-95022e287906')],"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7fc9c9051e50>],['4.1']
