note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[18],"[[150, 1116, 1098, 1140]]",8,[18],"[[153, 816, 1104, 839]]",[],[],[],['7']
8,,[18],"[[148, 1355, 1102, 1379]]",9,[19],"[[148, 139, 1100, 160]]",[UUID('9de352c9-8eda-37d4-83a7-79a5b3d1ba95')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fb330826850>],['8']
9,,[19],"[[148, 139, 1100, 160]]",10,[19],"[[148, 365, 1104, 389]]",[UUID('c54fa094-efef-3c3e-8505-32e2f6aa2bb8')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fb314ba3700>],['9']
11,,[19],"[[149, 564, 1102, 589]]",12,[20],"[[150, 392, 360, 417]]","[UUID('ac68c8cd-ab1d-3986-a98b-e798ac3d06c9'), UUID('4398ff24-6e6d-3e17-8f6b-0cd9ccdec3a6'), UUID('44a7c0a5-6940-3be6-ad5d-3e8cd6330bf1')]","[[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], [0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7fb314b89310>, <UAT_app.database.db_models.TableLogs object at 0x7fb314b89a30>, <UAT_app.database.db_models.TableLogs object at 0x7fb3156358e0>]",['11']
12,,[20],"[[150, 392, 360, 417]]",13,[20],"[[150, 1045, 413, 1071]]","[UUID('7a55140d-fc7b-3706-a86b-eed2290593aa'), UUID('44a7c0a5-6940-3be6-ad5d-3e8cd6330bf1')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [6, 7, 8, 9, 10, 11]]","[<UAT_app.database.db_models.TableLogs object at 0x7fb314bab520>, <UAT_app.database.db_models.TableLogs object at 0x7fb3156358e0>]",['12']
6,(c),[18],"[[151, 713, 356, 739]]",(d),[19],"[[1031, 1475, 1054, 1495]]","[UUID('d82e5fbb-686a-38bc-a673-aa0440f4556f'), UUID('9de352c9-8eda-37d4-83a7-79a5b3d1ba95'), UUID('ac68c8cd-ab1d-3986-a98b-e798ac3d06c9'), UUID('4398ff24-6e6d-3e17-8f6b-0cd9ccdec3a6'), UUID('c54fa094-efef-3c3e-8505-32e2f6aa2bb8')]","[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1, 2, 3], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], [0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7fb315635280>, <UAT_app.database.db_models.TableLogs object at 0x7fb330826850>, <UAT_app.database.db_models.TableLogs object at 0x7fb314b89310>, <UAT_app.database.db_models.TableLogs object at 0x7fb314b89a30>, <UAT_app.database.db_models.TableLogs object at 0x7fb314ba3700>]",['6(c)']
6,(b),[18],"[[151, 564, 369, 590]]",(c),[18],"[[151, 713, 356, 739]]",[UUID('d82e5fbb-686a-38bc-a673-aa0440f4556f')],"[[0, 1]]",[<UAT_app.database.db_models.TableLogs object at 0x7fb315635280>],['6(b)']
6,(a),[17],"[[150, 914, 528, 942]]",(b),[18],"[[151, 564, 369, 590]]","[UUID('f873424b-0496-33f7-82de-9bb7639d7f4d'), UUID('09950353-5f8a-337f-bb68-0ff4d0424e15')]","[[31, 32, 33, 34, 24, 25, 26, 27, 28, 29, 30], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7fb314b988b0>, <UAT_app.database.db_models.TableLogs object at 0x7fb315609880>]",['6(a)']
13,,[20],"[[150, 1045, 413, 1071]]",14,[20],"[[151, 1280, 1106, 1300]]",[UUID('7a55140d-fc7b-3706-a86b-eed2290593aa')],"[[12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]",[<UAT_app.database.db_models.TableLogs object at 0x7fb314bab520>],['13']
14,,[20],"[[151, 1280, 1106, 1300]]",15,[21],"[[151, 114, 1108, 139]]",[UUID('7a55140d-fc7b-3706-a86b-eed2290593aa')],"[[21, 22, 23, 24, 25, 26, 27]]",[<UAT_app.database.db_models.TableLogs object at 0x7fb314bab520>],['14']
15,,[21],"[[151, 114, 1108, 139]]",16,[21],"[[151, 348, 282, 369]]",[UUID('9a54d385-c303-37d1-b7da-c7b550e3241f')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fb315639f40>],"['15', '15']"
16,,[21],"[[151, 348, 282, 369]]",17,[22],"[[158, 159, 331, 182]]",[UUID('978089cf-ba42-3fdb-8add-bda96359c441')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7fb315626610>],"['16', '16']"
17,,[22],"[[158, 159, 331, 182]]",18,[22],"[[158, 761, 317, 784]]","[UUID('c27e5588-a23b-3e5d-a5d9-f89589dfa1b1'), UUID('b679521d-9e46-3974-948d-ba6cbfed0c80')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7fb314b87a60>, <UAT_app.database.db_models.TableLogs object at 0x7fb314bad370>]","['17', '17', '17']"
