note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
4,,[22],"[[152, 800, 497, 823]]",5,[22],"[[153, 904, 578, 927]]",[UUID('0edb3d05-bc0c-3414-a2d2-91a135f1bd34')],"[[18, 19, 20]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9af3ce2b0>],['4']
5,,[22],"[[153, 904, 578, 927]]",6,[22],"[[152, 1110, 357, 1133]]",[UUID('0edb3d05-bc0c-3414-a2d2-91a135f1bd34')],"[[20, 21, 22, 23, 24, 25, 26]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9af3ce2b0>],['5']
6,,[22],"[[152, 1110, 357, 1133]]",7,[22],"[[151, 1233, 369, 1261]]",[UUID('0edb3d05-bc0c-3414-a2d2-91a135f1bd34')],"[[26, 27, 28]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9af3ce2b0>],['6']
7,,[22],"[[151, 1233, 369, 1261]]",8,[23],"[[152, 146, 726, 171]]",[UUID('0edb3d05-bc0c-3414-a2d2-91a135f1bd34')],"[[31, 28, 29, 30]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9af3ce2b0>],['7']
9,,[24],"[[153, 222, 452, 245]]",10,[24],"[[154, 541, 350, 565]]",[UUID('08411ea1-5bd0-364d-8506-ea013216bb89')],"[[3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9af3da610>],['9']
11,,[25],"[[152, 220, 543, 246]]",12,[25],"[[154, 378, 340, 399]]",[UUID('43092858-2f11-3e34-84bb-8f2f6d92cc82')],"[[3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9af3d4790>],['11']
12,,[25],"[[154, 378, 340, 399]]",13,[25],"[[153, 529, 398, 555]]",[UUID('43092858-2f11-3e34-84bb-8f2f6d92cc82')],"[[7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9af3d4790>],"['12', '12']"
13,,[25],"[[153, 529, 398, 555]]",14,[25],"[[153, 708, 398, 735]]",[UUID('43092858-2f11-3e34-84bb-8f2f6d92cc82')],"[[11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9af3d4790>],"['13', '13']"
10,(b),[24],"[[204, 1131, 454, 1157]]",(c),[25],"[[986, 1588, 1014, 1614]]","[UUID('3cf298a3-ce77-385f-95b5-ddaa36305edc'), UUID('43092858-2f11-3e34-84bb-8f2f6d92cc82')]","[[0, 1, 2], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]","[<UAT_app.database.db_models.TableLogs object at 0x7fd9af3fe7c0>, <UAT_app.database.db_models.TableLogs object at 0x7fd9af3d4790>]",['10(b)']
14,,[25],"[[153, 708, 398, 735]]",15,[26],"[[195, 254, 423, 281]]","[UUID('43092858-2f11-3e34-84bb-8f2f6d92cc82'), UUID('d4f2b00b-6455-3a0f-b296-f5757f68c424')]","[[16, 17, 18, 19, 20, 21], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7fd9af3d4790>, <UAT_app.database.db_models.TableLogs object at 0x7fd9af6ca730>]",['14']
15,,[26],"[[195, 254, 423, 281]]",16,[26],"[[196, 522, 567, 545]]",[UUID('d4f2b00b-6455-3a0f-b296-f5757f68c424')],"[[3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9af6ca730>],['15']
2,,[22],"[[151, 245, 311, 272]]",3,[22],"[[152, 519, 509, 544]]",[UUID('0edb3d05-bc0c-3414-a2d2-91a135f1bd34')],"[[2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9af3ce2b0>],"['2', '2']"
3,,[22],"[[152, 519, 509, 544]]",4,[22],"[[152, 800, 497, 823]]",[UUID('0edb3d05-bc0c-3414-a2d2-91a135f1bd34')],"[[10, 11, 12, 13, 14, 15, 16, 17, 18]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9af3ce2b0>],['3']
