note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
8,,[21],"[[143, 1086, 921, 1112]]",9,[22],"[[159, 299, 635, 327]]","[UUID('ffd7bc6e-51d7-3b53-89c8-150ec6c3b7fb'), UUID('f3dbcdf4-32ea-39de-b4e7-3a5baea7ea18')]","[[0, 1, 2, 3, 4], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7fda6f1647c0>, <UAT_app.database.db_models.TableLogs object at 0x7fda6f164e50>]","['8', '8']"
9,,[22],"[[159, 299, 635, 327]]",10,[22],"[[151, 724, 464, 752]]",[UUID('116458b4-8e5d-34a5-a652-e68f768fd886')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdcf074ebb0>],['9']
10,,[22],"[[151, 724, 464, 752]]",11,[22],"[[143, 1109, 511, 1137]]",[UUID('3faa283f-5b9a-31fe-b88d-8574639bc289')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba9c9cb80>],['10']
11,,[22],"[[143, 1109, 511, 1137]]",12,[23],"[[580, 1536, 608, 1563]]","[UUID('308a5244-4e75-3944-a7b7-59665946c2c0'), UUID('5198aa43-e3e7-3587-b998-7a454baa9ae8')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba9c9cb20>, <UAT_app.database.db_models.TableLogs object at 0x7fda6f164dc0>]","['11', '11']"
12,,[24],"[[145, 258, 722, 285]]",13,[25],"[[146, 261, 607, 290]]",[UUID('f84bbb54-0146-3ee6-b36a-8515f3af9bec')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba84f3c40>],['12']
13,,[25],"[[146, 261, 607, 290]]",14,[25],"[[144, 729, 601, 757]]",[UUID('19a5db52-3fae-34c5-aea8-0d8dcac288d6')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf5e2eb50>],['13']
14,,[25],"[[144, 729, 601, 757]]",15,[26],"[[143, 726, 643, 754]]","[UUID('a90c2670-8417-38aa-930c-c13d59155649'), UUID('bfab00bc-c108-34af-a7cd-2445b1591afb')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdaf2b52130>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf2b52e80>]",['14']
15,,[26],"[[143, 726, 643, 754]]",16,[26],"[[140, 948, 665, 974]]",[UUID('bfab00bc-c108-34af-a7cd-2445b1591afb')],"[[12, 13, 14, 15, 16, 17]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf2b52e80>],['15']
17,,[27],"[[146, 262, 344, 289]]",18,[27],"[[146, 698, 380, 728]]","[UUID('666ea653-ab17-330f-9422-30c078e56fc7'), UUID('c5729458-77bf-30d6-94b3-e742f72571ce')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba852f430>, <UAT_app.database.db_models.TableLogs object at 0x7fdba8d08610>]","['17', '17']"
16,(b),[26],"[[138, 1260, 453, 1288]]",(c),[27],"[[581, 1540, 608, 1561]]","[UUID('262e0374-44fc-367c-9e90-06aedb6b6ebf'), UUID('666ea653-ab17-330f-9422-30c078e56fc7'), UUID('a7766523-325b-3d24-ac96-0ce24a280522'), UUID('c5729458-77bf-30d6-94b3-e742f72571ce')]","[[8, 9, 10, 11, 12, 13, 14, 15], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba9c9ca00>, <UAT_app.database.db_models.TableLogs object at 0x7fdba852f430>, <UAT_app.database.db_models.TableLogs object at 0x7fda6f0732b0>, <UAT_app.database.db_models.TableLogs object at 0x7fdba8d08610>]",['16(b)']
18,,[27],"[[146, 698, 380, 728]]",19,[28],"[[147, 258, 490, 285]]",[UUID('a7766523-325b-3d24-ac96-0ce24a280522')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6f0732b0>],['18']
19,(b),[28],"[[143, 685, 312, 711]]",(c),[28],"[[143, 1028, 504, 1055]]",[UUID('4a9e942c-104b-353f-8a41-58305dead2f1')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6eeea310>],['19(b)']
4,,[20],"[[153, 256, 918, 281]]",5,[20],"[[150, 695, 914, 719]]",[UUID('e93f9dd0-f721-3c79-bf7b-12d8c991075f')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdcd03cea60>],['4']
5,,[20],"[[150, 695, 914, 719]]",6,[20],"[[145, 876, 913, 910]]",[UUID('f2627752-1b34-31e0-b64c-837dfa6f10d2')],"[[0, 1]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba8cb5bb0>],['5']
