note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
14,,[25],"[[118, 177, 400, 203]]",15,[25],"[[117, 381, 414, 409]]",[UUID('5077b7d1-5c3d-3f82-9b08-d219d30b6e46')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73122d2df0>],"['14', '14', '14']"
15,,[25],"[[117, 381, 414, 409]]",16,[25],"[[117, 813, 273, 834]]",[UUID('5077b7d1-5c3d-3f82-9b08-d219d30b6e46')],"[[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73122d2df0>],['15']
16,,[25],"[[117, 813, 273, 834]]",17,[25],"[[117, 1038, 417, 1065]]",[UUID('5077b7d1-5c3d-3f82-9b08-d219d30b6e46')],"[[15, 16, 17, 18, 19, 20]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73122d2df0>],['16']
17,,[25],"[[117, 1038, 417, 1065]]",18,[26],"[[97, 187, 439, 213]]",[],[],[],"['17', '17']"
18,,[26],"[[97, 187, 439, 213]]",19,[27],"[[122, 189, 480, 215]]",[UUID('1c16a832-66f5-3906-b3f7-5e11d16bdd67')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7310435220>],['18']
20,,[28],"[[109, 397, 441, 419]]",21,[28],"[[109, 596, 382, 621]]",[UUID('a2a7800f-7122-360e-88fb-e082d735a024')],"[[6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7f731119f610>],['20']
19,,[27],"[[122, 189, 480, 215]]",20,[28],"[[109, 397, 441, 419]]","[UUID('49982aa6-96e3-37e9-907a-50516b04304e'), UUID('a2a7800f-7122-360e-88fb-e082d735a024')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7f73122ebc70>, <UAT_app.database.db_models.TableLogs object at 0x7f731119f610>]","['19', '19']"
21,,[28],"[[109, 596, 382, 621]]",22,[28],"[[109, 869, 264, 894]]",[UUID('a2a7800f-7122-360e-88fb-e082d735a024')],"[[12, 13, 14, 15, 16, 17, 18, 19]]",[<UAT_app.database.db_models.TableLogs object at 0x7f731119f610>],['21']
22,,[28],"[[109, 869, 264, 894]]",23,[29],"[[110, 765, 340, 788]]","[UUID('99859a7c-19bb-3bc9-8227-610a6b0d4e85'), UUID('690b77e9-755c-346c-ad0c-c8412a9a047d')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], [0, 1, 2, 3, 4, 5, 6, 7]]","[<UAT_app.database.db_models.TableLogs object at 0x7f73b8e02d90>, <UAT_app.database.db_models.TableLogs object at 0x7f73b237af40>]","['22', '22']"
23,,[29],"[[110, 765, 340, 788]]",24,[30],"[[101, 231, 261, 253]]",[UUID('b07ffc64-c0a7-382e-a9c7-569893f42c8d')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73274345b0>],"['23', '23']"
24,,[30],"[[101, 231, 261, 253]]",25,[31],"[[113, 258, 421, 284]]",[UUID('78a5672a-a725-3a93-a58d-f9da7b2b6a6a')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73bb09ca90>],"['24', '24']"
25,,[31],"[[113, 258, 421, 284]]",26,[32],"[[109, 235, 290, 256]]","[UUID('90de4881-9e9f-33c5-829d-9b9ff7f1dff3'), UUID('6dbfdd9c-fcff-36ee-945d-ddf1ae9bcbf8'), UUID('00ea5b61-2add-332a-9d94-b7daa125f63d')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7f73bb09c940>, <UAT_app.database.db_models.TableLogs object at 0x7f731002cca0>, <UAT_app.database.db_models.TableLogs object at 0x7f73bb09c8b0>]",['25']
5,,[21],"[[118, 167, 254, 190]]",6,[22],"[[108, 218, 940, 243]]",[UUID('14226e11-234f-3039-8538-e4394d0242f3')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73b3076d60>],['5']
6,,[22],"[[108, 218, 940, 243]]",7,[22],"[[108, 353, 309, 381]]",[UUID('c845abab-16df-3093-abd9-c49fe73b3b49')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73b3e3beb0>],['6']
7,,[22],"[[108, 353, 309, 381]]",8,[22],"[[108, 659, 329, 683]]",[UUID('c845abab-16df-3093-abd9-c49fe73b3b49')],"[[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73b3e3beb0>],['7']
8,,[22],"[[108, 659, 329, 683]]",9,[22],"[[108, 887, 408, 915]]",[UUID('c845abab-16df-3093-abd9-c49fe73b3b49')],"[[16, 17, 18, 19, 20, 21, 22, 23, 24]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73b3e3beb0>],['8']
9,,[22],"[[108, 887, 408, 915]]",10,[23],"[[118, 170, 389, 197]]",[UUID('c845abab-16df-3093-abd9-c49fe73b3b49')],"[[31, 32, 33, 34, 35, 36, 24, 25, 26, 27, 28, 29, 30]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73b3e3beb0>],['9']
10,,[23],"[[118, 170, 389, 197]]",11,[23],"[[117, 478, 396, 506]]",[UUID('77246431-183e-3fcc-9f00-5a10eeca4b83')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7f730f2593d0>],['10']
