note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
8,,[29],"[[173, 710, 473, 730]]",9,[29],"[[174, 1050, 382, 1066]]",[UUID('95cc1cc4-aca6-3aec-8954-4a4dc0047be7')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f643aad38b0>],"['8', '8']"
9,,[29],"[[174, 1050, 382, 1066]]",10,[30],"[[159, 593, 301, 609]]","[UUID('875409a9-f0a9-3348-80ad-1d21be92eb75'), UUID('27189f75-085f-3c9f-b3ee-00329a14267d')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f643aac7820>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f643aa7bb80>]",['9']
10,,[30],"[[159, 593, 301, 609]]",11,[30],"[[161, 988, 318, 1004]]",[UUID('91cf62a5-904f-3513-b47b-b165c236fe37')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f643aabf8e0>],['10']
12,,[30],"[[162, 1175, 411, 1191]]",13,[31],"[[172, 303, 506, 323]]",[UUID('ff67976b-34e5-32e4-8260-2d120a3a0a9a')],"[[6, 7, 8, 9, 10, 11]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f643aabf520>],['12']
15,,[33],"[[173, 866, 373, 887]]",16,[34],"[[162, 795, 315, 811]]","[UUID('4f5946d5-90de-35d5-8ca9-9a50138a7b78'), UUID('02c50bc0-2de4-33ef-9d0f-894834b923b4')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f643aad8640>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f643aa68c10>]",['15']
17,,[36],"[[160, 541, 444, 561]]",18,[36],"[[164, 1045, 310, 1065]]","[UUID('c24e929b-f27a-3350-b982-ce3ead391e38'), UUID('c2900e51-90c9-3de3-9eb7-8cde8601ad79')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f643b902670>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f643b902a30>]",['17']
18,,[36],"[[164, 1045, 310, 1065]]",19,[37],"[[173, 448, 520, 465]]",[UUID('c2900e51-90c9-3de3-9eb7-8cde8601ad79')],"[[6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f643b902a30>],['18']
19,,[37],"[[173, 448, 520, 465]]",20,[37],"[[172, 755, 495, 775]]",[UUID('4d397d48-137f-322b-9885-0bd6a4120073')],"[[0, 1, 2, 3, 4, 5]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f643aac24f0>],['19']
20,,[37],"[[172, 755, 495, 775]]",21,[38],"[[157, 293, 294, 309]]",[UUID('ad40df21-ae33-3ff4-85f4-8630f4ce2cd3')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f643aa71f10>],"['20', '20']"
21,,[38],"[[157, 293, 294, 309]]",22,[38],"[[162, 1208, 380, 1229]]",[UUID('9575985f-c64c-3fe1-bab8-b75ee7751b14')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f643aa716d0>],['21']
22,,[38],"[[162, 1208, 380, 1229]]",23,[39],"[[173, 462, 386, 482]]",[UUID('9575985f-c64c-3fe1-bab8-b75ee7751b14')],"[[21, 22, 23, 24, 25, 26]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f643aa716d0>],['22']
23,,[39],"[[173, 462, 386, 482]]",24,[39],"[[173, 710, 305, 726]]",[UUID('ce8c1818-5946-32f1-849d-3de1e5a80438')],"[[0, 1, 2, 3, 4, 5]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f643aac2eb0>],['23']
5,,[26],"[[160, 1057, 326, 1073]]",6,[27],"[[172, 309, 300, 329]]",[UUID('44bda1b3-fc0e-3214-9c08-b38733607711')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f643aa745e0>],['5']
6,(a),[27],"[[172, 345, 428, 362]]",(b),[27],"[[172, 554, 533, 571]]",[UUID('b4477b6f-6ad6-3d75-8c4b-5f5047f54377')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f643aad8e50>],['6(a)']
6,(b),[27],"[[172, 554, 533, 571]]",(c),[28],"[[586, 1498, 604, 1511]]","[UUID('b4477b6f-6ad6-3d75-8c4b-5f5047f54377'), UUID('4ed98b0d-c52d-3593-8051-ae9cc984f377'), UUID('b7ff7981-b163-3382-816d-9b2b631f8bc8'), UUID('1aee74fc-c35c-3de6-810d-afa6678c3fd3')]","[[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f643aad8e50>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f643aa6efd0>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f643aa6e550>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f643aa6e370>]",['6(b)']
6,(d),[28],"[[160, 835, 306, 852]]",(e),[29],"[[595, 1507, 614, 1520]]","[UUID('b7ff7981-b163-3382-816d-9b2b631f8bc8'), UUID('1aee74fc-c35c-3de6-810d-afa6678c3fd3'), UUID('875409a9-f0a9-3348-80ad-1d21be92eb75'), UUID('95cc1cc4-aca6-3aec-8954-4a4dc0047be7'), UUID('acb8507c-dc30-3ea5-9b1d-8eb551ce8548')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f643aa6e550>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f643aa6e370>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f643aac7820>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f643aad38b0>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f643aa6e610>]",['6(d)']
7,,[28],"[[162, 1046, 393, 1065]]",8,[29],"[[173, 710, 473, 730]]","[UUID('1aee74fc-c35c-3de6-810d-afa6678c3fd3'), UUID('acb8507c-dc30-3ea5-9b1d-8eb551ce8548')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f643aa6e370>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f643aa6e610>]",['7']
