note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
8,,[17],"[[124, 1062, 918, 1087]]",9,[18],"[[586, 1583, 607, 1606]]","[UUID('ec832f7f-6a72-3384-b4c9-0177c94748c9'), UUID('2b4d696b-c467-37ac-9c31-86abb2c73c53'), UUID('d4361a88-70c6-312e-8ce0-cb7d966aa2da')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], [0, 1, 2, 3, 4, 5]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f4ecc7d73d0>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f4dfdb63f70>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f4dfdb63be0>]",['8']
7,(b),[17],"[[110, 312, 918, 338]]",(c),[17],"[[111, 792, 917, 818]]",[UUID('7b9a49c5-d193-3f05-ba5b-eda3d5e07d57')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f4ddeb121f0>],['7(b)']
7,(c),[17],"[[111, 792, 917, 818]]",(d),[17],"[[110, 929, 407, 955]]",[UUID('7ccd57c6-cc40-35b9-97e0-9eb3f56fec16')],"[[0, 1, 2, 3]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f4ddeb12580>],['7(c)']
10,,[18],"[[115, 480, 917, 506]]",11,[18],"[[116, 983, 205, 1004]]",[UUID('2b4d696b-c467-37ac-9c31-86abb2c73c53')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f4dfdb63f70>],['10']
11,(a),[18],"[[112, 1026, 302, 1052]]",(b),[18],"[[112, 1221, 276, 1248]]",[UUID('2b4d696b-c467-37ac-9c31-86abb2c73c53')],"[[21, 22, 23, 24, 25, 26, 27, 28]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f4dfdb63f70>],['11(a)']
11,(b),[18],"[[112, 1221, 276, 1248]]",(c),[19],"[[586, 1583, 607, 1606]]","[UUID('2b4d696b-c467-37ac-9c31-86abb2c73c53'), UUID('66b463af-213a-330d-9459-596d63462e00'), UUID('d9b2505f-77d5-3ddf-b4b1-c00d4de1385e'), UUID('61a555c5-af6a-3b57-ac92-552d15659897')]","[[31, 32, 33, 34, 35, 36, 28, 29, 30], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], [0, 1, 2]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f4dfdb63f70>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f4ecc7d0580>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f4ecc7d0d90>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f4ecc7d01c0>]","['11(b)', '11(b)']"
12,,[19],"[[116, 264, 918, 287]]",13,[19],"[[115, 439, 918, 460]]",[UUID('d9b2505f-77d5-3ddf-b4b1-c00d4de1385e')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f4ecc7d0d90>],['12']
13,,[19],"[[115, 439, 918, 460]]",14,[19],"[[115, 1042, 913, 1067]]","[UUID('66b463af-213a-330d-9459-596d63462e00'), UUID('d9b2505f-77d5-3ddf-b4b1-c00d4de1385e'), UUID('61a555c5-af6a-3b57-ac92-552d15659897')]","[[0, 1], [7, 8, 9, 10, 11, 12, 13, 14], [0, 1, 2]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f4ecc7d0580>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f4ecc7d0d90>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f4ecc7d01c0>]","['13', '13']"
14,,[19],"[[115, 1042, 913, 1067]]",15,[20],"[[115, 268, 918, 289]]",[UUID('66b463af-213a-330d-9459-596d63462e00')],"[[1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f4ecc7d0580>],"['14', '14']"
15,,[20],"[[115, 268, 918, 289]]",16,[21],"[[115, 573, 267, 598]]","[UUID('7fdf0b6a-dfb3-3043-89b3-b1d20f81b597'), UUID('a1531b93-2464-35ef-8678-77a408d623d1'), UUID('267a2992-c39d-38bd-8ee1-8c067ad09b20'), UUID('a6244db3-3252-30de-a964-e3f587c6590f')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f4e2d7efc40>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f4e2d6050a0>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f4e2d7ef3d0>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f4e2c706100>]","['15', '15']"
