note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
8,,[17],"[[130, 1080, 863, 1103]]",9,[18],"[[133, 310, 868, 330]]",[UUID('5042c331-1a66-325c-b95a-b0c71b86b9e2')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4804b460>],['8']
9,,[18],"[[133, 310, 868, 330]]",10,[18],"[[127, 514, 868, 539]]",[UUID('7f9909da-5a48-3672-9684-68248de8c233')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d47af4280>],['9']
10,,[18],"[[127, 514, 868, 539]]",11,[18],"[[126, 998, 213, 1017]]",[UUID('026fb1f7-08ff-3885-b48d-2271d654a41a')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d45dae280>],['10']
11,(a),[18],"[[124, 1037, 305, 1064]]",(b),[18],"[[124, 1246, 282, 1272]]",[],[],[],['11(a)']
11,(b),[18],"[[124, 1246, 282, 1272]]",(c),[19],"[[576, 1573, 597, 1595]]","[UUID('2b47feef-c855-379d-9df6-02a30da19841'), UUID('62089ca7-08c3-37cd-bb29-6345a83f3d38'), UUID('c82a8598-628b-3996-8f30-414028a45f8c'), UUID('96987c27-80f7-3234-aaba-44656d51fb06')]","[[0, 1, 2, 3], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d477e50a0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d477e5df0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d477e5070>, <UAT_app.database.db_models.TableLogs object at 0x7f1d47485550>]","['11(b)', '11(b)']"
7,(b),[17],"[[122, 351, 866, 378]]",(c),[17],"[[122, 820, 863, 846]]",[UUID('e94eef37-a2b1-3c03-8c7b-b5071ef2a56e')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d49b211f0>],['7(b)']
7,(c),[17],"[[122, 820, 863, 846]]",(d),[17],"[[120, 950, 404, 976]]",[UUID('2d9a5fd3-e93b-35a6-b8d8-c3a2b2acbab1')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d49b21100>],['7(c)']
7,(a),[16],"[[127, 370, 862, 393]]",(b),[17],"[[122, 351, 866, 378]]","[UUID('e15c0c4f-375a-3bd2-bbd2-6c59811a4a8a'), UUID('5943322b-f504-3ca4-9554-72e8731fe3f0'), UUID('62d30c4d-bfd1-3ec5-8337-4302cefb30c3')]","[[0, 1, 2], [0, 1, 2], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d45f530a0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d45f53b20>, <UAT_app.database.db_models.TableLogs object at 0x7f1d45f53220>]",['7(a)']
12,,[19],"[[128, 307, 866, 328]]",13,[19],"[[127, 471, 866, 495]]",[UUID('c82a8598-628b-3996-8f30-414028a45f8c')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d477e5070>],['12']
13,,[19],"[[127, 471, 866, 495]]",14,[19],"[[126, 1073, 859, 1095]]","[UUID('62089ca7-08c3-37cd-bb29-6345a83f3d38'), UUID('c82a8598-628b-3996-8f30-414028a45f8c'), UUID('96987c27-80f7-3234-aaba-44656d51fb06')]","[[0, 1], [7, 8, 9, 10, 11, 12, 13, 14], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d477e5df0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d477e5070>, <UAT_app.database.db_models.TableLogs object at 0x7f1d47485550>]","['13', '13']"
