note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[29],"[[141, 315, 458, 342]]",7,[29],"[[140, 503, 467, 527]]",[UUID('783d1f36-c06c-3414-ac20-69f7abffe2dd')],"[[0, 1, 2, 3, 4, 5]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f07b14e7c70>],"['6', '6']"
7,,[29],"[[140, 503, 467, 527]]",8,[29],"[[141, 698, 309, 721]]",[UUID('783d1f36-c06c-3414-ac20-69f7abffe2dd')],"[[5, 6, 7, 8, 9, 10, 11]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f07b14e7c70>],['7']
8,,[29],"[[141, 698, 309, 721]]",9,[29],"[[140, 991, 357, 1014]]",[UUID('783d1f36-c06c-3414-ac20-69f7abffe2dd')],"[[11, 12, 13, 14, 15, 16]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f07b14e7c70>],['8']
9,,[29],"[[140, 991, 357, 1014]]",10,[30],"[[141, 314, 324, 340]]",[UUID('6354e3c7-4619-3a07-b336-df681451d867')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f07b145ef40>],"['9', '9']"
20,,[35],"[[140, 314, 444, 343]]",21,[35],"[[140, 1003, 334, 1029]]",[UUID('817597a4-1bac-3822-901a-86738c8957b8')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f07b2506ca0>],['20']
11,,[30],"[[141, 624, 457, 652]]",12,[31],"[[141, 314, 491, 343]]","[UUID('09af3f09-68b9-3555-9536-3587a02264e5'), UUID('e3601430-2dd6-3395-952d-e5ae62f90eeb'), UUID('bb79b34d-1e9c-34e4-aaa1-a6d8509516ef')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6], [10, 11, 12, 13]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f07b14e9be0>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f07b14e9d30>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f07b14e9b80>]","['11', '11']"
12,,[31],"[[141, 314, 491, 343]]",13,[31],"[[141, 1060, 269, 1087]]",[UUID('24662bf7-9672-32e9-9ab2-f84001ad12ef')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f07b159f640>],"['12', '12']"
5,,[27],"[[141, 999, 309, 1024]]",6,[28],"[[1029, 1522, 1051, 1544]]","[UUID('be4d92ca-40d3-32df-965d-ec7fc0fe62e4'), UUID('994bc063-83b4-3b85-b2d3-f5a91d9330f7'), UUID('673995c5-d2ab-3eab-97ea-30179924dd0d'), UUID('67dae025-9104-3cc4-a14e-0e3ffa5c43e1')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f07b22d2af0>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f07b1599640>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f07b1426e20>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f07b159f8e0>]","['5', '5', '5']"
16,,[32],"[[141, 1221, 312, 1248]]",17,[33],"[[143, 693, 303, 715]]","[UUID('2307c038-33fd-3bed-83eb-a45eb8e72b90'), UUID('6bafd8f6-8a94-32ee-9a37-d2ba41062896')]","[[26, 27, 28, 29], [0, 1, 2, 3, 4, 5, 6]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f07b22afc10>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f07b05eabb0>]",['16']
17,,[33],"[[143, 693, 303, 715]]",18,[33],"[[143, 1039, 382, 1068]]",[UUID('65990df0-8285-3b32-87b4-6eebe133f883')],"[[0, 1, 2, 3, 4, 5, 6]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f07b14f2dc0>],"['17', '17']"
15,,[32],"[[143, 919, 379, 940]]",16,[32],"[[141, 1221, 312, 1248]]",[UUID('2307c038-33fd-3bed-83eb-a45eb8e72b90')],"[[17, 18, 19, 20, 21, 22, 23, 24, 25, 26]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f07b22afc10>],['15']
18,,[33],"[[143, 1039, 382, 1068]]",19,[34],"[[141, 314, 290, 340]]",[UUID('8a5d8593-402f-3237-9f10-7aeb81d494f1')],"[[0, 1, 2]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f07b05ef8e0>],['18']
19,,[34],"[[141, 314, 290, 340]]",20,[35],"[[140, 314, 444, 343]]",[UUID('85574d29-1138-3d46-afab-d55cdd155e74')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f07b22bfa60>],['19']
4,1,[26],"[[139, 351, 583, 378]]",4.2,[26],"[[141, 823, 338, 846]]",[UUID('e8b583fe-7a0d-3304-9c51-b1ed80b890f6')],"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f07b14ed6d0>],['4.1']
4,2,[26],"[[141, 823, 338, 846]]",4.3,[26],"[[141, 963, 331, 988]]",[UUID('e8b583fe-7a0d-3304-9c51-b1ed80b890f6')],"[[16, 17, 18, 19, 20]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f07b14ed6d0>],['4.2']
4,3,[26],"[[141, 963, 331, 988]]",4.4,[27],"[[139, 351, 353, 378]]",[UUID('e8b583fe-7a0d-3304-9c51-b1ed80b890f6')],"[[20, 21, 22, 23, 24, 25, 26, 27]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f07b14ed6d0>],['4.3']
4,4,[27],"[[139, 351, 353, 378]]",4.5,[27],"[[141, 495, 336, 518]]",[UUID('dfb38738-8ae6-3592-8b2f-3162f73b28b9')],"[[0, 1, 2, 3]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f07b147ba90>],['4.4']
