note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[24],"[[141, 315, 459, 342]]",7,[24],"[[140, 468, 426, 491]]",[],[],[],"['6', '6']"
7,,[24],"[[140, 468, 426, 491]]",8,[24],"[[140, 619, 466, 644]]",[],[],[],['7']
8,,[24],"[[140, 619, 466, 644]]",9,[24],"[[140, 914, 309, 937]]",[UUID('d2e3b5c7-0fc7-359e-9004-b1663eef11bc')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7feff21f7bb0>],['8']
9,,[24],"[[140, 914, 309, 937]]",10,[25],"[[140, 314, 323, 340]]",[UUID('7836e25f-d34d-33fb-a5b2-051b7b8bede1')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7feff21f71c0>],['9']
10,,[25],"[[140, 314, 323, 340]]",11,[25],"[[140, 689, 491, 717]]",[UUID('d654554c-1b3d-37da-913f-3d2182e189d1')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7feff21f36d0>],"['10', '10']"
11,,[25],"[[140, 689, 491, 717]]",12,[26],"[[141, 317, 364, 342]]",[UUID('833f071c-c849-321e-b9e9-0821318eeaea')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7feff21cb340>],['11']
12,,[26],"[[141, 317, 364, 342]]",13,[26],"[[143, 786, 269, 807]]",[UUID('86c1c493-8c04-3d6c-96ed-7d93920b5847')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7feff30b56a0>],['12']
14,,[27],"[[140, 680, 443, 707]]",15,[27],"[[140, 939, 374, 965]]",[UUID('917891f6-0ebe-3e22-a74e-1ef3318f908a')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7feff21e1160>],['14']
15,,[27],"[[140, 939, 374, 965]]",16,[28],"[[140, 314, 304, 340]]",[UUID('1ec322f6-0114-30dd-add2-8ee0d61adbf4')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7feff21d2b20>],['15']
16,,[28],"[[140, 314, 304, 340]]",17,[28],"[[140, 966, 523, 993]]","[UUID('05a0f9f0-1c60-3c47-b7d8-2a21129b9112'), UUID('93ac8f47-a771-3924-a1d7-d91eed6346e5')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7feff21d2100>, <UAT_app.database.db_models.TableLogs object at 0x7feff3098f10>]","['16', '16']"
17,,[28],"[[140, 966, 523, 993]]",18,[29],"[[140, 314, 314, 340]]",[UUID('2e95bb5f-26a3-3467-9d7b-e0aa203a5b4e')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7feff21cfd90>],"['17', '17']"
18,,[29],"[[140, 314, 314, 340]]",19,[29],"[[140, 486, 469, 514]]",[],[],[],['18']
19,,[29],"[[140, 486, 469, 514]]",20,[29],"[[141, 869, 445, 897]]",[],[],[],['19']
