note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[18],"[[141, 1128, 461, 1154]]",8,[18],"[[141, 1330, 472, 1353]]",[UUID('c250362f-325f-385d-aa41-0789625ef2b8')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6e848c10>],"['7', '7']"
8,,[18],"[[141, 1330, 472, 1353]]",9,[19],"[[141, 909, 295, 932]]",[UUID('53c8a602-311b-3412-b336-a3cc615b9878')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba98c6340>],['8']
9,,[19],"[[141, 909, 295, 932]]",10,[19],"[[141, 1246, 497, 1276]]",[UUID('3c842f3f-a6e9-3c30-9484-786398fbe897')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba98c6d00>],['9']
10,,[19],"[[141, 1246, 497, 1276]]",11,[20],"[[585, 1519, 608, 1540]]",[UUID('92e81ca5-93dd-3b1f-928d-6045a66258e6')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf4c69190>],['10']
12,,[22],"[[141, 266, 382, 292]]",13,[22],"[[141, 934, 446, 963]]",[UUID('c0cf5c93-be23-3a57-a812-590addf9ae81')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdc5009a550>],['12']
13,,[22],"[[141, 934, 446, 963]]",14,[23],"[[141, 266, 485, 294]]",[UUID('c0cf5c93-be23-3a57-a812-590addf9ae81')],"[[19, 20, 21, 22, 23, 24, 25]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdc5009a550>],['13']
14,,[23],"[[141, 266, 485, 294]]",15,[23],"[[141, 467, 408, 493]]",[UUID('f31d2635-828e-3578-bff9-442876d6d252')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6e862730>],['14']
16,,[24],"[[141, 266, 376, 296]]",17,[24],"[[141, 646, 568, 674]]",[UUID('1d0fe1cd-a8fa-32d5-a9f4-4d5dccbcc8ab')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf672d250>],['16']
17,(a),[24],"[[140, 684, 307, 712]]",(b),[24],"[[140, 465, 317, 491]]",[],[],[],"['17(a)', '17(a)']"
17,(b),[24],"[[140, 988, 334, 1014]]",(c),[25],"[[140, 748, 511, 776]]","[UUID('dc2551c2-a24c-3124-a96d-e5dadebcd8d4'), UUID('55f6634b-8fa3-3375-b76f-11a15596b358'), UUID('b0f9d5f8-9c19-3065-9fbd-3e8ddeeb9893')]","[[0, 1, 2, 3], [0, 1, 2], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7fda6d957610>, <UAT_app.database.db_models.TableLogs object at 0x7fda6d9571c0>, <UAT_app.database.db_models.TableLogs object at 0x7fdba98c62b0>]",['17(b)']
6,,[17],"[[141, 1136, 389, 1164]]",7,[18],"[[141, 1128, 461, 1154]]","[UUID('eb7ab75d-d743-3d68-97fb-a4e5ff326c9d'), UUID('bee53052-38a4-3b89-acf8-62cc471ed4e8')]","[[10, 11], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba8190460>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf6158a90>]",['6']
