note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
5,,[16],"[[126, 250, 392, 274]]",6,[16],"[[126, 368, 405, 389]]",[UUID('7d5225c1-d8bc-3dd0-95fd-0267198396b2')],"[[2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f16713f8220>],"['5', '5']"
6,,[16],"[[126, 368, 405, 389]]",7,[16],"[[125, 990, 146, 1011]]",[UUID('7d5225c1-d8bc-3dd0-95fd-0267198396b2')],"[[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]]",[<UAT_app.database.db_models.TableLogs object at 0x7f16713f8220>],['6']
4,,[14],"[[126, 850, 273, 872]]",5,[15],"[[1098, 1564, 1120, 1584]]","[UUID('86667154-2e42-3742-a8ef-6f551c34d0a6'), UUID('b141b567-4b0b-3d65-bab3-ed87475ef895'), UUID('6672bfed-4fcd-3584-87a7-8ef9d643399c'), UUID('53f0f07b-488b-319a-9eb9-14873e19ebe5')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]","[<UAT_app.database.db_models.TableLogs object at 0x7f166ed6b910>, <UAT_app.database.db_models.TableLogs object at 0x7f166ed6bcd0>, <UAT_app.database.db_models.TableLogs object at 0x7f166edba640>, <UAT_app.database.db_models.TableLogs object at 0x7f196424eb20>]","['4', '4', '4']"
17,,[21],"[[122, 803, 307, 824]]",18,[21],"[[123, 1166, 328, 1186]]",[UUID('0dbc481b-9a90-366e-bac6-58a43b3f428e')],"[[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]]",[<UAT_app.database.db_models.TableLogs object at 0x7f166ec005b0>],['17']
8,,[16],"[[125, 1112, 429, 1135]]",9,[17],"[[1097, 1563, 1119, 1584]]","[UUID('7d5225c1-d8bc-3dd0-95fd-0267198396b2'), UUID('d61542b9-0159-3677-aab5-03be1476196b'), UUID('b471f950-2007-3f87-8a61-77197ae4bed2'), UUID('623c82e9-63a6-3530-9339-3d65a620ce47')]","[[31, 32, 33, 34, 35, 36, 37, 38, 30], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7f16713f8220>, <UAT_app.database.db_models.TableLogs object at 0x7f166f62c1f0>, <UAT_app.database.db_models.TableLogs object at 0x7f166f62c250>, <UAT_app.database.db_models.TableLogs object at 0x7f166f62cdf0>]",['8']
15,,[20],"[[126, 1048, 355, 1074]]",16,[21],"[[122, 296, 330, 319]]","[UUID('7733554c-7d3f-3861-8a12-d8dce197118e'), UUID('b314b83c-db73-32c4-b49e-576dd8fc98c1')]","[[0, 1, 2, 3, 4], [6, 7, 8, 9, 10]]","[<UAT_app.database.db_models.TableLogs object at 0x7f166ec00580>, <UAT_app.database.db_models.TableLogs object at 0x7f166ec00cd0>]",['15']
9,,[18],"[[126, 223, 391, 248]]",10,[18],"[[128, 389, 278, 411]]",[UUID('490eb9fe-ee8a-36c8-b962-68d366fd0c37')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f166ec00700>],['9']
10,,[18],"[[128, 389, 278, 411]]",11,[18],"[[128, 926, 270, 946]]",[UUID('490eb9fe-ee8a-36c8-b962-68d366fd0c37')],"[[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]]",[<UAT_app.database.db_models.TableLogs object at 0x7f166ec00700>],['10']
18,,[21],"[[123, 1166, 328, 1186]]",19,[22],"[[135, 343, 374, 370]]",[UUID('0dbc481b-9a90-366e-bac6-58a43b3f428e')],"[[18, 19, 20, 21, 22, 23, 24, 25, 26, 27]]",[<UAT_app.database.db_models.TableLogs object at 0x7f166ec005b0>],['18']
11,,[18],"[[128, 926, 270, 946]]",12,[18],"[[181, 1189, 295, 1209]]",[UUID('a3d7de58-e583-3ae4-89d8-f8284cb32459')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1673c5f070>],['11']
12,,[19],"[[118, 296, 977, 320]]",13,[19],"[[117, 931, 303, 952]]","[UUID('8f2368de-45fe-39ca-9e42-39cabb8e0e9e'), UUID('afa19d4b-3a88-3700-927f-00e35855371d')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1a0c4196a0>, <UAT_app.database.db_models.TableLogs object at 0x7f1a0c419460>]",['12']
3,,[14],"[[126, 640, 301, 663]]",4,[14],"[[126, 850, 273, 872]]",[],[],[],['3']
