note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[24],"[[141, 315, 459, 340]]",7,[24],"[[140, 468, 426, 491]]",[],[],[],"['6', '6']"
7,,[24],"[[140, 468, 426, 491]]",8,[24],"[[141, 621, 467, 644]]",[UUID('2e69e7c3-ad67-3333-9133-457d180b088f')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba8163400>],['7']
8,,[24],"[[141, 621, 467, 644]]",9,[24],"[[141, 914, 308, 937]]",[UUID('c3862134-8a73-3fca-967a-5bf5fdee7779')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba9b4f7f0>],['8']
9,,[24],"[[141, 914, 308, 937]]",10,[25],"[[140, 314, 323, 340]]",[UUID('0c516e34-0f5c-3d64-9a6f-37a9f31e6536')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba9b4f670>],['9']
10,,[25],"[[140, 314, 323, 340]]",11,[25],"[[140, 689, 491, 715]]",[UUID('b65cacb7-652c-38ee-927c-6fbe7c5987c0')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba8c06b20>],"['10', '10']"
11,,[25],"[[140, 689, 491, 715]]",12,[26],"[[141, 317, 364, 342]]",[UUID('47f87208-e6ba-3819-99dd-70b44cba5df1')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba7706280>],['11']
12,,[26],"[[141, 317, 364, 342]]",13,[26],"[[143, 842, 269, 863]]",[UUID('cdbb7912-c93f-3b34-a0df-026b41abb617')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba8163460>],['12']
5,,[23],"[[141, 315, 309, 340]]",6,[24],"[[141, 315, 459, 340]]","[UUID('e2400d32-a30a-3a68-9248-db4ceebf81cd'), UUID('982459ae-ef8f-3d24-86f3-fb46b89c92f7'), UUID('4ad71178-cebf-394b-829a-e69d124eede2')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba8c065b0>, <UAT_app.database.db_models.TableLogs object at 0x7fdba8c06730>, <UAT_app.database.db_models.TableLogs object at 0x7fdba8c06550>]","['5', '5', '5']"
14,,[27],"[[141, 1022, 443, 1045]]",15,[27],"[[140, 1277, 374, 1304]]",[UUID('327d28de-2550-322e-96e4-16d425af1aa4')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6d9726a0>],['14']
15,,[27],"[[140, 1277, 374, 1304]]",16,[28],"[[140, 314, 304, 340]]",[UUID('cb24dfa8-1441-3f17-9333-be07bb898336')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf25b1460>],['15']
16,,[28],"[[140, 314, 304, 340]]",17,[28],"[[140, 975, 524, 1003]]",[UUID('3c75b7b7-1f2c-3eda-aa70-414c3a655d21')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf9652ba30>],"['16', '16']"
17,,[28],"[[140, 975, 524, 1003]]",18,[28],"[[140, 1276, 314, 1302]]",[UUID('3c75b7b7-1f2c-3eda-aa70-414c3a655d21')],"[[23, 24, 25, 26, 27, 28]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf9652ba30>],['17']
18,,[28],"[[140, 1276, 314, 1302]]",19,[29],"[[140, 314, 468, 342]]",[UUID('0ab82e59-4fa2-343e-85a5-927a15da4255')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba8163d00>],['18']
