note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
11,,[21],"[[127, 142, 374, 167]]",12,[21],"[[129, 414, 1015, 455]]",[UUID('ec8e3731-3261-3f05-abd9-1bffed45d4e0')],"[[0, 1, 2]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f2c759391c0>],"['11', '11']"
12,,[21],"[[129, 414, 1015, 455]]",13,[21],"[[129, 659, 1015, 696]]",[UUID('ec8e3731-3261-3f05-abd9-1bffed45d4e0')],"[[3, 4, 5, 6, 7]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f2c759391c0>],['12']
9,,[19],"[[131, 923, 1013, 961]]",10,[20],"[[130, 177, 526, 202]]","[UUID('ee35137d-051d-3f65-9530-f488bdcd01c7'), UUID('a4fa63e2-4ae4-3434-9975-cc6895e28bb3')]","[[11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f2c86beaf70>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f2c46dcb220>]","['9', '9']"
13,,[21],"[[129, 659, 1015, 696]]",14,[21],"[[130, 839, 1016, 879]]",[UUID('5eec6316-3046-34a4-8258-3a751d64cb17')],"[[0, 1, 2, 3, 4]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f2c86beadc0>],['13']
14,,[21],"[[130, 839, 1016, 879]]",15,[22],"[[129, 174, 401, 202]]",[],[],[],['14']
15,,[22],"[[129, 174, 401, 202]]",16,[23],"[[131, 147, 487, 174]]",[UUID('705a6337-e64c-34a2-9328-b64d15b8da1f')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f2c46dc2550>],"['15', '15']"
16,,[23],"[[131, 147, 487, 174]]",17,[23],"[[133, 994, 1008, 1033]]","[UUID('c014f996-2722-3eab-b31a-ea0db30a8a23'), UUID('803d18d5-10af-3a8a-a646-bde3f4a8e594')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [0, 1, 2, 3]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f2c46dc2e20>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f2c46dc28b0>]",['16']
17,,[23],"[[133, 994, 1008, 1033]]",18,[23],"[[134, 1188, 1009, 1227]]",[UUID('f1a6d85f-e7ba-3d1f-afce-ddce6deb2ee6')],"[[0, 1, 2, 3, 4]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f2c46dc2df0>],['17']
10,,[20],"[[133, 788, 419, 810]]",11,[21],"[[127, 142, 374, 167]]","[UUID('761f0b99-2f72-35f7-9381-ee87f487fe27'), UUID('659685b4-dd39-36fb-88ec-c4f3bc56f255')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], [23, 20, 21, 22]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f2c46dc27c0>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f2c46dc21f0>]","['10', '10', '10']"
10,,[20],"[[130, 177, 526, 202]]",11,[21],"[[127, 142, 374, 167]]","[UUID('761f0b99-2f72-35f7-9381-ee87f487fe27'), UUID('659685b4-dd39-36fb-88ec-c4f3bc56f255')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f2c46dc27c0>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f2c46dc21f0>]",[]
18,,[23],"[[134, 1188, 1009, 1227]]",19,[24],"[[131, 146, 1006, 184]]",[UUID('f1a6d85f-e7ba-3d1f-afce-ddce6deb2ee6')],"[[4, 5, 6, 7, 8, 9]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f2c46dc2df0>],['18']
19,,[24],"[[131, 146, 1006, 184]]",20,[24],"[[131, 304, 1006, 345]]",[UUID('6e294275-ffb8-3b47-a75d-ef9db08215b1')],"[[0, 1]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f2c46dec460>],['19']
22,,[24],"[[131, 1083, 358, 1104]]",23,[24],"[[131, 1324, 1020, 1365]]",[UUID('022dcf40-af12-34e8-95a2-ab97dc0fcbe5')],"[[0, 1, 2, 3, 4, 5]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f2c46dc2610>],['22']
23,,[24],"[[131, 1324, 1020, 1365]]",24,[25],"[[129, 146, 252, 167]]",[UUID('022dcf40-af12-34e8-95a2-ab97dc0fcbe5')],"[[4, 5, 6, 7, 8]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f2c46dc2610>],['23']
24,,[25],"[[129, 146, 252, 167]]",25,[25],"[[131, 659, 1016, 698]]","[UUID('4e33d552-a344-3fe4-a2df-c193273e2270'), UUID('460055e8-7d48-3e15-aa08-ac313b5f52a3')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f2c75905460>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f2c7592adf0>]","['24', '24']"
25,,[25],"[[131, 659, 1016, 698]]",26,[25],"[[131, 788, 1017, 828]]",[UUID('4e33d552-a344-3fe4-a2df-c193273e2270')],"[[5, 6, 7, 8, 9]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f2c75905460>],['25']
20,,[24],"[[131, 304, 1006, 345]]",21,[24],"[[131, 437, 226, 458]]",[UUID('6e294275-ffb8-3b47-a75d-ef9db08215b1')],"[[0, 1, 2, 3, 4]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f2c46dec460>],['20']
