note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
8,,[25],"[[88, 259, 1055, 296]]",9,[25],"[[87, 1134, 1131, 1177]]",[UUID('c7e553ca-3e8d-3c55-80d7-95903502a22f')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdda131b070>],['8']
9,,[25],"[[87, 1134, 1131, 1177]]",10,[26],"[[91, 240, 482, 276]]",[UUID('e3ae65fd-71e8-350a-8031-3cfbf4fb5dcd')],"[[1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdda131b130>],['9']
10,,[26],"[[91, 240, 482, 276]]",11,[27],"[[90, 314, 483, 348]]",[UUID('4fa7986f-564e-3935-8dbc-0e96727fffd6')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdda636caf0>],['10']
11,,[27],"[[90, 314, 483, 348]]",12,[28],"[[90, 243, 276, 276]]",[UUID('26b293f1-3d38-31b8-8430-9e995eeeb277')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdda14b0ee0>],['11']
13,,[30],"[[90, 226, 419, 263]]",14,[31],"[[91, 291, 564, 327]]","[UUID('63cd5c48-c2fc-3cdb-8de6-3a6ba9a0bfbe'), UUID('8d4ff4f5-fe11-3d1f-8af9-7a97d67f0179'), UUID('9a71b9e0-8c32-3983-91b1-44b7115b88b5'), UUID('a526d3a7-b146-31d2-ad85-8367259db0eb'), UUID('ed4e00ec-a387-3b50-b75b-15a891970a55'), UUID('89185d4a-c4e7-34ef-8ba4-dd48ed6239d8')]","[[0, 1], [0, 1, 2], [0, 1, 2], [0, 1], [0, 1, 2, 3, 4], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdda13e9f70>, <UAT_app.database.db_models.TableLogs object at 0x7fdda1313610>, <UAT_app.database.db_models.TableLogs object at 0x7fdda1313100>, <UAT_app.database.db_models.TableLogs object at 0x7fdda1313640>, <UAT_app.database.db_models.TableLogs object at 0x7fdda1313580>, <UAT_app.database.db_models.TableLogs object at 0x7fdda13134f0>]",['13']
5,,[23],"[[87, 269, 332, 304]]",6,[24],"[[87, 276, 431, 314]]","[UUID('208c920f-83a1-38fc-8c29-d0d2cb7ac45d'), UUID('de7df3ee-3330-35fc-9f25-cc115dcfb3fa'), UUID('42b8f3af-a682-3c5d-b84d-0be0416c1762')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdda131b220>, <UAT_app.database.db_models.TableLogs object at 0x7fdda131bc40>, <UAT_app.database.db_models.TableLogs object at 0x7fdda131bfd0>]","['5', '5']"
14,,[31],"[[91, 291, 564, 327]]",15,[31],"[[90, 842, 339, 873]]",[UUID('81d1dea8-8347-3622-b4d5-b59db941faa2')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdda133a640>],['14']
15,,[31],"[[90, 842, 339, 873]]",16,[32],"[[91, 264, 389, 299]]",[UUID('5c902be1-b995-34ee-87ba-7455cc47ded0')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdda13c3730>],"['15', '15']"
16,,[32],"[[91, 264, 389, 299]]",17,[32],"[[90, 835, 448, 871]]",[UUID('2c46b16e-11df-3fb1-9bd0-120417448852')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdda13132b0>],['16']
17,,[32],"[[90, 835, 448, 871]]",18,[32],"[[89, 1152, 323, 1184]]",[UUID('55b21be2-d100-3482-ad2d-1c6eca804dc6')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdda1313e20>],['17']
