note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
10,,[23],"[[147, 823, 480, 851]]",11,[24],"[[139, 276, 485, 302]]","[UUID('2f64ae6b-d2ca-3ffb-bb6f-a5e70e88e623'), UUID('2f76ae27-5724-31db-a9eb-56595cf940b4')]","[[0, 1, 2, 3, 4], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7fda6f228af0>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf5eff4f0>]","['10', '10']"
11,,[24],"[[139, 276, 485, 302]]",12,[24],"[[139, 808, 294, 834]]",[UUID('2f76ae27-5724-31db-a9eb-56595cf940b4')],"[[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf5eff4f0>],"['11', '11']"
12,,[24],"[[139, 808, 294, 834]]",13,[24],"[[139, 1081, 307, 1107]]",[UUID('2f76ae27-5724-31db-a9eb-56595cf940b4')],"[[18, 19, 20, 21, 22, 23, 24, 25, 26]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf5eff4f0>],['12']
13,,[24],"[[139, 1081, 307, 1107]]",14,[24],"[[140, 1249, 518, 1275]]",[UUID('2f76ae27-5724-31db-a9eb-56595cf940b4')],"[[26, 27, 28, 29]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf5eff4f0>],['13']
15,,[26],"[[138, 276, 485, 304]]",16,[27],"[[147, 706, 300, 733]]","[UUID('a0d6682d-4680-3bee-a0ce-7f1306a616e5'), UUID('23d9e412-7ab8-3bce-86b1-30d47fd7cb05')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdaf6624a60>, <UAT_app.database.db_models.TableLogs object at 0x7fdba88c4c10>]",['15']
16,,[27],"[[147, 706, 300, 733]]",17,[28],"[[138, 795, 461, 821]]","[UUID('d57b916f-f8ea-3133-963a-a9168d2da763'), UUID('3895f4f7-bb88-3ce8-8263-e3a4088f04e1')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba9d82d90>, <UAT_app.database.db_models.TableLogs object at 0x7fdc501be610>]",['16']
17,,[28],"[[138, 795, 461, 821]]",18,[29],"[[147, 313, 411, 341]]",[UUID('3895f4f7-bb88-3ce8-8263-e3a4088f04e1')],"[[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdc501be610>],['17']
18,,[29],"[[147, 313, 411, 341]]",19,[29],"[[152, 910, 293, 936]]","[UUID('bb1d47e9-7e62-3893-9ca2-e7eb028fdd54'), UUID('b8809140-3908-3e85-b812-340522dbcfaa')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdbaf49ff10>, <UAT_app.database.db_models.TableLogs object at 0x7fda6ef6de80>]","['18', '18']"
19,,[29],"[[152, 910, 293, 936]]",20,[30],"[[137, 519, 395, 544]]","[UUID('1e5ca091-d0e2-3358-81d1-a809fbe582e1'), UUID('92c42cfa-843b-3007-81b0-f7efb6c66a9a'), UUID('1573001d-b801-3a9d-83d9-14c6f3a8e6ed')]","[[0, 1, 2, 3, 4], [0, 1, 2], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdaf5eff580>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf5eff9a0>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf6624c40>]","['19', '19']"
21,,[32],"[[137, 451, 383, 478]]",22,[33],"[[147, 281, 259, 307]]","[UUID('0a99a09a-161e-3c26-8a17-f6d98ecbb8a5'), UUID('05dd3f5b-4e80-3fd4-a93b-3ca814b72e82')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba8af9fa0>, <UAT_app.database.db_models.TableLogs object at 0x7fdba8af97f0>]","['21', '21']"
6,,[20],"[[136, 872, 253, 899]]",7,[20],"[[143, 1165, 396, 1193]]",[UUID('de1b0349-48f5-3dce-9274-4095c58f25bf')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf4462c40>],['6']
8,,[21],"[[144, 629, 348, 659]]",9,[21],"[[145, 1015, 288, 1040]]",[UUID('fbd4ecda-a056-3058-b225-dc96f64eb042')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdc50171e50>],['8']
