note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[13],"[[54, 483, 387, 509]]",7,[13],"[[55, 698, 396, 723]]",[UUID('2a4a0404-87d4-3625-8f2e-3d322f62e9f3')],"[[9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf6632ca0>],"['6', '6']"
7,,[13],"[[55, 698, 396, 723]]",8,[13],"[[54, 1075, 284, 1100]]",[UUID('2a4a0404-87d4-3625-8f2e-3d322f62e9f3')],"[[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf6632ca0>],['7']
8,,[13],"[[54, 1075, 284, 1100]]",9,[14],"[[55, 179, 251, 200]]",[UUID('2a4a0404-87d4-3625-8f2e-3d322f62e9f3')],"[[25, 26, 27, 28, 29, 30]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf6632ca0>],['8']
9,,[14],"[[55, 179, 251, 200]]",10,[14],"[[55, 575, 632, 603]]",[UUID('32dbf7a3-5066-3050-909a-e26f052a83e0')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf2d04f10>],"['9', '9']"
10,,[14],"[[55, 575, 632, 603]]",11,[15],"[[55, 179, 326, 203]]","[UUID('5fa205bf-557f-3c2f-9fdb-c5816f1501dc'), UUID('0c935a2b-1721-3276-9f57-38a938da9602')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7fda6ec698e0>, <UAT_app.database.db_models.TableLogs object at 0x7fda6ec69490>]",['10']
12,,[15],"[[54, 483, 376, 508]]",13,[15],"[[55, 860, 431, 886]]",[UUID('0be14c63-1ef2-33d0-a16e-3dda01154239')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdbaf322610>],['12']
13,,[15],"[[55, 860, 431, 886]]",14,[16],"[[55, 179, 246, 203]]",[UUID('9a035527-04b6-3a44-8a18-730ef448b084')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdbaf322b20>],['13']
11,,[15],"[[55, 179, 326, 203]]",12,[15],"[[54, 483, 376, 508]]",[UUID('55c4d934-df49-3de5-be31-2672f0e04f9d')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdc501037f0>],['11']
14,,[16],"[[55, 179, 246, 203]]",15,[16],"[[55, 462, 259, 483]]",[UUID('aa4a3614-4b6f-30f5-a5e9-19d29c6707e7')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf6160f10>],['14']
15,,[16],"[[55, 462, 259, 483]]",16,[16],"[[55, 721, 383, 748]]",[UUID('aa4a3614-4b6f-30f5-a5e9-19d29c6707e7')],"[[8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf6160f10>],['15']
16,,[16],"[[55, 721, 383, 748]]",17,[16],"[[55, 1029, 252, 1054]]",[UUID('aa4a3614-4b6f-30f5-a5e9-19d29c6707e7')],"[[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf6160f10>],['16']
17,,[16],"[[55, 1029, 252, 1054]]",18,[17],"[[55, 179, 289, 200]]",[UUID('aa4a3614-4b6f-30f5-a5e9-19d29c6707e7')],"[[24, 25, 26, 27, 28, 29, 30]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf6160f10>],['17']
18,,[17],"[[55, 179, 289, 200]]",19,[17],"[[55, 509, 317, 534]]",[UUID('11261ae1-dd23-332c-8f69-832730cf5582')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6ec69850>],"['18', '18']"
19,,[17],"[[55, 509, 317, 534]]",20,[17],"[[55, 721, 244, 744]]",[UUID('11261ae1-dd23-332c-8f69-832730cf5582')],"[[9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6ec69850>],['19']
20,,[17],"[[55, 721, 244, 744]]",21,[17],"[[55, 1050, 260, 1077]]",[UUID('11261ae1-dd23-332c-8f69-832730cf5582')],"[[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6ec69850>],"['20', '20']"
21,,[17],"[[55, 1050, 260, 1077]]",22,[18],"[[55, 179, 274, 203]]",[UUID('11261ae1-dd23-332c-8f69-832730cf5582')],"[[24, 25, 26, 27, 28, 29, 30]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6ec69850>],['21']
22,,[18],"[[55, 179, 274, 203]]",23,[18],"[[54, 552, 236, 577]]",[UUID('198f66ab-2b5e-383c-a6f0-95f99e29b497')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdc50103850>],['22']
3,,[12],"[[55, 754, 214, 777]]",4,[12],"[[54, 1060, 259, 1085]]",[UUID('80960b5a-b6ff-32b1-b97a-63e5a08cb58a')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba817c8b0>],['3']
4,,[12],"[[54, 1060, 259, 1085]]",5,[13],"[[55, 179, 281, 203]]",[UUID('80960b5a-b6ff-32b1-b97a-63e5a08cb58a')],"[[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba817c8b0>],['4']
5,,[13],"[[55, 179, 281, 203]]",6,[13],"[[54, 483, 387, 509]]",[UUID('2a4a0404-87d4-3625-8f2e-3d322f62e9f3')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf6632ca0>],['5']
27,,[19],"[[55, 639, 956, 667]]",28,[20],"[[596, 1611, 617, 1631]]","[UUID('3dc118d3-bc09-38f3-931c-a8549c030aa0'), UUID('2f967e96-646a-3fc5-b06f-e30347dc0ac9')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7fda6ebf5190>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf6632760>]",['27']
