note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
9,,[24],"[[91, 327, 398, 351]]",10,[24],"[[96, 784, 415, 807]]",[UUID('06a606ea-1085-369c-90c4-5e0891ead433')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef6c4a89e50>],"['9', '9']"
10,,[24],"[[96, 784, 415, 807]]",11,[24],"[[98, 1195, 265, 1216]]",[UUID('252e3e94-fbe8-358a-8593-4ae51ccca782')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7445a4760>],['10']
11,,[24],"[[98, 1195, 265, 1216]]",12,[25],"[[93, 338, 430, 363]]",[UUID('2d56e54d-55ef-389f-bcd1-76b00e7da5f4')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7444662b0>],['11']
14,,[26],"[[91, 373, 360, 394]]",15,[26],"[[93, 641, 387, 662]]",[UUID('a29618ab-69f1-3841-b23e-67afc08041c7')],"[[2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef740dde130>],"['14', '14']"
12,,[25],"[[93, 338, 430, 363]]",13,[25],"[[97, 1024, 317, 1045]]",[UUID('e443d199-1ba1-3ad3-9236-f2f518de058f')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef742f03760>],['12']
13,,[25],"[[97, 1024, 317, 1045]]",14,[26],"[[91, 373, 360, 394]]","[UUID('e443d199-1ba1-3ad3-9236-f2f518de058f'), UUID('a29618ab-69f1-3841-b23e-67afc08041c7')]","[[31, 32, 33, 34, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef742f03760>, <UAT_app.database.db_models.TableLogs object at 0x7ef740dde130>]",['13']
8,,[22],"[[91, 370, 267, 393]]",9,[23],"[[1064, 1598, 1089, 1619]]","[UUID('21e7a67f-01ca-3f46-9baf-2a350a7a1d22'), UUID('53b9a598-3eb6-3f63-a180-2c427a18023c'), UUID('d12c61ab-9e5e-3df4-9fba-d9508b6c4b8e')]","[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef740dde970>, <UAT_app.database.db_models.TableLogs object at 0x7ef740ddea60>, <UAT_app.database.db_models.TableLogs object at 0x7ef740dde100>]","['8', '8']"
15,,[26],"[[93, 641, 387, 662]]",16,[26],"[[94, 828, 260, 851]]",[],[],[],['15']
17,,[27],"[[94, 299, 267, 323]]",18,[27],"[[95, 822, 387, 842]]","[UUID('afea5db4-215d-329b-bdef-009e7648ced1'), UUID('34491055-48fc-3b9e-8b88-08958b6baaab')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7efbe648adf0>, <UAT_app.database.db_models.TableLogs object at 0x7efbe648abb0>]","['17', '17']"
16,,[26],"[[94, 828, 260, 851]]",17,[26],"[[91, 128, 227, 148]]",[],[],[],"['16', '16']"
18,,[27],"[[95, 822, 387, 842]]",19,[27],"[[95, 945, 290, 966]]",[UUID('34491055-48fc-3b9e-8b88-08958b6baaab')],"[[1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7efbe648abb0>],['18']
19,,[27],"[[95, 945, 290, 966]]",20,[27],"[[96, 1228, 405, 1249]]",[],[],[],['19']
5,,[21],"[[91, 371, 238, 394]]",6,[21],"[[93, 656, 288, 679]]",[UUID('e6317125-fa05-3352-8e6f-1848ad804453')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef740dde430>],"['5', '5']"
6,,[21],"[[93, 656, 288, 679]]",7,[21],"[[93, 861, 376, 884]]",[UUID('863962f3-d966-3f31-b29d-9f353be6ee4a')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef742f56df0>],['6']
