note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
11,,[23],"[[83, 281, 365, 302]]",12,[23],"[[83, 610, 350, 631]]",[UUID('984a23f3-4a70-371c-aa8c-03fb755ba9ea')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba81632b0>],"['11', '11']"
12,,[23],"[[83, 610, 350, 631]]",13,[23],"[[83, 993, 241, 1014]]",[UUID('689d6654-7a0c-3973-b3e3-4c425ffd7fb1')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba81637f0>],['12']
13,,[23],"[[83, 993, 241, 1014]]",14,[24],"[[81, 258, 348, 282]]",[UUID('689d6654-7a0c-3973-b3e3-4c425ffd7fb1')],"[[12, 13, 14, 15, 16, 17, 18, 19, 20]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba81637f0>],"['13', '13']"
14,,[24],"[[81, 258, 348, 282]]",15,[24],"[[81, 735, 315, 756]]","[UUID('8b061b2b-59cb-399f-afb8-fd0f4430945b'), UUID('58c7effb-312a-3c72-9992-f7f2bbd1039a')]","[[0, 1, 2, 3], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba8bead00>, <UAT_app.database.db_models.TableLogs object at 0x7fdba8beaa30>]","['14', '14']"
10,,[22],"[[84, 286, 230, 307]]",11,[23],"[[83, 281, 365, 302]]","[UUID('f20b36f5-825e-37de-a99b-b039cd6b4f57'), UUID('2dba2585-849e-39b9-94ac-bb57a65533ec')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdf46177d30>, <UAT_app.database.db_models.TableLogs object at 0x7fdf46177160>]","['10', '10']"
15,,[24],"[[81, 735, 315, 756]]",16,[25],"[[84, 286, 218, 307]]",[UUID('e719796f-1430-3efa-a6b3-75b13187d10c')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6f107dc0>],['15']
17,,[25],"[[84, 595, 351, 618]]",18,[26],"[[82, 266, 191, 287]]",[UUID('9101b787-6bad-39c9-8dfc-660c00591374')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba9d7bc40>],"['17', '17']"
16,,[25],"[[84, 286, 218, 307]]",17,[25],"[[84, 595, 351, 618]]",[UUID('794cf329-23cc-324d-83a5-43810156501a')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6fe94280>],['16']
19,,[27],"[[84, 286, 252, 310]]",20,[27],"[[83, 453, 395, 476]]",[UUID('81849109-9ab9-3942-86a5-f931a53ecd94')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba7a0a2e0>],['19']
4,,[21],"[[89, 287, 371, 307]]",5,[21],"[[89, 736, 248, 756]]",[UUID('75501a58-0319-3ee6-8485-1038cd6d36af')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6f070f70>],['4']
5,,[21],"[[89, 736, 248, 756]]",6,[21],"[[87, 917, 310, 942]]",[UUID('75501a58-0319-3ee6-8485-1038cd6d36af')],"[[12, 13, 14, 15, 16, 17, 18]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6f070f70>],['5']
6,,[21],"[[87, 917, 310, 942]]",7,[21],"[[87, 1085, 262, 1108]]",[UUID('75501a58-0319-3ee6-8485-1038cd6d36af')],"[[18, 19, 20, 21, 22, 23, 24]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6f070f70>],['6']
7,,[21],"[[87, 1085, 262, 1108]]",8,[21],"[[87, 1282, 244, 1305]]",[UUID('75501a58-0319-3ee6-8485-1038cd6d36af')],"[[24, 25, 26, 27, 28, 29]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6f070f70>],['7']
8,,[21],"[[87, 1282, 244, 1305]]",9,[21],"[[88, 1425, 286, 1445]]",[UUID('75501a58-0319-3ee6-8485-1038cd6d36af')],"[[31, 32, 33, 29, 30]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6f070f70>],['8']
20,,[27],"[[83, 453, 395, 476]]",21,[28],"[[83, 269, 270, 291]]","[UUID('5e11d165-7498-3f5e-9120-f2093961f273'), UUID('be00e973-a9be-3eb4-a2a2-f4837017b86a'), UUID('65e9d59a-a33b-32d9-a31f-3e006ae65a53')]","[[0, 1, 2, 3], [0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdf962331f0>, <UAT_app.database.db_models.TableLogs object at 0x7fdf96233fa0>, <UAT_app.database.db_models.TableLogs object at 0x7fdf962335b0>]",['20']
