note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
18,,[25],"[[161, 442, 375, 462]]",19,[25],"[[162, 567, 917, 619]]",[UUID('1d432416-fbd3-389a-aa83-e0be2cd53c28')],"[[7, 8, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d488dc640>],['18']
6,,[21],"[[160, 934, 1050, 968]]",7,[21],"[[160, 1083, 293, 1106]]",[UUID('65a47862-408b-3c8c-b0bc-10c03dd73a61')],"[[19, 20, 21, 22]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d488dc970>],['6']
7,,[21],"[[160, 1083, 293, 1106]]",8,[21],"[[163, 1251, 314, 1271]]",[UUID('65a47862-408b-3c8c-b0bc-10c03dd73a61')],"[[23, 24, 25, 22]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d488dc970>],['7']
8,,[21],"[[163, 1251, 314, 1271]]",9,[22],"[[593, 1407, 611, 1425]]","[UUID('65a47862-408b-3c8c-b0bc-10c03dd73a61'), UUID('007f72db-04ee-3b3a-a681-5171cc711e3a')]","[[25, 26, 27], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d488dc970>, <UAT_app.database.db_models.TableLogs object at 0x7f1d45d30af0>]",['8']
5,3,[21],"[[190, 228, 408, 249]]",5.4,[22],"[[593, 1407, 611, 1425]]","[UUID('65a47862-408b-3c8c-b0bc-10c03dd73a61'), UUID('007f72db-04ee-3b3a-a681-5171cc711e3a')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d488dc970>, <UAT_app.database.db_models.TableLogs object at 0x7f1d45d30af0>]",['5.3']
5,2,[20],"[[191, 756, 1044, 797]]",5.3,[21],"[[190, 228, 408, 249]]",[UUID('6d83820e-85ed-3cf0-8b17-d5c199c7c891')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4b0b0970>],['5.2']
20,,[25],"[[165, 792, 922, 827]]",21,[25],"[[166, 942, 929, 1003]]",[UUID('1d432416-fbd3-389a-aa83-e0be2cd53c28')],"[[15, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d488dc640>],['20']
10,,[23],"[[150, 217, 386, 238]]",11,[23],"[[152, 425, 276, 447]]",[UUID('c0ece656-309e-3656-be31-9eca4c15cd3e')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4b0b07f0>],['10']
11,,[23],"[[152, 425, 276, 447]]",12,[23],"[[154, 603, 305, 624]]",[UUID('c0ece656-309e-3656-be31-9eca4c15cd3e')],"[[4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4b0b07f0>],"['11', '11']"
2,,[19],"[[153, 226, 265, 245]]",3,[19],"[[154, 391, 307, 411]]",[UUID('6c338cef-e361-3820-b713-991d8b06c822')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4b0b0310>],['2']
3,,[19],"[[154, 391, 307, 411]]",4,[19],"[[155, 557, 340, 582]]",[UUID('f805ec98-1680-3e72-98a0-e3edd93b11d5')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4b0b08b0>],['3']
