note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
10,,[17],"[[55, 1014, 552, 1040]]",11,[17],"[[54, 1182, 558, 1207]]",[UUID('a1b862bc-4482-3621-8cec-39a17b613e36')],"[[23, 24, 25, 26]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd6d81a84c0>],"['10', '10']"
11,,[17],"[[54, 1182, 558, 1207]]",12,[18],"[[55, 725, 405, 746]]","[UUID('a1b862bc-4482-3621-8cec-39a17b613e36'), UUID('116dcdff-7294-31e0-a033-95dee2a30d78')]","[[31, 32, 33, 26, 27, 28, 29, 30], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]","[<UAT_app.database.db_models.TableLogs object at 0x7fd6d81a84c0>, <UAT_app.database.db_models.TableLogs object at 0x7fd2ebbe8790>]",['11']
12,,[18],"[[55, 725, 405, 746]]",13,[18],"[[55, 986, 416, 1008]]",[UUID('07c4419f-2c55-391a-a4d4-5d270eb7b2f8')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd2eb8e62b0>],['12']
13,,[18],"[[55, 986, 416, 1008]]",14,[19],"[[55, 162, 630, 190]]",[UUID('c11ae1c3-70f7-3867-b866-d10d2f5a75ab')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd1fa23b070>],['13']
14,,[19],"[[55, 162, 630, 190]]",15,[19],"[[55, 1215, 458, 1239]]",[UUID('b76724a9-815f-376e-b9f6-05104c86734d')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd5744adfd0>],"['14', '14']"
15,,[19],"[[55, 1215, 458, 1239]]",16,[20],"[[55, 162, 558, 189]]",[UUID('8b334f4d-e61c-378d-af87-69a8c02ba7b7')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd5744ad4c0>],['15']
16,,[20],"[[55, 162, 558, 189]]",17,[20],"[[54, 562, 491, 587]]",[UUID('6c778524-9a8c-33e1-9339-c665ba72b99e')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd2eb8e64c0>],['16']
17,,[20],"[[54, 562, 491, 587]]",18,[20],"[[55, 731, 431, 756]]",[UUID('c92f071c-0e0c-3c13-930d-629b25062a38')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd2348f4be0>],['17']
19,,[20],"[[55, 1124, 454, 1149]]",20,[21],"[[55, 166, 423, 189]]",[UUID('c03e2ef4-7d77-3904-94f2-7922b47a09d8')],"[[9, 10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd234630190>],"['19', '19']"
20,,[21],"[[55, 166, 423, 189]]",21,[21],"[[55, 873, 352, 902]]","[UUID('49a3ff9b-0cb4-3bad-8b9e-fd4bdd0dc42d'), UUID('8d5d14d1-18f6-347b-9a35-c638b36e37b7')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]","[<UAT_app.database.db_models.TableLogs object at 0x7fd3903e16a0>, <UAT_app.database.db_models.TableLogs object at 0x7fd3903d14f0>]","['20', '20']"
21,,[21],"[[55, 873, 352, 902]]",22,[21],"[[54, 1248, 302, 1277]]",[UUID('c933bc53-c41d-3f4c-91a7-dc85d680fd27')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd5744adbe0>],['21']
22,,[21],"[[54, 1248, 302, 1277]]",23,[21],"[[55, 1461, 314, 1491]]",[UUID('e107dcc7-6fe5-34ad-b0bc-70bf9f5bd6cb')],"[[0, 1]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd1a8d9db20>],['22']
4,,[16],"[[55, 166, 259, 187]]",5,[16],"[[55, 610, 381, 636]]",[UUID('63e90cd4-44ad-3ece-b5be-1662066fab49')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd2ea8a1520>],"['4', '4']"
5,,[16],"[[55, 610, 381, 636]]",6,[16],"[[55, 869, 264, 892]]",[UUID('63e90cd4-44ad-3ece-b5be-1662066fab49')],"[[12, 13, 14, 15, 16, 17, 18]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd2ea8a1520>],['5']
6,,[16],"[[55, 869, 264, 892]]",7,[16],"[[55, 1108, 224, 1133]]",[UUID('63e90cd4-44ad-3ece-b5be-1662066fab49')],"[[19, 20, 21, 22, 23, 24, 25]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd2ea8a1520>],['6']
9,,[17],"[[55, 424, 319, 448]]",10,[17],"[[55, 1014, 552, 1040]]",[UUID('a1b862bc-4482-3621-8cec-39a17b613e36')],"[[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd6d81a84c0>],['9']
