note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
19,(a),[35],"[[196, 282, 592, 309]]",(b),[35],"[[196, 396, 942, 424]]",[],[],[],"['19(a)', '19(a)']"
19,(b),[35],"[[196, 396, 942, 424]]",(c),[36],"[[1027, 1557, 1049, 1580]]","[UUID('959d430e-92cb-3378-be2c-71f40f1d78c3'), UUID('a5c7ac9f-02dc-3a0e-834f-63a3a7caf4f7'), UUID('280192d3-9a0d-3ae8-8c66-d70994ee906e'), UUID('6cdaa6db-1254-3c05-9a25-bcc98b737605')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22], [0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba9970b20>, <UAT_app.database.db_models.TableLogs object at 0x7fde8c4b7af0>, <UAT_app.database.db_models.TableLogs object at 0x7fde8c4b7580>, <UAT_app.database.db_models.TableLogs object at 0x7fde8c4b7400>]",['19(b)']
8,,[29],"[[145, 874, 508, 904]]",9,[29],"[[144, 1236, 336, 1264]]",[UUID('86d07f25-6426-3c87-ae6f-5206cef4c274')],"[[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6d938970>],['8']
9,,[29],"[[144, 1236, 336, 1264]]",10,[30],"[[146, 274, 493, 300]]","[UUID('86d07f25-6426-3c87-ae6f-5206cef4c274'), UUID('062bed43-0eb7-362c-aec0-a6fad091fa68')]","[[24, 25, 26, 27], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7fda6d938970>, <UAT_app.database.db_models.TableLogs object at 0x7fda6f2a7af0>]",['9']
10,,[30],"[[146, 274, 493, 300]]",11,[31],"[[97, 158, 468, 187]]",[UUID('062bed43-0eb7-362c-aec0-a6fad091fa68')],"[[3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6f2a7af0>],['10']
11,,[31],"[[97, 158, 468, 187]]",12,[32],"[[150, 258, 465, 284]]","[UUID('ff5ba2d2-cfb1-3e6c-acc3-606157389ef8'), UUID('c5617cfa-a417-3ebd-bf33-311f7c16bb24')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7fda6d938ac0>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf64f0c70>]",['11']
12,,[32],"[[150, 258, 465, 284]]",13,[32],"[[150, 549, 482, 575]]","[UUID('c5617cfa-a417-3ebd-bf33-311f7c16bb24'), UUID('651a3f25-d749-3b93-a8a6-f01861d786dc')]","[[3, 4, 5, 6], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdaf64f0c70>, <UAT_app.database.db_models.TableLogs object at 0x7fda6e862f70>]",['12']
13,,[32],"[[150, 549, 482, 575]]",14,[32],"[[150, 891, 497, 924]]","[UUID('651a3f25-d749-3b93-a8a6-f01861d786dc'), UUID('f57fe5bb-e77c-3dd3-9a95-91f017a3f3ef')]","[[3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7fda6e862f70>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf6962190>]",['13']
14,,[32],"[[150, 891, 497, 924]]",15,[32],"[[148, 1317, 317, 1343]]","[UUID('ce72ad00-0b4c-3f0d-b2fe-5849b4034f49'), UUID('f57fe5bb-e77c-3dd3-9a95-91f017a3f3ef')]","[[0, 1], [3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdcf002da30>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf6962190>]","['14', '14']"
15,,[32],"[[148, 1317, 317, 1343]]",16,[33],"[[145, 215, 345, 246]]","[UUID('ce72ad00-0b4c-3f0d-b2fe-5849b4034f49'), UUID('e4f61894-0bf8-330f-995a-54717e8de917')]","[[2, 3, 4, 5, 6], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdcf002da30>, <UAT_app.database.db_models.TableLogs object at 0x7fda6f079880>]",['15']
