note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[14],"[[131, 217, 386, 240]]",8,[15],"[[140, 264, 238, 283]]",[UUID('0cc4aa78-ccb4-34cd-8053-caf99aedc81e')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba783ce50>],['7']
7,a,[14],"[[118, 863, 284, 885]]",7b,[15],"[[1120, 1645, 1159, 1675]]","[UUID('b71920c2-4eec-39f7-bf8f-dfda3423953e'), UUID('b377eb8c-0213-3491-a41f-41d8d77b79b3'), UUID('5f3f373b-ebea-3042-82ae-08af00a1dd7e')]","[[0, 1, 2, 3], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba88eb3d0>, <UAT_app.database.db_models.TableLogs object at 0x7fdba7854790>, <UAT_app.database.db_models.TableLogs object at 0x7fdcf0758a00>]",['7a']
6,,[13],"[[147, 236, 351, 261]]",7,[14],"[[131, 217, 386, 240]]","[UUID('3bec554b-2927-348a-af71-0cf86cd7e327'), UUID('d6e6685e-7ec1-3207-abc2-a9ef60970749')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdc501bed90>, <UAT_app.database.db_models.TableLogs object at 0x7fdc501be760>]","['6', '6']"
20,,[19],"[[182, 212, 264, 233]]",21,[20],"[[125, 1617, 451, 1638]]","[UUID('068bb032-f8fa-3538-8c95-e258d76aebcc'), UUID('2dceb005-136b-3613-943a-538d5c203d7c')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdc50245f70>, <UAT_app.database.db_models.TableLogs object at 0x7fdc50245d60>]",['20']
8,,[15],"[[140, 264, 238, 283]]",9,[15],"[[138, 511, 287, 529]]",[UUID('b71920c2-4eec-39f7-bf8f-dfda3423953e')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba88eb3d0>],['8']
9,,[15],"[[138, 511, 287, 529]]",10,[15],"[[127, 707, 201, 727]]",[UUID('5f3f373b-ebea-3042-82ae-08af00a1dd7e')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdcf0758a00>],['9']
19,,[18],"[[176, 1334, 422, 1354]]",20,[19],"[[182, 212, 264, 233]]",[UUID('58f12e48-5a3f-3d25-b3c0-b108e005f779')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf26ca6d0>],['19']
13,,[15],"[[126, 1150, 357, 1173]]",14,[16],"[[167, 274, 281, 296]]",[UUID('b377eb8c-0213-3491-a41f-41d8d77b79b3')],"[[12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba7854790>],"['13', '13']"
12,,[15],"[[126, 1013, 265, 1035]]",13,[15],"[[126, 1150, 357, 1173]]",[UUID('b377eb8c-0213-3491-a41f-41d8d77b79b3')],"[[8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba7854790>],['12']
14,,[16],"[[167, 274, 281, 296]]",15,[17],"[[132, 227, 268, 250]]",[UUID('c44bfde3-8a02-3185-873d-64646715f2c3')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6dcdefa0>],['14']
15,,[17],"[[132, 227, 268, 250]]",16,[17],"[[123, 1026, 339, 1048]]",[UUID('e3c9f94b-e35c-30ce-a246-5b35fbf4dd40')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba7a6d820>],['15']
16,,[17],"[[123, 1026, 339, 1048]]",17,[17],"[[123, 1192, 269, 1214]]",[UUID('65a2b855-76e2-31d5-bd75-41e1b02803a9')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba7a6d700>],['16']
17,,[17],"[[123, 1192, 269, 1214]]",18,[18],"[[182, 246, 326, 266]]",[UUID('617b7fb9-63d7-3742-ab17-bb86f24d0b4d')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf96233490>],['17']
3,,[12],"[[162, 250, 405, 273]]",4,[12],"[[160, 682, 357, 705]]",[UUID('eba0a94d-7b10-3ffc-9437-eb1a9185a5e5')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba82d2e50>],['3']
5,,[12],"[[160, 1025, 350, 1049]]",6,[13],"[[147, 236, 351, 261]]","[UUID('090f043d-950f-38e3-b3f8-94eba3132954'), UUID('d6e6685e-7ec1-3207-abc2-a9ef60970749')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba82d2310>, <UAT_app.database.db_models.TableLogs object at 0x7fdc501be760>]",['5']
