note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
19,1,[31],"[[81, 818, 478, 845]]",19.2,[31],"[[82, 1075, 745, 1101]]",[UUID('b87403a2-7eeb-33fe-877b-9469e4a359e3')],"[[0, 1]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef743399d30>],"['19.1', '19.1']"
5,,[26],"[[81, 253, 344, 277]]",6,[26],"[[80, 700, 290, 721]]","[UUID('e5910b97-ac52-3d5c-b526-70c2b8b6fe17'), UUID('d66aaac0-4b65-3531-a6e0-e63ee79dea26')]","[[0, 1, 2, 3], [2, 3, 4, 5, 6, 7, 8]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef745479700>, <UAT_app.database.db_models.TableLogs object at 0x7ef740c40c70>]",['5']
6,,[26],"[[80, 700, 290, 721]]",7,[26],"[[81, 843, 201, 866]]",[],[],[],['6']
7,,[26],"[[81, 843, 201, 866]]",8,[26],"[[80, 1080, 280, 1103]]",[UUID('491b4bf9-ed58-3ace-9b47-4a2f806a8343')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7403b7280>],['7']
8,,[26],"[[80, 1080, 280, 1103]]",9,[27],"[[80, 299, 369, 325]]","[UUID('8d826510-f4b8-3b4d-a45f-6e26a4ed32ed'), UUID('3fcb8ca0-7b9a-3617-b64b-38531ca37151')]","[[0, 1, 2, 3], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef744b3cdf0>, <UAT_app.database.db_models.TableLogs object at 0x7ef6c549af10>]",['8']
9,,[27],"[[80, 299, 369, 325]]",10,[27],"[[82, 1075, 366, 1100]]",[UUID('3fcb8ca0-7b9a-3617-b64b-38531ca37151')],"[[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef6c549af10>],['9']
10,,[27],"[[82, 1075, 366, 1100]]",11,[28],"[[81, 570, 276, 590]]","[UUID('73a76910-a3af-3f13-ac23-70dd1841707f'), UUID('fa24f3fd-4bcb-3a38-b4b9-8651598ce94c')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef706275d30>, <UAT_app.database.db_models.TableLogs object at 0x7ef74243a610>]","['10', '10', '10']"
13,,[30],"[[81, 254, 334, 277]]",14,[30],"[[82, 652, 333, 677]]",[UUID('0aecc664-0ba5-3c78-bb09-cf9418dd4f46')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef706275df0>],['13']
14,,[30],"[[82, 652, 333, 677]]",15,[30],"[[82, 865, 204, 888]]",[UUID('0aecc664-0ba5-3c78-bb09-cf9418dd4f46')],"[[12, 13, 14, 15, 16, 17, 18, 19, 20]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef706275df0>],['14']
15,,[30],"[[82, 865, 204, 888]]",16,[31],"[[82, 230, 1065, 256]]","[UUID('0aecc664-0ba5-3c78-bb09-cf9418dd4f46'), UUID('84d45bb9-2114-36ee-98bd-3eaa12346cca')]","[[31, 32, 33, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef706275df0>, <UAT_app.database.db_models.TableLogs object at 0x7efadc5c3760>]","['15', '15']"
12,,[29],"[[83, 253, 407, 277]]",13,[30],"[[81, 254, 334, 277]]","[UUID('6fe56d0a-1de3-3b61-a9ba-4b9089c26b4e'), UUID('1c424d29-ecb3-3dbf-bf95-7167df0cf8a5')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7fa6d1190>, <UAT_app.database.db_models.TableLogs object at 0x7ef7fa6d1d90>]",['12']
16,,[31],"[[82, 230, 1065, 256]]",17,[31],"[[82, 442, 269, 463]]",[UUID('84d45bb9-2114-36ee-98bd-3eaa12346cca')],"[[1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7efadc5c3760>],['16']
17,,[31],"[[82, 442, 269, 463]]",18,[31],"[[82, 587, 298, 610]]",[UUID('ad672cc6-6baf-3ba9-a582-d91571b2eed1')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef740a51280>],['17']
2,,[25],"[[80, 276, 179, 299]]",3,[25],"[[80, 521, 260, 544]]",[UUID('3ed41f4b-c56b-36a2-aba2-31a01de2b0be')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef72df8b4c0>],['2']
