note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
11,,[18],"[[131, 542, 359, 564]]",12,[18],"[[132, 629, 374, 649]]",[UUID('26b4574f-7d4e-3b7a-bb82-e28baf739489')],"[[7, 8, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9af9a84f0>],"['11', '11']"
12,,[18],"[[132, 629, 374, 649]]",13,[19],"[[585, 1641, 605, 1660]]","[UUID('c82f8e1a-0a01-3620-9879-d12fbd567318'), UUID('26b4574f-7d4e-3b7a-bb82-e28baf739489'), UUID('b34154d8-0087-3dc4-916b-83304bc276ea'), UUID('b34b3518-cf83-34be-959e-af250e8ea5d4')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]]","[<UAT_app.database.db_models.TableLogs object at 0x7fd9af9a8280>, <UAT_app.database.db_models.TableLogs object at 0x7fd9af9a84f0>, <UAT_app.database.db_models.TableLogs object at 0x7fd9af9bb7f0>, <UAT_app.database.db_models.TableLogs object at 0x7fd9af9bb190>]",['12']
22,,[21],"[[131, 726, 400, 748]]",23,[21],"[[130, 874, 354, 894]]",[UUID('cecb1d07-ec2c-3186-976e-c5efd796a9c7')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda365c6760>],"['22', '22']"
16,,[18],"[[132, 1267, 282, 1287]]",17,[18],"[[131, 1411, 539, 1432]]",[UUID('c82f8e1a-0a01-3620-9879-d12fbd567318')],"[[17, 18, 19]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9af9a8280>],['16']
14,,[18],"[[131, 958, 261, 980]]",15,[18],"[[131, 1067, 472, 1088]]",[UUID('c82f8e1a-0a01-3620-9879-d12fbd567318')],"[[5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9af9a8280>],['14']
15,,[18],"[[131, 1067, 472, 1088]]",16,[18],"[[162, 981, 1071, 1003]]",[],[],[],['15']
17,,[18],"[[131, 1411, 539, 1432]]",18,[19],"[[132, 180, 311, 200]]",[UUID('b34b3518-cf83-34be-959e-af250e8ea5d4')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9af9bb190>],['17']
18,,[19],"[[132, 180, 311, 200]]",19,[19],"[[131, 1124, 215, 1144]]",[UUID('b34b3518-cf83-34be-959e-af250e8ea5d4')],"[[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9af9bb190>],['18']
20,,[20],"[[130, 634, 293, 654]]",21,[20],"[[130, 820, 353, 842]]",[UUID('4d2916a7-50e8-3754-b7b6-0b6ffef5fbdc')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9c0171550>],['20']
23,,[21],"[[130, 874, 354, 894]]",24,[22],"[[586, 1644, 604, 1659]]","[UUID('cecb1d07-ec2c-3186-976e-c5efd796a9c7'), UUID('8ffaaa08-87c5-33f5-82aa-4f6492498d05'), UUID('226a5080-d12d-344c-83d7-92d3bc097ee5'), UUID('57cd38aa-957a-3596-8851-dfdea17ac9b1')]","[[4, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]","[<UAT_app.database.db_models.TableLogs object at 0x7fda365c6760>, <UAT_app.database.db_models.TableLogs object at 0x7fda890b53d0>, <UAT_app.database.db_models.TableLogs object at 0x7fda8909e9a0>, <UAT_app.database.db_models.TableLogs object at 0x7fda8909ed00>]","['23', '23']"
21,,[20],"[[130, 820, 353, 842]]",22,[21],"[[131, 726, 400, 748]]","[UUID('8fbf45e6-4d81-3f5c-b08a-4e6631561e27'), UUID('edcab7ef-fcd1-3a5d-9be5-86504965c822'), UUID('cae25387-1940-3214-8b9e-58c7f35cd43d')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]","[<UAT_app.database.db_models.TableLogs object at 0x7fd9af9bb880>, <UAT_app.database.db_models.TableLogs object at 0x7fd9af9bb220>, <UAT_app.database.db_models.TableLogs object at 0x7fd9af9bbbe0>]",['21']
26,,[23],"[[130, 499, 267, 519]]",27,[23],"[[130, 869, 323, 891]]",[UUID('5637bf4a-2332-3dd7-bcfb-22351f5d9b45')],"[[4, 5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9af9a8e50>],['26']
25,,[23],"[[130, 179, 465, 200]]",26,[23],"[[130, 499, 267, 519]]",[UUID('5637bf4a-2332-3dd7-bcfb-22351f5d9b45')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fd9af9a8e50>],"['25', '25', '25', '25', '25', '25']"
3,,[17],"[[132, 180, 225, 198]]",4,[18],"[[586, 1644, 604, 1659]]","[UUID('75964380-6771-3ceb-9f7d-c6ac544f3896'), UUID('2cc631b7-a1ad-38e5-ad48-5423b4c467ef'), UUID('ecba0aaa-e195-3e99-919b-b24bb09e627a'), UUID('c82f8e1a-0a01-3620-9879-d12fbd567318'), UUID('26b4574f-7d4e-3b7a-bb82-e28baf739489'), UUID('a113eb61-ebb1-345c-bd92-1436fff3526f')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38], [2, 3, 4, 5, 6], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7fda890aea00>, <UAT_app.database.db_models.TableLogs object at 0x7fda890aeca0>, <UAT_app.database.db_models.TableLogs object at 0x7fd9c017beb0>, <UAT_app.database.db_models.TableLogs object at 0x7fd9af9a8280>, <UAT_app.database.db_models.TableLogs object at 0x7fd9af9a84f0>, <UAT_app.database.db_models.TableLogs object at 0x7fd9af986460>]",['3']
