note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
9,,[17],"[[192, 546, 478, 569]]",10,[17],"[[192, 809, 418, 833]]",[UUID('7809d4c0-6a9d-36b7-bdd0-6f4041853716')],"[[9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef74419f3a0>],['9']
10,,[17],"[[192, 809, 418, 833]]",11,[17],"[[192, 1118, 401, 1143]]",[UUID('35f39f75-7ea2-309d-b465-d0ff84ede067')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef74419f3d0>],['10']
11,,[17],"[[192, 1118, 401, 1143]]",12,[18],"[[193, 448, 521, 471]]","[UUID('270b3594-c624-3767-b788-0b077d4481c2'), UUID('d78f21d6-9455-37c1-a8da-641fa4753d7d')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7426faca0>, <UAT_app.database.db_models.TableLogs object at 0x7ef7426fadc0>]",['11']
12,,[18],"[[193, 448, 521, 471]]",13,[19],"[[192, 180, 459, 205]]","[UUID('99586b65-09bd-3570-a29c-4742d31f6bba'), UUID('a0740a80-e945-3205-8dc7-36069a896d58')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef74062b3a0>, <UAT_app.database.db_models.TableLogs object at 0x7ef74062bf70>]",['12']
8,,[16],"[[192, 657, 481, 682]]",9,[17],"[[192, 546, 478, 569]]","[UUID('199a259d-08db-35e3-8d69-398c73efc3d1'), UUID('7809d4c0-6a9d-36b7-bdd0-6f4041853716')]","[[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef742f03c70>, <UAT_app.database.db_models.TableLogs object at 0x7ef74419f3a0>]","['8', '8']"
13,,[19],"[[192, 180, 459, 205]]",14,[19],"[[193, 443, 325, 465]]",[UUID('981750ec-68a6-32db-90a4-84981d9b0672')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7efbe648afa0>],['13']
14,,[19],"[[193, 443, 325, 465]]",15,[19],"[[193, 1153, 399, 1177]]","[UUID('e500021e-fe94-3150-b849-98af3331d14c'), UUID('307c1ba6-4924-3098-a3b2-f2b0ca9ff13b')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6, 7]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef740700c70>, <UAT_app.database.db_models.TableLogs object at 0x7efbe648a580>]","['14', '14']"
15,,[19],"[[193, 1153, 399, 1177]]",16,[20],"[[193, 227, 331, 247]]",[UUID('7080a89a-ca4a-32ca-bf89-6d3eb30d4644')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef740700be0>],['15']
4,,[15],"[[190, 202, 576, 227]]",5,[15],"[[190, 931, 441, 959]]",[UUID('d81339a0-f27a-3740-ab56-7eac3d14140b')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7426fa1f0>],['4']
5,,[15],"[[190, 931, 441, 959]]",6,[16],"[[191, 157, 339, 185]]",[UUID('a70064fc-4301-3ed3-8411-3bb5cb4b3280')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7426fad00>],['5']
6,,[16],"[[191, 157, 339, 185]]",7,[16],"[[187, 394, 356, 419]]",[UUID('199a259d-08db-35e3-8d69-398c73efc3d1')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef742f03c70>],['6']
7,,[16],"[[187, 394, 356, 419]]",8,[16],"[[192, 657, 481, 682]]",[UUID('199a259d-08db-35e3-8d69-398c73efc3d1')],"[[6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef742f03c70>],['7']
