note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
13.,,[25],"[[91, 829, 381, 855]]",,[25],"[[95, 149, 471, 183]]",[],[],[],['13.']
14.,,[25],"[[91, 964, 401, 988]]",,[25],"[[95, 149, 471, 183]]",[],[],[],"['14.', '14.']"
15.,,[25],"[[91, 1253, 235, 1276]]",,[25],"[[95, 149, 471, 183]]",[],[],[],['15.']
18.,,[26],"[[91, 1149, 497, 1174]]",,[26],"[[93, 151, 469, 188]]",[],[],[],"['18.', '18.']"
25.,,[29],"[[132, 1021, 494, 1047]]",,[29],"[[133, 151, 483, 185]]",[],[],[],"['25.', '25.']"
16.,,[26],"[[91, 325, 390, 351]]",,[26],"[[93, 151, 469, 188]]",[],[],[],['16.']
19.,,[27],"[[92, 261, 386, 284]]",,[27],"[[84, 147, 408, 180]]",[],[],[],['19.']
21.,,[28],"[[90, 256, 292, 277]]",,[28],"[[83, 154, 407, 185]]",[],[],[],['21.']
20.,,[27],"[[91, 841, 276, 865]]",,[27],"[[84, 147, 408, 180]]",[],[],[],['20.']
22.,,[28],"[[89, 1006, 1098, 1031]]",,[28],"[[83, 154, 407, 185]]",[],[],[],"['22.', '22.']"
23.,,[29],"[[133, 310, 276, 333]]",,[29],"[[133, 151, 483, 185]]",[],[],[],"['23.', '23.']"
24.,,[29],"[[133, 624, 266, 645]]",,[29],"[[133, 151, 483, 185]]",[],[],[],"['24.', '24.']"
26.,,[30],"[[133, 303, 353, 330]]",,[30],"[[133, 147, 483, 185]]",[],[],[],['26.']
8.,,[23],"[[97, 325, 212, 348]]",,[23],"[[95, 149, 471, 183]]",[],[],[],['8.']
9.,,[23],"[[97, 844, 394, 872]]",,[23],"[[95, 149, 471, 183]]",[],[],[],"['9.', '9.']"
10.,,[23],"[[93, 1174, 364, 1199]]",,[23],"[[95, 149, 471, 183]]",[],[],[],['10.']
11.,,[24],"[[95, 320, 313, 346]]",,[24],"[[97, 147, 473, 182]]",[],[],[],['11.']
12.,,[24],"[[93, 706, 256, 732]]",,[24],"[[97, 147, 473, 182]]",[],[],[],"['12.', '12.']"
