note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[24],"[[141, 838, 635, 863]]",8,[24],"[[141, 1060, 471, 1085]]",[UUID('421767a6-3db4-3ab2-9add-3853fd45cae4')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba7a080a0>],"['7', '7']"
8,,[24],"[[141, 1060, 471, 1085]]",9,[25],"[[141, 457, 471, 481]]",[UUID('8c3cab5d-61b3-34f1-915d-38118f328160')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba97b8e20>],"['8', '8']"
8,(a),[25],"[[140, 304, 358, 330]]",(b),[25],"[[140, 1024, 626, 1050]]","[UUID('ce80d93d-c2f2-3fd3-88f2-6d941d719c4c'), UUID('a1b3557a-efe2-3046-bde8-fb33d02ee059')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdbaf5e9b20>, <UAT_app.database.db_models.TableLogs object at 0x7fdf91b16a60>]",['8(a)']
9,,[25],"[[141, 457, 471, 481]]",10,[25],"[[141, 680, 598, 707]]",[UUID('ce80d93d-c2f2-3fd3-88f2-6d941d719c4c')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdbaf5e9b20>],['9']
10,,[25],"[[141, 680, 598, 707]]",11,[26],"[[141, 266, 394, 292]]",[UUID('a1b3557a-efe2-3046-bde8-fb33d02ee059')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf91b16a60>],['10']
11,,[26],"[[141, 266, 394, 292]]",12,[26],"[[141, 467, 717, 495]]",[UUID('3bb281b8-7771-3190-8bc1-06cc06379c88')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf4615fd60>],['11']
12,,[26],"[[141, 467, 717, 495]]",13,[26],"[[141, 884, 754, 912]]","[UUID('c6b2e27b-eadd-33cf-8ea2-f83130387b16'), UUID('465b8d7a-b149-32c9-9255-cdb7a7dbe196')]","[[0, 1, 2, 3], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba776f2b0>, <UAT_app.database.db_models.TableLogs object at 0x7fdba776f430>]",['12']
13,,[26],"[[141, 884, 754, 912]]",14,[26],"[[143, 1042, 253, 1064]]",[UUID('689df9ee-2a24-3055-a3e9-f56a7bb407a7')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba776fa30>],['13']
15,,[27],"[[141, 652, 733, 679]]",16,[27],"[[141, 1134, 532, 1161]]",[UUID('9d0952ec-ac82-3d6d-adc6-28fd616e7068')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdbaf3ca520>],['15']
16,,[27],"[[141, 1134, 532, 1161]]",17,[28],"[[141, 266, 645, 296]]",[UUID('129b5984-0702-3a90-9e61-cf037dcb2692')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdbaf3ca1f0>],['16']
17,,[28],"[[141, 266, 645, 296]]",18,[28],"[[141, 488, 291, 514]]",[UUID('81d465dc-f880-325e-9e7f-1bfaae9bfd92')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdbaf3d3ee0>],['17']
19,,[29],"[[141, 767, 485, 795]]",20,[30],"[[140, 266, 376, 296]]","[UUID('ac4ba1d0-185a-3f26-879d-997ed5819a28'), UUID('28dd86c1-02ad-32df-8cc2-cea10f99dd94')]","[[0, 1, 2, 3, 4], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdbaf5e9c10>, <UAT_app.database.db_models.TableLogs object at 0x7fdba828fb20>]","['19', '19']"
18,,[28],"[[141, 488, 291, 514]]",19,[29],"[[141, 767, 485, 795]]","[UUID('501cda7e-662c-327e-a625-192c0c2df55a'), UUID('38de2c0a-0544-388b-b43d-d75c60305f14'), UUID('fec360dd-e60b-3dfb-b757-fc1368ceeaf6')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba7a7c7f0>, <UAT_app.database.db_models.TableLogs object at 0x7fdba9beaca0>, <UAT_app.database.db_models.TableLogs object at 0x7fdba9beaa00>]",['18']
20,,[30],"[[140, 266, 376, 296]]",21,[30],"[[140, 646, 369, 674]]",[UUID('6d8824bc-1668-335e-824e-e5a097e9b9d5')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdbaf3cad90>],['20']
21,,[30],"[[140, 646, 369, 674]]",22,[30],"[[140, 940, 284, 966]]",[UUID('a4401fb1-cf85-347f-97e4-c73d987c6dd9')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf6624e20>],['21']
3,,[23],"[[141, 782, 587, 807]]",4,[23],"[[140, 948, 303, 978]]",[UUID('0a0d807c-0e33-3336-8583-a32ff275d523')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf75e15520>],['3']
4,,[23],"[[140, 948, 303, 978]]",5,[23],"[[141, 1151, 345, 1174]]",[UUID('0a0d807c-0e33-3336-8583-a32ff275d523')],"[[4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf75e15520>],['4']
5,,[23],"[[141, 1151, 345, 1174]]",6,[24],"[[141, 268, 282, 292]]",[UUID('0a0d807c-0e33-3336-8583-a32ff275d523')],"[[9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf75e15520>],['5']
