note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
5,,[14],"[[55, 1101, 414, 1124]]",6,[14],"[[58, 386, 1144, 411]]",[],[],[],"['5', '5']"
6,,[15],"[[55, 177, 547, 202]]",7,[15],"[[54, 483, 394, 508]]",[UUID('e24fa0c4-57c1-39e7-9350-ece8573b3607')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d084d6490>],['6']
7,,[15],"[[54, 483, 394, 508]]",8,[15],"[[55, 651, 619, 677]]",[UUID('e24fa0c4-57c1-39e7-9350-ece8573b3607')],"[[7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d084d6490>],['7']
8,,[15],"[[55, 651, 619, 677]]",9,[15],"[[55, 1310, 509, 1335]]","[UUID('e24fa0c4-57c1-39e7-9350-ece8573b3607'), UUID('2eb94529-7e02-378e-aa28-467f3dba4985')]","[[11, 12, 13, 14, 15, 16, 17, 18, 19, 20], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d084d6490>, <UAT_app.database.db_models.TableLogs object at 0x7f21a20be550>]",['8']
9,,[15],"[[55, 1310, 509, 1335]]",10,[16],"[[55, 504, 458, 531]]",[UUID('675eb205-d916-3241-ab1a-2b1506e4658b')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d45d65a90>],['9']
10,,[16],"[[55, 504, 458, 531]]",11,[16],"[[55, 817, 453, 842]]",[UUID('675eb205-d916-3241-ab1a-2b1506e4658b')],"[[5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d45d65a90>],['10']
11,,[16],"[[55, 817, 453, 842]]",12,[16],"[[55, 985, 560, 1011]]",[UUID('675eb205-d916-3241-ab1a-2b1506e4658b')],"[[13, 14, 15, 16, 17]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d45d65a90>],['11']
12,,[16],"[[55, 985, 560, 1011]]",13,[16],"[[55, 1221, 464, 1243]]",[UUID('675eb205-d916-3241-ab1a-2b1506e4658b')],"[[17, 18, 19, 20, 21, 22]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d45d65a90>],['12']
13,,[16],"[[55, 1221, 464, 1243]]",14,[16],"[[55, 1387, 430, 1412]]",[UUID('675eb205-d916-3241-ab1a-2b1506e4658b')],"[[23, 24, 25, 26, 27]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d45d65a90>],['13']
14,,[16],"[[55, 1387, 430, 1412]]",15,[17],"[[55, 179, 424, 203]]",[UUID('675eb205-d916-3241-ab1a-2b1506e4658b')],"[[27, 28, 29, 30]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d45d65a90>],['14']
15,,[17],"[[55, 179, 424, 203]]",16,[17],"[[55, 412, 505, 439]]",[UUID('eca7f565-8c7a-3191-9450-396adc5746a0')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d48032610>],['15']
16,,[17],"[[55, 412, 505, 439]]",17,[17],"[[55, 582, 465, 606]]",[UUID('eca7f565-8c7a-3191-9450-396adc5746a0')],"[[5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d48032610>],['16']
17,,[17],"[[55, 582, 465, 606]]",18,[17],"[[55, 746, 353, 774]]",[UUID('eca7f565-8c7a-3191-9450-396adc5746a0')],"[[9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d48032610>],['17']
18,,[17],"[[55, 746, 353, 774]]",19,[17],"[[54, 1098, 302, 1124]]",[UUID('eca7f565-8c7a-3191-9450-396adc5746a0')],"[[15, 16, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d48032610>],['18']
19,,[17],"[[54, 1098, 302, 1124]]",20,[18],"[[55, 179, 312, 203]]",[UUID('6a269a46-633f-3445-ad5e-40f515a39fb1')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d46c45a30>],['19']
3,,[13],"[[55, 1328, 214, 1351]]",4,[14],"[[54, 511, 321, 536]]","[UUID('e3d81a26-1e89-321d-ba91-fd57ea97ad47'), UUID('022c4681-00f5-3d2d-ac00-9dd0f6b0d3c1')]","[[0, 1, 2, 3], [0, 1, 2, 3, 4, 5, 6, 7]]","[<UAT_app.database.db_models.TableLogs object at 0x7f21eb1b9460>, <UAT_app.database.db_models.TableLogs object at 0x7f21eb1b99d0>]",['3']
4,,[14],"[[54, 511, 321, 536]]",5,[14],"[[55, 1101, 414, 1124]]",[UUID('022c4681-00f5-3d2d-ac00-9dd0f6b0d3c1')],"[[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]]",[<UAT_app.database.db_models.TableLogs object at 0x7f21eb1b99d0>],['4']
,,[13],"[[55, 317, 1147, 342]]",,[13],"[[55, 87, 503, 113]]",[],[],[],"['Payments for property, plant and equipment', 'Dividends paid']"
,,[11],"[[55, 108, 371, 133]]",,[11],"[[55, 87, 503, 113]]",[],[],[],[]
