note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[20],"[[140, 583, 251, 606]]",8,[20],"[[140, 736, 369, 759]]",[UUID('73900a61-a8a1-3f6f-83ea-e942145bb07c')],"[[8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4b035f70>],"['7', '7']"
8,,[20],"[[140, 736, 369, 759]]",9,[20],"[[141, 919, 309, 942]]",[UUID('73900a61-a8a1-3f6f-83ea-e942145bb07c')],"[[12, 13, 14, 15, 16, 17, 18]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4b035f70>],['8']
9,,[20],"[[141, 919, 309, 942]]",10,[21],"[[139, 316, 491, 340]]",[UUID('73900a61-a8a1-3f6f-83ea-e942145bb07c')],"[[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4b035f70>],['9']
6,,[19],"[[141, 315, 309, 340]]",7,[20],"[[140, 583, 251, 606]]","[UUID('6cd4309b-5b43-3643-917a-4e5494eeb471'), UUID('0f5ec625-78d6-34c7-8bd3-031e7d864ed9'), UUID('8ced1e12-38c8-33ed-a3bd-dc47116b0f93'), UUID('73900a61-a8a1-3f6f-83ea-e942145bb07c')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1cd7e98220>, <UAT_app.database.db_models.TableLogs object at 0x7f1cd7e98b80>, <UAT_app.database.db_models.TableLogs object at 0x7f1cd7e984f0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d4b035f70>]","['6', '6']"
10,,[21],"[[139, 316, 491, 340]]",11,[22],"[[140, 314, 444, 342]]",[UUID('50ef2c74-b17f-3d7c-80b7-8b82053f06ec')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1cd6736250>],['10']
11,,[22],"[[140, 314, 444, 342]]",12,[22],"[[141, 725, 458, 749]]",[UUID('ce173f0a-976f-3d75-b92a-be04a26cd767')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1cd7e98f10>],['11']
13,,[22],"[[140, 1013, 303, 1039]]",14,[23],"[[141, 317, 472, 342]]",[UUID('63c842e7-067e-3af1-b042-89ce5d070103')],"[[9, 10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4388c160>],['13']
12,,[22],"[[141, 725, 458, 749]]",13,[22],"[[140, 1013, 303, 1039]]",[UUID('63c842e7-067e-3af1-b042-89ce5d070103')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4388c160>],"['12', '12']"
16,,[24],"[[143, 654, 334, 679]]",17,[24],"[[140, 990, 445, 1017]]",[UUID('1758b3dd-2f35-3886-bcde-c112f0569abb')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d08681160>],['16']
4,,[18],"[[140, 315, 582, 338]]",5,[18],"[[141, 700, 469, 726]]",[UUID('d9cbba31-3e81-3b3c-8be7-7056e57a8c43')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d439fea90>],['4']
5,2,[18],"[[140, 878, 351, 904]]",5.3,[18],"[[140, 1144, 334, 1170]]",[UUID('d9cbba31-3e81-3b3c-8be7-7056e57a8c43')],"[[17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d439fea90>],['5.2']
5,1,[18],"[[140, 736, 352, 763]]",5.2,[18],"[[140, 878, 351, 904]]",[UUID('d9cbba31-3e81-3b3c-8be7-7056e57a8c43')],"[[13, 14, 15, 16, 17]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d439fea90>],['5.1']
5,3,[18],"[[140, 1144, 334, 1170]]",5.4,[19],"[[1030, 1522, 1051, 1544]]","[UUID('d9cbba31-3e81-3b3c-8be7-7056e57a8c43'), UUID('6cd4309b-5b43-3643-917a-4e5494eeb471'), UUID('0f5ec625-78d6-34c7-8bd3-031e7d864ed9'), UUID('8ced1e12-38c8-33ed-a3bd-dc47116b0f93')]","[[31, 32, 27, 28, 29, 30], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d439fea90>, <UAT_app.database.db_models.TableLogs object at 0x7f1cd7e98220>, <UAT_app.database.db_models.TableLogs object at 0x7f1cd7e98b80>, <UAT_app.database.db_models.TableLogs object at 0x7f1cd7e984f0>]",['5.3']
