note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[24],"[[141, 315, 458, 342]]",7,[24],"[[140, 468, 428, 491]]",[],[],[],"['6', '6']"
7,,[24],"[[140, 468, 428, 491]]",8,[24],"[[141, 619, 467, 644]]",[],[],[],['7']
8,,[24],"[[141, 619, 467, 644]]",9,[24],"[[140, 914, 309, 937]]",[UUID('8e1d95cd-0629-31ce-a58d-2f5539acea22')],"[[0, 1, 2, 3, 4, 5, 6]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f27d4eaa6a0>],['8']
9,,[24],"[[140, 914, 309, 937]]",10,[25],"[[141, 314, 324, 340]]",[UUID('32c49c4f-3f74-3bff-b9fb-34b4dad6a262')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f27d4eaa310>],['9']
10,,[25],"[[141, 314, 324, 340]]",11,[25],"[[141, 689, 491, 717]]",[UUID('5b9782f0-5728-3c52-bcd0-458e0d801a26')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f27d5982ca0>],"['10', '10']"
11,,[25],"[[141, 689, 491, 717]]",12,[26],"[[141, 314, 365, 342]]",[UUID('71d0a543-54fd-3bee-8cff-0a560c95f467')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f27d709d0a0>],['11']
12,,[26],"[[141, 314, 365, 342]]",13,[26],"[[143, 786, 269, 807]]",[UUID('1985ebff-f8e8-3baf-a268-795a76ae28d3')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f27d709dca0>],['12']
14,,[27],"[[141, 680, 444, 708]]",15,[27],"[[141, 939, 375, 965]]",[UUID('8e607fbf-a966-326a-b62f-cf3448014dac')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f27d5b2ee50>],['14']
15,,[27],"[[141, 939, 375, 965]]",16,[28],"[[141, 314, 304, 340]]",[UUID('30fce64e-507b-3910-92a6-0f6804f8653d')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f27d4376d00>],['15']
16,,[28],"[[141, 314, 304, 340]]",17,[28],"[[141, 966, 523, 996]]","[UUID('49e2bbc2-e067-3d1d-86b5-35a20b41d363'), UUID('e0e94de2-b611-3d69-bd00-394b46c9695f')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [0, 1, 2, 3, 4, 5, 6]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f27d5b83670>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f27d58cfbb0>]","['16', '16']"
17,,[28],"[[141, 966, 523, 996]]",18,[29],"[[141, 314, 312, 340]]",[UUID('13a1f13b-f977-3bcb-92c0-8aacb9657858')],"[[0, 1, 2, 3, 4]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f27d58cf460>],"['17', '17']"
18,,[29],"[[141, 314, 312, 340]]",19,[29],"[[141, 486, 471, 516]]",[],[],[],['18']
19,,[29],"[[141, 486, 471, 516]]",20,[29],"[[141, 869, 445, 897]]",[],[],[],['19']
