note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
41,(a),[58],"[[87, 177, 519, 203]]",(b),[58],"[[87, 657, 301, 684]]","[UUID('087d3886-8432-3f0b-8f16-5d3a67ed0820'), UUID('6a48337b-d1cc-3a36-aa01-54fc1eacc02f')]","[[0, 1, 2], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef6b79a2d30>, <UAT_app.database.db_models.TableLogs object at 0x7ef6b79a2dc0>]",['41(a)']
11,,[45],"[[87, 1134, 455, 1161]]",12,[46],"[[88, 264, 398, 289]]","[UUID('80f19a48-813b-34fd-b63d-f7aa4e288c0e'), UUID('f75af734-11fa-35b3-af01-8f6a6ef9d322')]","[[2, 3, 4, 5, 6, 7], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7425bd040>, <UAT_app.database.db_models.TableLogs object at 0x7ef7437c0640>]",['11']
12,,[46],"[[88, 264, 398, 289]]",13,[46],"[[87, 804, 309, 830]]","[UUID('25d17bd2-996a-3a2a-aa21-eca5b924f05d'), UUID('f75af734-11fa-35b3-af01-8f6a6ef9d322')]","[[0, 1, 2], [2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef744b53cd0>, <UAT_app.database.db_models.TableLogs object at 0x7ef7437c0640>]",['12']
13,,[46],"[[87, 804, 309, 830]]",14,[46],"[[87, 1105, 315, 1131]]","[UUID('25d17bd2-996a-3a2a-aa21-eca5b924f05d'), UUID('63177bf0-fdb7-377b-abe9-b6bc29638899')]","[[2, 3, 4, 5, 6], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef744b53cd0>, <UAT_app.database.db_models.TableLogs object at 0x7ef6c4ff7700>]",['13']
14,,[46],"[[87, 1105, 315, 1131]]",15,[46],"[[88, 1376, 494, 1401]]","[UUID('8f3277ff-f2bd-357c-96d1-92e11a5b2f2e'), UUID('63177bf0-fdb7-377b-abe9-b6bc29638899')]","[[0, 1], [2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef742eff820>, <UAT_app.database.db_models.TableLogs object at 0x7ef6c4ff7700>]",['14']
15,,[46],"[[88, 1376, 494, 1401]]",16,[47],"[[87, 268, 348, 294]]","[UUID('8f3277ff-f2bd-357c-96d1-92e11a5b2f2e'), UUID('8a669f6f-1489-36f7-863d-bac5a44d68c1')]","[[2, 3, 4], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef742eff820>, <UAT_app.database.db_models.TableLogs object at 0x7ef706224610>]",['15']
16,,[47],"[[87, 268, 348, 294]]",17,[47],"[[87, 567, 561, 595]]","[UUID('10ab79ec-7fc2-3a85-a615-32de11c75ea4'), UUID('8a669f6f-1489-36f7-863d-bac5a44d68c1')]","[[0, 1, 2], [1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef744b37760>, <UAT_app.database.db_models.TableLogs object at 0x7ef706224610>]",['16']
17,,[47],"[[87, 567, 561, 595]]",18,[48],"[[88, 266, 439, 287]]","[UUID('ae639c83-1393-372c-bcc6-fc1309d6566b'), UUID('10ab79ec-7fc2-3a85-a615-32de11c75ea4'), UUID('5a84c5d1-aa38-3d58-a437-5ce671ea66f7')]","[[0, 1, 2, 3], [2, 3, 4], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7433a85e0>, <UAT_app.database.db_models.TableLogs object at 0x7ef744b37760>, <UAT_app.database.db_models.TableLogs object at 0x7ef7437c0a90>]",['17']
18,,[48],"[[88, 266, 439, 287]]",19,[48],"[[88, 1126, 1064, 1152]]","[UUID('5a84c5d1-aa38-3d58-a437-5ce671ea66f7'), UUID('9fdd61f9-ba42-3794-a6a1-e6fef8d04aed')]","[[2, 3, 4, 5, 6, 7, 8, 9], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7437c0a90>, <UAT_app.database.db_models.TableLogs object at 0x7ef6b79a1880>]",['18']
19,,[48],"[[88, 1126, 1064, 1152]]",20,[49],"[[86, 236, 1064, 263]]","[UUID('9fdd61f9-ba42-3794-a6a1-e6fef8d04aed'), UUID('6cd633cd-c481-3ba2-9e9f-bcbe53aa99b5')]","[[1, 2, 3, 4, 5, 6, 7, 8], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef6b79a1880>, <UAT_app.database.db_models.TableLogs object at 0x7ef7433a8ca0>]",['19']
