note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[22],"[[141, 1165, 461, 1192]]",8,[23],"[[140, 266, 471, 291]]",[UUID('899df300-d5e7-3a48-8992-163a6cee928a')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6db57190>],['7']
8,,[23],"[[140, 266, 471, 291]]",9,[23],"[[141, 689, 296, 713]]",[UUID('f75b545a-8329-3478-9411-a80fc7b71e04')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6db572e0>],['8']
9,,[23],"[[141, 689, 296, 713]]",10,[23],"[[141, 853, 567, 879]]",[UUID('09294f81-c5d7-3a1b-8e0c-52fe1df313d5')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6f058e20>],['9']
10,,[23],"[[141, 853, 567, 879]]",11,[23],"[[141, 1008, 717, 1036]]",[UUID('09294f81-c5d7-3a1b-8e0c-52fe1df313d5')],"[[4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6f058e20>],['10']
11,,[23],"[[141, 1008, 717, 1036]]",12,[24],"[[141, 948, 253, 975]]","[UUID('09294f81-c5d7-3a1b-8e0c-52fe1df313d5'), UUID('242a472a-6ff8-3211-b82f-f52715ea4059')]","[[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]","[<UAT_app.database.db_models.TableLogs object at 0x7fda6f058e20>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf5243370>]","['11', '11']"
13,,[25],"[[141, 585, 628, 611]]",14,[25],"[[141, 730, 445, 756]]",[],[],[],['13']
14,,[25],"[[141, 730, 445, 756]]",15,[25],"[[141, 976, 291, 1004]]",[UUID('5676d56a-7e9f-392b-85a5-6b0fe6b24065')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf2b44e80>],['14']
15,,[25],"[[141, 976, 291, 1004]]",16,[25],"[[141, 1248, 408, 1274]]",[UUID('3d533f03-872f-3086-a044-c7c058a89953')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6db572b0>],"['15', '15']"
16,,[25],"[[141, 1248, 408, 1274]]",17,[26],"[[141, 266, 376, 296]]",[UUID('3b52c65d-4e28-3849-bef4-2be28bc5e8ce')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6db57760>],['16']
17,,[26],"[[141, 266, 376, 296]]",18,[26],"[[143, 647, 568, 674]]",[UUID('3512c493-a2f3-3862-842e-f011cd8a803c')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6f058eb0>],['17']
18,(a),[26],"[[140, 684, 307, 712]]",(b),[26],"[[140, 465, 317, 491]]",[],[],[],['18(a)']
18,(b),[26],"[[140, 1185, 334, 1212]]",(c),[27],"[[583, 1521, 608, 1540]]","[UUID('786eb976-fe02-3d51-a699-6ab8c1cd4307'), UUID('ae8ee82b-5a27-3b8f-bc47-e8ef9787e442'), UUID('b841c5aa-187a-3821-b32e-c2f79425c135'), UUID('e317d09d-d147-33d8-b443-106177d0e466')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4], [0, 1, 2], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7fda6d9da8e0>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf4382790>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf4382d30>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf4382670>]",['18(b)']
3,,[21],"[[141, 968, 598, 993]]",4,[21],"[[140, 1134, 321, 1159]]",[UUID('189dc917-52cc-399e-97eb-7a93f007cb6a')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6d9da370>],['3']
4,,[21],"[[140, 1134, 321, 1159]]",5,[22],"[[141, 266, 282, 292]]",[UUID('189dc917-52cc-399e-97eb-7a93f007cb6a')],"[[5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6d9da370>],['4']
5,,[22],"[[141, 266, 282, 292]]",6,[22],"[[141, 670, 389, 697]]",[UUID('b51d10c8-6eab-3d98-a6ac-aa421a293f2a')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6d9da4f0>],"['5', '5']"
6,,[22],"[[141, 670, 389, 697]]",7,[22],"[[141, 1165, 461, 1192]]","[UUID('6f9da7c1-9e00-3d40-8809-0f7522783174'), UUID('cadcb569-105c-3881-a9e7-0be8febdde53')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdf96345af0>, <UAT_app.database.db_models.TableLogs object at 0x7fdf963453a0>]",['6']
26,,[28],"[[140, 580, 410, 606]]",27,[29],"[[583, 1519, 608, 1540]]",[UUID('35d010cd-7d1b-3260-bba1-d54ce6995738')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6db57520>],['26']
19,,[27],"[[141, 266, 284, 292]]",20,[27],"[[140, 360, 446, 386]]",[],[],[],['19']
