note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[29],"[[141, 315, 458, 342]]",7,[29],"[[140, 503, 467, 526]]",[UUID('ee46391c-6f3d-3ca6-8427-eacb3b057ac6')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f4e2ab6d370>],"['6', '6']"
7,,[29],"[[140, 503, 467, 526]]",8,[29],"[[140, 698, 308, 721]]",[UUID('ee46391c-6f3d-3ca6-8427-eacb3b057ac6')],"[[5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7f4e2ab6d370>],['7']
8,,[29],"[[140, 698, 308, 721]]",9,[29],"[[140, 991, 357, 1014]]",[UUID('ee46391c-6f3d-3ca6-8427-eacb3b057ac6')],"[[11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7f4e2ab6d370>],['8']
9,,[29],"[[140, 991, 357, 1014]]",10,[30],"[[140, 314, 323, 340]]",[UUID('072c5bf4-dd97-3b8a-8853-ad2f630fa2a9')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7f4d183d0a30>],"['9', '9']"
11,,[30],"[[140, 624, 457, 652]]",12,[31],"[[141, 315, 491, 342]]","[UUID('af6a6e9c-d59f-392d-a49b-6189166cac5d'), UUID('f6d6d508-323f-36d1-9920-764f0f082f63'), UUID('af7ad22b-ccba-353e-a935-a994eff05993')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6], [10, 11, 12, 13]]","[<UAT_app.database.db_models.TableLogs object at 0x7f4cfc742f70>, <UAT_app.database.db_models.TableLogs object at 0x7f4d39337370>, <UAT_app.database.db_models.TableLogs object at 0x7f4d5fe92f70>]","['11', '11']"
12,,[31],"[[141, 315, 491, 342]]",13,[31],"[[140, 1060, 269, 1087]]",[UUID('147c2390-0d6f-321e-87bd-6441c748e51e')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]",[<UAT_app.database.db_models.TableLogs object at 0x7f4d5fe929a0>],"['12', '12']"
16,,[32],"[[140, 1221, 312, 1248]]",17,[33],"[[141, 693, 303, 717]]","[UUID('c40e80ef-3525-3f9e-9019-932547fb9024'), UUID('1e4b0308-8807-3496-a761-6f557703d495')]","[[26, 27, 28, 29], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7f4d39805820>, <UAT_app.database.db_models.TableLogs object at 0x7f4a9b470040>]",['16']
17,,[33],"[[141, 693, 303, 717]]",18,[33],"[[141, 1039, 381, 1068]]",[UUID('46977dc3-8b9a-3a23-b2a7-829318ee2488')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f4d1835acd0>],"['17', '17']"
15,,[32],"[[143, 919, 379, 940]]",16,[32],"[[140, 1221, 312, 1248]]",[UUID('c40e80ef-3525-3f9e-9019-932547fb9024')],"[[17, 18, 19, 20, 21, 22, 23, 24, 25, 26]]",[<UAT_app.database.db_models.TableLogs object at 0x7f4d39805820>],['15']
18,,[33],"[[141, 1039, 381, 1068]]",19,[34],"[[141, 315, 291, 340]]",[UUID('3140e6ee-ec9c-39a8-9839-f2d2b4583aa7')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7f4e2ab2fe80>],['18']
19,,[34],"[[141, 315, 291, 340]]",20,[35],"[[140, 314, 444, 342]]",[UUID('2a85201f-0569-3bc1-9184-778e5e7895f8')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]]",[<UAT_app.database.db_models.TableLogs object at 0x7f4d39337550>],['19']
4,1,[26],"[[140, 351, 582, 378]]",4.2,[26],"[[141, 823, 338, 846]]",[UUID('2804a960-b0a1-3c71-95fa-fd337e420c7b')],"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7f4d398050a0>],['4.1']
4,2,[26],"[[141, 823, 338, 846]]",4.3,[26],"[[141, 965, 330, 988]]",[UUID('2804a960-b0a1-3c71-95fa-fd337e420c7b')],"[[16, 17, 18, 19, 20]]",[<UAT_app.database.db_models.TableLogs object at 0x7f4d398050a0>],['4.2']
4,3,[26],"[[141, 965, 330, 988]]",4.4,[27],"[[140, 351, 353, 378]]",[UUID('2804a960-b0a1-3c71-95fa-fd337e420c7b')],"[[20, 21, 22, 23, 24, 25, 26, 27]]",[<UAT_app.database.db_models.TableLogs object at 0x7f4d398050a0>],['4.3']
4,4,[27],"[[140, 351, 353, 378]]",4.5,[27],"[[141, 495, 336, 518]]",[UUID('cc30bd72-41f1-3268-99d3-8307b7149806')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7f4ed404cbe0>],['4.4']
4,5,[27],"[[141, 495, 336, 518]]",4.6,[27],"[[141, 692, 421, 717]]",[UUID('cc30bd72-41f1-3268-99d3-8307b7149806')],"[[3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7f4ed404cbe0>],['4.5']
