note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[24],"[[209, 231, 412, 249]]",7,[24],"[[208, 501, 341, 519]]",[UUID('00f1dc91-e40c-31fc-9594-e9f711d19d26')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7fa6d3640>],"['6', '6']"
7,,[24],"[[208, 501, 341, 519]]",8,[24],"[[209, 805, 902, 836]]",[UUID('59db1c98-1697-33a7-8b96-f9878df1abcc')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7fa6d3280>],"['7', '7']"
5,(c),[23],"[[173, 305, 416, 327]]",(d),[24],"[[1114, 1498, 1138, 1518]]","[UUID('9ae5b06d-1fd8-3e25-9541-81cc93f8cae0'), UUID('59db1c98-1697-33a7-8b96-f9878df1abcc'), UUID('00f1dc91-e40c-31fc-9594-e9f711d19d26')]","[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef6c5862bb0>, <UAT_app.database.db_models.TableLogs object at 0x7ef7fa6d3280>, <UAT_app.database.db_models.TableLogs object at 0x7ef7fa6d3640>]","['5(c)', '5(c)']"
5,(a),[22],"[[177, 885, 330, 907]]",(b),[22],"[[179, 517, 1004, 598]]",[],[],[],['5(a)']
12,,[26],"[[204, 465, 954, 497]]",13,[26],"[[204, 678, 956, 713]]",[UUID('6bb9d7d6-e409-3b0a-b073-9c22b114798a')],"[[7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef740c25dc0>],['12']
11,,[26],"[[204, 246, 440, 269]]",12,[26],"[[204, 465, 954, 497]]",[UUID('6bb9d7d6-e409-3b0a-b073-9c22b114798a')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef740c25dc0>],"['11', '11']"
14,,[27],"[[151, 256, 508, 277]]",15,[28],"[[207, 244, 381, 266]]","[UUID('a64a6232-e108-3b10-a7a3-64dabf7f3f41'), UUID('0b1c78d4-83aa-3ce8-b8e1-fb0ba4cc0c40'), UUID('b33fe1ba-bd2c-3510-bcce-c195eec97fa2'), UUID('3e551784-54c1-3a37-bd2e-dc1c75cdc091')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7061d1a90>, <UAT_app.database.db_models.TableLogs object at 0x7ef7061d1bb0>, <UAT_app.database.db_models.TableLogs object at 0x7ef7061d1280>, <UAT_app.database.db_models.TableLogs object at 0x7ef7409cfa30>]","['14', '14']"
15,,[28],"[[207, 244, 381, 266]]",16,[28],"[[205, 737, 479, 757]]",[UUID('3e551784-54c1-3a37-bd2e-dc1c75cdc091')],"[[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7409cfa30>],['15']
4,(a),[22],"[[179, 373, 1003, 414]]",(b),[22],"[[179, 517, 1004, 598]]",[UUID('b125f8ff-9561-3625-abd1-e25fd4a06d61')],"[[6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef743f6c580>],['4(a)']
4,(b),"[22, 22]","[[179, 517, 1004, 598], [179, 1183, 565, 1204]]",(c),[22],"[[179, 639, 287, 662]]",[UUID('b125f8ff-9561-3625-abd1-e25fd4a06d61')],"[[12, 13, 14, 15, 16, 17]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef743f6c580>],['4(b)']
4,(c),[22],"[[179, 639, 287, 662]]",(d),[23],"[[1111, 1498, 1136, 1518]]","[UUID('b125f8ff-9561-3625-abd1-e25fd4a06d61'), UUID('9ae5b06d-1fd8-3e25-9541-81cc93f8cae0')]","[[17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef743f6c580>, <UAT_app.database.db_models.TableLogs object at 0x7ef6c5862bb0>]",['4(c)']
