note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
3,,[15],"[[141, 809, 461, 835]]",4,[15],"[[141, 1119, 296, 1141]]",[UUID('4853c733-43ec-3b64-8547-68953e5a855c')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdd0164fe20>],"['3', '3']"
7,(a),"[17, 16]","[[141, 303, 521, 329], [141, 1109, 418, 1133]]",(b),[17],"[[141, 594, 326, 618]]",[UUID('45977c66-3858-3431-8a6b-b40dafce3d57')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdd018fdd60>],['7(a)']
7,(b),"[19, 18, 17]","[[141, 304, 427, 329], [141, 304, 429, 329], [141, 594, 326, 618]]",(c),[20],"[[141, 303, 395, 329]]",[UUID('489a2bc7-b337-3b09-bd2a-4426f893da15')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdd018ff670>],['7(b)']
7,(c),[20],"[[141, 303, 395, 329]]",(d),[20],"[[141, 618, 279, 645]]",[UUID('7cbed97c-65dd-3123-b261-3b284f22239e')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdceff1a820>],['7(c)']
7,(d),"[21, 20]","[[141, 303, 382, 329], [141, 618, 279, 645]]",(e),[22],"[[1378, 1061, 1444, 1080]]","[UUID('aff2b99e-2b09-39c2-8b49-f97b47dbf432'), UUID('bc237000-38fa-3a89-bf81-e0859b2de2da')]","[[1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdceff1ad30>, <UAT_app.database.db_models.TableLogs object at 0x7fdceff70220>]","['7(d)', '7(d)']"
7,(d),[20],"[[141, 618, 279, 645]]",(e),[21],"[[1019, 1420, 1084, 1443]]","[UUID('b9918605-9274-3b71-8944-47bd00a2b7ee'), UUID('aff2b99e-2b09-39c2-8b49-f97b47dbf432')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdceff404f0>, <UAT_app.database.db_models.TableLogs object at 0x7fdceff1ad30>]",[]
4,,[15],"[[141, 1119, 296, 1141]]",5,[16],"[[142, 266, 394, 289]]",[UUID('f3aec6d1-9a7f-3f7c-8496-034cd11f879d')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdceff40cd0>],['4']
5,,[16],"[[142, 266, 394, 289]]",6,[16],"[[142, 731, 506, 756]]",[UUID('d9a05909-e81c-33e9-9650-5c3449de3a2b')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdceff4bb20>],"['5', '5']"
6,,[16],"[[142, 731, 506, 756]]",7,[16],"[[141, 1070, 590, 1093]]",[UUID('e7e90f6e-ec57-39c1-ab39-1fe77667af84')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdceff4b2b0>],['6']
17,,[34],"[[141, 645, 720, 674]]",18,[35],"[[142, 266, 535, 293]]",[UUID('48dee9aa-4fdc-361d-81cf-3333a350ece7')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdd01556d30>],['17']
8,(a),[22],"[[140, 304, 371, 328]]",(b),[23],"[[141, 304, 240, 329]]",[UUID('bc237000-38fa-3a89-bf81-e0859b2de2da')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdceff70220>],['8(a)']
8,(d),"[26, 25, 24]","[[141, 304, 375, 329], [141, 303, 375, 329], [141, 1019, 272, 1045]]",(e),[27],"[[1019, 1420, 1084, 1443]]","[UUID('8a7fcd8b-5063-31c9-a56b-567032073af5'), UUID('29c2a4f9-41ce-3f2f-a7ec-4d3cd43773cd')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdcefa02dc0>, <UAT_app.database.db_models.TableLogs object at 0x7fdd015567f0>]","['8(d)', '8(d)', '8(d)']"
8,(d),[24],"[[141, 1019, 272, 1045]]",(e),[25],"[[1019, 1420, 1084, 1443]]","[UUID('91538b3b-2529-34d4-87d0-fd22c9264968'), UUID('04e1eb0b-d111-387b-baf4-1bd60a23715e'), UUID('9c85c789-9b5d-38ca-937a-89b2b3b69995')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdd0154db80>, <UAT_app.database.db_models.TableLogs object at 0x7fdceff40580>, <UAT_app.database.db_models.TableLogs object at 0x7fdceff40430>]",[]
8,(c),[24],"[[141, 304, 366, 329]]",(d),[24],"[[141, 1019, 272, 1045]]",[UUID('f68d9d45-be7b-3a76-876b-40a0fe5556b8')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdceff40a30>],['8(c)']
