note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
9,,[22],"[[94, 218, 552, 245]]",10,[22],"[[93, 486, 569, 511]]",[UUID('9e4380c1-1c9b-3ff5-825e-2f165e2d2063')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f9ed436fe20>],"['9', '9']"
10,,[22],"[[93, 486, 569, 511]]",11,[23],"[[82, 225, 411, 251]]","[UUID('9e7ae25e-3971-3407-870c-43a8d827a523'), UUID('9e4380c1-1c9b-3ff5-825e-2f165e2d2063')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], [7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f9ed4382040>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f9ed436fe20>]",['10']
11,,[23],"[[82, 225, 411, 251]]",12,[23],"[[84, 471, 361, 498]]",[UUID('3dcef940-61b1-37fd-bd37-dc36b3d89e2d')],"[[0, 1, 2, 3, 4, 5]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f9ed6fe9d90>],['11']
12,,[23],"[[84, 471, 361, 498]]",13,[23],"[[86, 761, 600, 787]]",[UUID('e3e68afa-9795-3c44-a600-d7615b167068')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f9f77460070>],['12']
13,,[23],"[[86, 761, 600, 787]]",14,[24],"[[90, 217, 633, 245]]",[UUID('9d990478-3122-37b9-a84c-5fe05c9cb851')],"[[0, 1, 2, 3, 4, 5]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f9eb50047f0>],['13']
14,,[24],"[[90, 217, 633, 245]]",15,[24],"[[84, 1147, 525, 1175]]","[UUID('ab10dc3d-0c22-301f-8fcc-93f15be3bcc7'), UUID('4dc42920-c44a-372a-a966-a7f52647c4a8')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f9ed4382310>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f9ed436ff70>]","['14', '14']"
15,,[24],"[[84, 1147, 525, 1175]]",16,[25],"[[86, 687, 453, 713]]","[UUID('8e71bb60-8311-35db-8f0b-c5b1431187f1'), UUID('102e391a-7182-3725-8a13-04f210196257')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f9ed43828b0>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f9ed6ff8580>]",['15']
16,,[25],"[[86, 687, 453, 713]]",17,[26],"[[90, 651, 533, 679]]","[UUID('c652dc29-b783-305e-8942-9c50090189f2'), UUID('864a1f76-5b19-3245-a997-74415fcce02b')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f9ed7549880>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f9ed6ff8940>]","['16', '16']"
17,,[26],"[[90, 651, 533, 679]]",18,[26],"[[84, 1253, 562, 1281]]",[UUID('a495b86f-42c2-3d8e-ae6a-a2e96010ee00')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f9ed73a3a00>],['17']
18,,[26],"[[84, 1253, 562, 1281]]",19,[27],"[[80, 226, 432, 249]]",[UUID('0412cdbc-dad3-3e1b-9189-d6c4c2cae39d')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f9ed73a31f0>],['18']
19,,[27],"[[80, 226, 432, 249]]",20,[27],"[[83, 493, 429, 518]]",[UUID('f52abf25-334a-3a48-9bbb-10ef800e7b6c')],"[[0, 1, 2, 3]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f9ed73f8a60>],['19']
20,,[27],"[[83, 493, 429, 518]]",21,[27],"[[86, 715, 600, 743]]",[UUID('27d89ecf-4b52-3f44-b218-5c099275d738')],"[[0, 1, 2, 3]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f9ed73f8f10>],['20']
21,,[27],"[[86, 715, 600, 743]]",22,[27],"[[88, 897, 571, 920]]",[UUID('5ac66d51-a719-354c-a6f9-2e907243758e')],"[[0, 1, 2, 3, 4]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f9ed7d3dd90>],['21']
22,,[27],"[[88, 897, 571, 920]]",23,[28],"[[91, 217, 480, 245]]",[UUID('5ac66d51-a719-354c-a6f9-2e907243758e')],"[[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f9ed7d3dd90>],['22']
23,,[28],"[[91, 217, 480, 245]]",24,[28],"[[87, 1123, 371, 1152]]","[UUID('8b1951de-0258-38bb-9c6c-caa447e6b614'), UUID('543243a4-83eb-3892-b2fb-d2b47e10804b')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3, 4, 5, 6]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f9ed44a30a0>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f9ed44683d0>]",['23']
24,,[28],"[[87, 1123, 371, 1152]]",25,[29],"[[81, 226, 314, 256]]",[UUID('543243a4-83eb-3892-b2fb-d2b47e10804b')],"[[6, 7, 8, 9, 10]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7f9ed44683d0>],['24']
