note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
14,,[25],"[[118, 177, 400, 203]]",15,[25],"[[117, 381, 414, 409]]",[UUID('50fe9561-0160-3700-8946-eb38d1c7989c')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f730bc5a9a0>],"['14', '14', '14']"
15,,[25],"[[117, 381, 414, 409]]",16,[25],"[[117, 813, 273, 834]]",[UUID('50fe9561-0160-3700-8946-eb38d1c7989c')],"[[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7f730bc5a9a0>],['15']
16,,[25],"[[117, 813, 273, 834]]",17,[25],"[[117, 1038, 417, 1065]]",[UUID('50fe9561-0160-3700-8946-eb38d1c7989c')],"[[16, 17, 18, 19, 20, 21]]",[<UAT_app.database.db_models.TableLogs object at 0x7f730bc5a9a0>],['16']
17,,[25],"[[117, 1038, 417, 1065]]",18,[26],"[[97, 187, 439, 213]]",[],[],[],"['17', '17']"
18,,[26],"[[97, 187, 439, 213]]",19,[27],"[[122, 189, 480, 215]]",[UUID('3e6b74ec-a7db-3dfd-911c-901dae237396')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73782a4220>],['18']
20,,[28],"[[109, 397, 441, 419]]",21,[28],"[[109, 596, 382, 621]]",[UUID('0a428936-c004-38ec-981c-4dd14eee02eb')],"[[6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73b41ab670>],['20']
19,,[27],"[[122, 189, 480, 215]]",20,[28],"[[109, 397, 441, 419]]","[UUID('a3468d01-af6e-3982-867d-e7042300aa0a'), UUID('0a428936-c004-38ec-981c-4dd14eee02eb')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7f73b73fa9d0>, <UAT_app.database.db_models.TableLogs object at 0x7f73b41ab670>]","['19', '19']"
21,,[28],"[[109, 596, 382, 621]]",22,[28],"[[109, 869, 264, 894]]",[UUID('0a428936-c004-38ec-981c-4dd14eee02eb')],"[[12, 13, 14, 15, 16, 17, 18, 19]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73b41ab670>],['21']
22,,[28],"[[109, 869, 264, 894]]",23,[29],"[[110, 765, 340, 788]]","[UUID('5ae80905-72d5-31b4-abfd-4817689bf452'), UUID('8e6e5d91-5096-3434-9201-20e2f669e78e')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], [0, 1, 2, 3, 4, 5, 6, 7, 8]]","[<UAT_app.database.db_models.TableLogs object at 0x7f730d52dd60>, <UAT_app.database.db_models.TableLogs object at 0x7f73b419be50>]","['22', '22']"
23,,[29],"[[110, 765, 340, 788]]",24,[30],"[[101, 231, 261, 253]]",[UUID('c2ae7c45-6767-32fc-8fd5-8c04d81b51c3')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73b419b340>],"['23', '23']"
24,,[30],"[[101, 231, 261, 253]]",25,[31],"[[113, 258, 421, 284]]",[UUID('6d6e965c-857f-35b8-8abb-a1a8dbdd493f')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7311415100>],"['24', '24']"
25,,[31],"[[113, 258, 421, 284]]",26,[32],"[[109, 235, 290, 256]]","[UUID('e97ce0eb-eed1-328e-babf-1c8adc03794f'), UUID('c361c8ad-dc23-3f95-8dd0-64daf55cfc4c'), UUID('e6c21bed-190d-32e3-b541-f31f81c69735')]","[[0, 1, 2], [0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7f7327bcc310>, <UAT_app.database.db_models.TableLogs object at 0x7f7327bcc460>, <UAT_app.database.db_models.TableLogs object at 0x7f73782a4100>]",['25']
5,,[21],"[[118, 167, 254, 190]]",6,[22],"[[108, 218, 940, 243]]",[UUID('83139866-645d-32e6-90d9-0155d3f504fd')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73273b0730>],['5']
6,,[22],"[[108, 218, 940, 243]]",7,[22],"[[108, 353, 309, 381]]",[UUID('99b94667-9b8a-345a-9cf7-5accad7c35e7')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73273b0d00>],['6']
7,,[22],"[[108, 353, 309, 381]]",8,[22],"[[108, 659, 329, 683]]",[UUID('99b94667-9b8a-345a-9cf7-5accad7c35e7')],"[[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73273b0d00>],['7']
8,,[22],"[[108, 659, 329, 683]]",9,[22],"[[108, 887, 408, 915]]",[UUID('99b94667-9b8a-345a-9cf7-5accad7c35e7')],"[[16, 17, 18, 19, 20, 21, 22, 23, 24]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73273b0d00>],['8']
9,,[22],"[[108, 887, 408, 915]]",10,[23],"[[118, 170, 389, 197]]",[UUID('99b94667-9b8a-345a-9cf7-5accad7c35e7')],"[[31, 32, 33, 34, 35, 36, 24, 25, 26, 27, 28, 29, 30]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73273b0d00>],['9']
10,,[23],"[[118, 170, 389, 197]]",11,[23],"[[117, 478, 396, 506]]",[UUID('0d4def9d-981f-3990-8e4a-2a31bd833f99')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73b419b6d0>],['10']
11,,[23],"[[117, 478, 396, 506]]",12,[23],"[[116, 808, 434, 833]]",[UUID('2ae667a9-57ae-3bcf-a5ec-e51bd4b5c776')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73103caaf0>],['11']
12,,[23],"[[116, 808, 434, 833]]",13,[24],"[[107, 207, 333, 230]]",[UUID('88006f5f-2654-369c-b59d-bdea6403879b')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7f73263d0bb0>],"['12', '12']"
13,,[24],"[[107, 207, 333, 230]]",14,[25],"[[118, 177, 400, 203]]","[UUID('a36a44b9-b38c-30c3-b0df-82e88f78863d'), UUID('191c2cd9-bfee-3752-97d8-f3f2e9c581c1')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]","[<UAT_app.database.db_models.TableLogs object at 0x7f73103cae50>, <UAT_app.database.db_models.TableLogs object at 0x7f730d52da30>]",['13']
