note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
20,(a),[32],"[[146, 340, 526, 366]]",(b),[32],"[[146, 580, 330, 606]]",[UUID('f008f91d-02aa-3c7f-8c93-e6a58c4b10c1')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d46b50c10>],['20(a)']
9,,[26],"[[146, 1299, 391, 1320]]",10,[27],"[[147, 1332, 270, 1351]]","[UUID('4c62b1dd-1b76-3739-ab68-c93ea7f49c15'), UUID('670768cd-a076-3a7c-a492-044733a2eeec')]","[[2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d49c0b2e0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d4820bd60>]",['9']
10,,[27],"[[147, 1332, 270, 1351]]",11,[28],"[[147, 300, 318, 320]]",[UUID('670768cd-a076-3a7c-a492-044733a2eeec')],"[[15, 16, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4820bd60>],['10']
11,,[28],"[[147, 300, 318, 320]]",12,[29],"[[148, 284, 415, 310]]","[UUID('9ac15e9b-6a3e-3099-9f73-feb786ad9ef2'), UUID('09e486ac-82e6-3b59-9ad5-74f8259145de'), UUID('9845efa4-1ef3-3791-b3b0-6a542cd8bff9')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d42905b20>, <UAT_app.database.db_models.TableLogs object at 0x7f1d42905af0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d46b50e50>]",['11']
12,,[29],"[[148, 284, 415, 310]]",13,[30],"[[147, 631, 381, 652]]","[UUID('2838d912-6fdf-38a2-aebb-1094a5b8c35c'), UUID('09c551d5-fbbe-32b9-8958-815308fa8b59'), UUID('7b3e48a5-e088-32b9-9654-29f52373ada8')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26], [0, 1, 2, 3, 4], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d4830e370>, <UAT_app.database.db_models.TableLogs object at 0x7f1d499cca60>, <UAT_app.database.db_models.TableLogs object at 0x7f1d45d4c610>]",['12']
13,,[30],"[[147, 631, 381, 652]]",14,[30],"[[148, 856, 269, 876]]",[UUID('7b3e48a5-e088-32b9-9654-29f52373ada8')],"[[2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d45d4c610>],['13']
14,,[30],"[[148, 856, 269, 876]]",15,[30],"[[148, 1108, 267, 1128]]",[UUID('0d4c3996-4e51-3d70-b980-e31b74462fa4')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d49c0ba90>],['14']
15,,[30],"[[148, 1108, 267, 1128]]",16,[31],"[[147, 286, 293, 310]]",[UUID('950a32e3-be23-392a-8a73-6b3eeaf29227')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d48152820>],"['15', '15']"
8,(c),[25],"[[146, 1013, 346, 1039]]",(d),[26],"[[564, 1619, 626, 1641]]","[UUID('01acba1c-00bb-35b0-a34d-fa3c85a9a266'), UUID('e29db199-a432-355e-a76c-83107ec339fc'), UUID('5f5fc210-5da5-3e33-bfc1-bd2c1b279ba9'), UUID('4c62b1dd-1b76-3739-ab68-c93ea7f49c15')]","[[2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d46488d00>, <UAT_app.database.db_models.TableLogs object at 0x7f1d476b40d0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d42905910>, <UAT_app.database.db_models.TableLogs object at 0x7f1d49c0b2e0>]",['8(c)']
8,,[25],"[[146, 299, 279, 320]]",9,[26],"[[146, 1299, 391, 1320]]","[UUID('7b813afa-30c7-3317-a1d0-96dddf251c4b'), UUID('01acba1c-00bb-35b0-a34d-fa3c85a9a266'), UUID('0edab299-6a08-3f37-983d-bf6a96e26283'), UUID('e29db199-a432-355e-a76c-83107ec339fc'), UUID('5f5fc210-5da5-3e33-bfc1-bd2c1b279ba9'), UUID('4c62b1dd-1b76-3739-ab68-c93ea7f49c15')]","[[0, 1, 2, 3], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d47863400>, <UAT_app.database.db_models.TableLogs object at 0x7f1d46488d00>, <UAT_app.database.db_models.TableLogs object at 0x7f1d47863490>, <UAT_app.database.db_models.TableLogs object at 0x7f1d476b40d0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d42905910>, <UAT_app.database.db_models.TableLogs object at 0x7f1d49c0b2e0>]",['8']
