note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
26,,[40],"[[93, 555, 466, 583]]",27,[40],"[[94, 776, 407, 802]]",[],[],[],"['26', '26', '26']"
4,,[31],"[[151, 284, 511, 309]]",5,[31],"[[151, 531, 531, 555]]",[UUID('e4deb7dd-c26f-3021-84af-6f321907ace0')],"[[1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7ff9ea937a90>],['4']
5,,[31],"[[151, 531, 531, 555]]",6,[31],"[[151, 860, 414, 884]]",[UUID('e4deb7dd-c26f-3021-84af-6f321907ace0')],"[[7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7ff9ea937a90>],['5']
6,,[31],"[[151, 860, 414, 884]]",7,[31],"[[151, 1052, 343, 1077]]",[UUID('e4deb7dd-c26f-3021-84af-6f321907ace0')],"[[15, 16, 17]]",[<UAT_app.database.db_models.TableLogs object at 0x7ff9ea937a90>],['6']
7,,[31],"[[151, 1052, 343, 1077]]",8,[32],"[[115, 271, 588, 300]]",[],[],[],['7']
8,,[32],"[[115, 271, 588, 300]]",9,[33],"[[103, 322, 548, 350]]","[UUID('14434920-efc6-3015-a1d4-b2806c278abb'), UUID('767264fc-7bb9-306e-b1fb-766370b359f5'), UUID('24d683ba-87f4-3715-a972-11c79439681d')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7ff9eb7bbf10>, <UAT_app.database.db_models.TableLogs object at 0x7ff9eb7bbc70>, <UAT_app.database.db_models.TableLogs object at 0x7ff9ea848910>]","['8', '8', '8']"
9,,[33],"[[103, 322, 548, 350]]",10,[33],"[[101, 583, 507, 615]]",[UUID('24d683ba-87f4-3715-a972-11c79439681d')],"[[1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7ff9ea848910>],['9']
10,,[33],"[[101, 583, 507, 615]]",11,[34],"[[98, 289, 552, 317]]","[UUID('8bffb9b2-9628-37ca-ab1b-e8f435756ebb'), UUID('f6c3ea4e-a9cd-3114-878f-ac01299dbbff')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7ff9ea8cfa30>, <UAT_app.database.db_models.TableLogs object at 0x7ff9ea9188e0>]",['10']
3,(d),[30],"[[136, 439, 424, 465]]",(e),[31],"[[619, 1591, 643, 1613]]","[UUID('b731ca4d-566e-3f01-96d3-c148ce183241'), UUID('e4deb7dd-c26f-3021-84af-6f321907ace0')]","[[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]","[<UAT_app.database.db_models.TableLogs object at 0x7ff9ea8cf550>, <UAT_app.database.db_models.TableLogs object at 0x7ff9ea937a90>]","['3(d)', '3(d)']"
3,(c),[30],"[[136, 337, 400, 365]]",(d),[30],"[[136, 439, 424, 465]]",[UUID('b731ca4d-566e-3f01-96d3-c148ce183241')],"[[2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7ff9ea8cf550>],['3(c)']
