note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[24],"[[179, 1055, 479, 1082]]",8,[25],"[[177, 294, 486, 319]]",[UUID('42d7fba5-f471-32d4-9475-675a65c87c9a')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef743ea2a30>],"['7', '7']"
8,,[25],"[[177, 294, 486, 319]]",9,[25],"[[181, 478, 1024, 503]]",[UUID('83b37350-0fb6-3ac6-972c-7e21bd230841')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef740ddec40>],"['8', '8']"
10,,[25],"[[176, 777, 511, 805]]",11,[26],"[[181, 299, 407, 327]]","[UUID('6e62f5f6-244f-3968-8f96-2df03ff148fc'), UUID('8f02e492-daab-3894-bfc1-60386c4b38bc')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6, 7, 8]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef744260e20>, <UAT_app.database.db_models.TableLogs object at 0x7ef6b79ae5e0>]",['10']
13,,[26],"[[179, 838, 465, 866]]",14,[27],"[[179, 292, 327, 319]]",[UUID('979305ea-0825-3df5-9a0d-b93fc3779bfa')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7efbfdb8ec70>],"['13', '13']"
14,,[27],"[[179, 292, 327, 319]]",15,[27],"[[177, 689, 318, 715]]",[UUID('d6eecca3-f44e-3257-b389-d5ce37360529')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7438d4220>],"['14', '14']"
15,,[27],"[[177, 689, 318, 715]]",16,[28],"[[182, 300, 431, 325]]",[UUID('2c498df6-125f-3779-952f-edf3eb29f47b')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef74546f040>],"['15', '15']"
16,,[28],"[[182, 300, 431, 325]]",17,[28],"[[180, 629, 401, 657]]",[UUID('d42ad504-17d7-31aa-8750-112bf68db309')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7438d47c0>],['16']
17,,[28],"[[180, 629, 401, 657]]",18,[28],"[[180, 970, 394, 994]]",[UUID('426b5a7a-42bb-3285-a1f5-ac8a8d4e24be')],"[[0, 1, 2]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7445c56a0>],['17']
18,,[28],"[[180, 970, 394, 994]]",19,[28],"[[180, 1192, 314, 1215]]",[UUID('f12f1258-9fcb-330d-8d8b-00f4a94e939a')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7efbe1c872b0>],['18']
4,,[23],"[[177, 294, 610, 317]]",5,[23],"[[177, 924, 601, 950]]","[UUID('0eefbfa9-258d-3e48-aab9-e4568dbc59df'), UUID('f93fd3d9-5c3d-3c0f-9874-396fc75288c1')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7438ee1c0>, <UAT_app.database.db_models.TableLogs object at 0x7ef7438eedc0>]",['4']
5,(a),"[29, 23]","[[180, 643, 1028, 705], [176, 958, 322, 985]]",(b),[23],"[[176, 1144, 417, 1172]]",[],[],[],['5(a)']
5,(b),[23],"[[176, 1144, 417, 1172]]",(c),[24],"[[177, 929, 447, 957]]","[UUID('64868167-03f1-325a-a128-5d4a6182cade'), UUID('ea8edae5-047b-3656-9661-3c0de5153822'), UUID('e8cedbff-29d5-3105-a414-b661ff9f2862')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7445c5670>, <UAT_app.database.db_models.TableLogs object at 0x7efbe1c87100>, <UAT_app.database.db_models.TableLogs object at 0x7efbe1c87070>]",['5(b)']
6,,[24],"[[181, 300, 412, 325]]",7,[24],"[[179, 1055, 479, 1082]]","[UUID('ea8edae5-047b-3656-9661-3c0de5153822'), UUID('e8cedbff-29d5-3105-a414-b661ff9f2862')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]","[<UAT_app.database.db_models.TableLogs object at 0x7efbe1c87100>, <UAT_app.database.db_models.TableLogs object at 0x7efbe1c87070>]",['6']
