note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
13.,,[25],"[[78, 844, 387, 870]]",14,[25],"[[78, 987, 406, 1011]]",[UUID('80ad65bf-ff6e-3226-9770-8747e2e01ee5')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7481e09430>],"['13.', '13.']"
14.,,[25],"[[78, 987, 406, 1011]]",15,[25],"[[77, 1289, 229, 1315]]",[UUID('80ad65bf-ff6e-3226-9770-8747e2e01ee5')],"[[4, 5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7481e09430>],"['14.', '14.']"
15.,,[25],"[[77, 1289, 229, 1315]]",16,[26],"[[82, 313, 399, 340]]","[UUID('6902620c-4cfa-3528-8952-46e6e1983447'), UUID('489517f4-eacf-348b-91ea-ce816dbf4aaf')]","[[0, 1, 2, 3, 4], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7f7489e5d6a0>, <UAT_app.database.db_models.TableLogs object at 0x7f7488f10f40>]",['15.']
18.,,[26],"[[78, 1149, 510, 1176]]",19,[27],"[[83, 236, 402, 262]]",[UUID('fce0e101-5481-3ca4-a03f-a3021c456814')],"[[1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7488fcf9d0>],"['18.', '18.']"
25.,,[30],"[[121, 686, 539, 712]]",26,[30],"[[121, 1028, 377, 1054]]",[UUID('33a8cbcb-7ece-34ec-a1eb-86e2ef670405')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7489e71be0>],"['25.', '25.']"
16.,,[26],"[[82, 313, 399, 340]]",17,[26],"[[80, 801, 415, 827]]","[UUID('3d7bed10-a9ec-333d-9409-2d312661dc99'), UUID('489517f4-eacf-348b-91ea-ce816dbf4aaf')]","[[0, 1, 2, 3, 4, 5, 6, 7], [2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7f7489e71670>, <UAT_app.database.db_models.TableLogs object at 0x7f7488f10f40>]",['16.']
19.,,[27],"[[83, 236, 402, 262]]",20,[27],"[[81, 896, 280, 921]]",[UUID('084343ac-00e3-3435-b69c-9d54258c2c64')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7489e71790>],['19.']
21.,,[28],"[[87, 241, 247, 267]]",22,[28],"[[85, 1015, 1112, 1041]]","[UUID('ee318bb5-7536-31c6-bbb2-447d38963924'), UUID('5a5123dd-fa7c-36b3-b825-b8590b5ceffb')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7]]","[<UAT_app.database.db_models.TableLogs object at 0x7f7489e712b0>, <UAT_app.database.db_models.TableLogs object at 0x7f7489e71820>]",['21.']
20.,,[27],"[[81, 896, 280, 921]]",21,[28],"[[87, 241, 247, 267]]",[UUID('40305aa6-99f8-319f-81af-674d0656858b')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7488fc06a0>],['20.']
22.,,[28],"[[85, 1015, 1112, 1041]]",23,[29],"[[121, 310, 288, 336]]","[UUID('40e979ec-b129-3906-ade3-5c1bca04f670'), UUID('7e889f7a-3db6-3c9c-a773-fdbe8274b3a4')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7f7488fc2d60>, <UAT_app.database.db_models.TableLogs object at 0x7f7489e712e0>]","['22.', '22.']"
