note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[29],"[[141, 315, 458, 342]]",7,[29],"[[140, 503, 467, 526]]",[UUID('86ee27f8-d041-3f28-bbe1-119dd7e64e21')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7eff12f19220>],['6']
7,,[29],"[[140, 503, 467, 526]]",8,[29],"[[140, 698, 308, 721]]",[UUID('86ee27f8-d041-3f28-bbe1-119dd7e64e21')],"[[5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7eff12f19220>],['7']
8,,[29],"[[140, 698, 308, 721]]",9,[29],"[[140, 991, 357, 1014]]",[UUID('86ee27f8-d041-3f28-bbe1-119dd7e64e21')],"[[11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7eff12f19220>],['8']
9,,[29],"[[140, 991, 357, 1014]]",10,[30],"[[140, 314, 323, 340]]",[UUID('f0e50e61-0d13-36cb-a5c1-022445b688b6')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7eff12f9b580>],"['9', '9']"
11,,[30],"[[140, 624, 457, 652]]",12,[31],"[[141, 315, 491, 342]]","[UUID('7ec3eca4-5eb6-3c47-b78f-0b6ff1a5b332'), UUID('8717fbfc-ba62-3113-9b45-36899028d128'), UUID('2782a1e0-52d4-3157-ae0d-80b2aedae320')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5], [9, 10, 11, 12]]","[<UAT_app.database.db_models.TableLogs object at 0x7eff12f1dd60>, <UAT_app.database.db_models.TableLogs object at 0x7eff12f1d580>, <UAT_app.database.db_models.TableLogs object at 0x7eff13da90d0>]",['11']
12,,[31],"[[141, 315, 491, 342]]",13,[31],"[[140, 1060, 269, 1087]]",[UUID('63a298c4-7639-38b2-8a8c-d629e3634aaf')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]",[<UAT_app.database.db_models.TableLogs object at 0x7eff12ef24f0>],['12']
16,,[32],"[[140, 1221, 312, 1248]]",17,[33],"[[141, 693, 303, 717]]","[UUID('58db2fbd-38a5-37ed-a0a4-e2267f92ad34'), UUID('340e44cc-7e16-31b8-bfa4-dc3a5f9e9d2a')]","[[23, 24, 25, 26], [0, 1, 2, 3, 4, 5, 6, 7]]","[<UAT_app.database.db_models.TableLogs object at 0x7eff13f6dee0>, <UAT_app.database.db_models.TableLogs object at 0x7eff12ea5940>]",['16']
17,,[33],"[[141, 693, 303, 717]]",18,[33],"[[141, 1039, 381, 1068]]",[UUID('340e44cc-7e16-31b8-bfa4-dc3a5f9e9d2a')],"[[7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7eff12ea5940>],"['17', '17']"
15,,[32],"[[143, 919, 379, 940]]",16,[32],"[[140, 1221, 312, 1248]]",[UUID('58db2fbd-38a5-37ed-a0a4-e2267f92ad34')],"[[14, 15, 16, 17, 18, 19, 20, 21, 22, 23]]",[<UAT_app.database.db_models.TableLogs object at 0x7eff13f6dee0>],['15']
18,,[33],"[[141, 1039, 381, 1068]]",19,[34],"[[141, 315, 291, 340]]",[UUID('340e44cc-7e16-31b8-bfa4-dc3a5f9e9d2a')],"[[15, 16, 17, 18]]",[<UAT_app.database.db_models.TableLogs object at 0x7eff12ea5940>],['18']
19,,[34],"[[141, 315, 291, 340]]",20,[35],"[[140, 314, 444, 342]]",[UUID('3e23ea4a-9a05-385d-b6e7-6b58a216d760')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]]",[<UAT_app.database.db_models.TableLogs object at 0x7eff12f987c0>],['19']
