note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[24],"[[147, 1103, 257, 1126]]",8,[25],"[[150, 337, 472, 361]]",[UUID('a225f195-0174-3e12-ab26-551bf09226d9')],"[[27, 28, 29, 30]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf28f6520>],"['7', '7']"
8,,[25],"[[150, 337, 472, 361]]",9,[25],"[[148, 600, 358, 623]]",[UUID('b34afa60-425e-3857-a385-e2a8d8ae53e8')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf64a4d90>],['8']
9,,[25],"[[148, 600, 358, 623]]",10,[25],"[[148, 805, 315, 832]]",[UUID('b34afa60-425e-3857-a385-e2a8d8ae53e8')],"[[8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf64a4d90>],['9']
10,,[25],"[[148, 805, 315, 832]]",11,[26],"[[148, 335, 496, 363]]",[UUID('b34afa60-425e-3857-a385-e2a8d8ae53e8')],"[[14, 15, 16, 17, 18, 19, 20, 21, 22, 23]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf64a4d90>],"['10', '10']"
13,,[28],"[[150, 340, 327, 361]]",14,[28],"[[148, 583, 351, 610]]",[UUID('91bb26a8-cc94-3886-be99-2fe39c480bb8')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdbaa25b6a0>],"['13', '13']"
11,,[26],"[[148, 335, 496, 363]]",12,[27],"[[136, 1547, 757, 1570]]","[UUID('fac1cf89-6aa8-3dd2-a6ad-bfb40a95eb01'), UUID('cdf02b22-ff7c-379b-8362-14cbc9f52e75')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba8bad130>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf64a4580>]",['11']
14,,[28],"[[148, 583, 351, 610]]",15,[28],"[[146, 842, 378, 868]]",[UUID('91bb26a8-cc94-3886-be99-2fe39c480bb8')],"[[7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdbaa25b6a0>],['14']
15,,[28],"[[146, 842, 378, 868]]",16,[28],"[[146, 1016, 316, 1042]]",[UUID('91bb26a8-cc94-3886-be99-2fe39c480bb8')],"[[17, 18, 19, 20, 21]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdbaa25b6a0>],['15']
16,,[28],"[[146, 1016, 316, 1042]]",17,[29],"[[147, 832, 461, 858]]","[UUID('91bb26a8-cc94-3886-be99-2fe39c480bb8'), UUID('9ac73f69-3fe3-3363-8703-2fa3e9f46784')]","[[21, 22, 23, 24, 25, 26, 27], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdbaa25b6a0>, <UAT_app.database.db_models.TableLogs object at 0x7fda6f117880>]",['16']
17,,[29],"[[147, 832, 461, 858]]",18,[29],"[[148, 1154, 351, 1177]]",[UUID('41b62c21-8a59-3d6e-a728-b7576f9a8b0e')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6f1177c0>],"['17', '17']"
18,,[29],"[[148, 1154, 351, 1177]]",19,[30],"[[153, 335, 280, 361]]",[UUID('9fe77270-3351-3c67-985d-18253ea31155')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf68b47c0>],['18']
6,,[23],"[[147, 527, 312, 552]]",7,[24],"[[147, 1103, 257, 1126]]","[UUID('fe1dcb1a-194e-391d-aba6-586168985add'), UUID('ae9d8d2b-b6c1-3eff-a58a-e1c0f1a43693'), UUID('a225f195-0174-3e12-ab26-551bf09226d9')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba77f8d30>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf64a40a0>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf28f6520>]","['6', '6']"
20,,[31],"[[152, 335, 344, 363]]",21,[31],"[[151, 787, 383, 812]]",[UUID('f7967070-c542-3c5a-a471-6d965cbf83d5')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6cf8bf70>],['20']
4,1,[21],"[[147, 374, 589, 401]]",4.2,[21],"[[148, 531, 543, 555]]",[UUID('694cdf86-2116-3fca-be0c-cd10d53b7808')],"[[0, 1]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba813efd0>],['4.1']
5,1,[21],"[[146, 1073, 333, 1100]]",5.2,[22],"[[148, 374, 331, 399]]","[UUID('9fd0585b-bcf9-3102-95fa-69ad64a74efd'), UUID('e37b0d9d-fa33-3600-87b9-44d6e6b0486e')]","[[0, 1, 2, 3], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdc50198160>, <UAT_app.database.db_models.TableLogs object at 0x7fdf96527af0>]",['5.1']
5,2,[22],"[[148, 374, 331, 399]]",5.3,[22],"[[147, 573, 467, 598]]",[UUID('e37b0d9d-fa33-3600-87b9-44d6e6b0486e')],"[[1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf96527af0>],['5.2']
5,3,[22],"[[147, 573, 467, 598]]",5.4,[22],"[[146, 767, 578, 794]]",[UUID('e37b0d9d-fa33-3600-87b9-44d6e6b0486e')],"[[7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf96527af0>],['5.3']
5,4,[22],"[[146, 767, 578, 794]]",5.5,[22],"[[146, 1198, 338, 1221]]",[UUID('e37b0d9d-fa33-3600-87b9-44d6e6b0486e')],"[[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf96527af0>],['5.4']
5,5,[22],"[[146, 1198, 338, 1221]]",5.6,[23],"[[147, 373, 357, 399]]",[UUID('e37b0d9d-fa33-3600-87b9-44d6e6b0486e')],"[[31, 32, 33, 34, 35, 29, 30]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf96527af0>],['5.5']
5,6,[23],"[[147, 373, 357, 399]]",5.7,[24],"[[1036, 1522, 1058, 1542]]","[UUID('fe1dcb1a-194e-391d-aba6-586168985add'), UUID('ae9d8d2b-b6c1-3eff-a58a-e1c0f1a43693'), UUID('64744207-e356-3d48-9972-c312ca3b9f33'), UUID('a225f195-0174-3e12-ab26-551bf09226d9')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5], [0, 1], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba77f8d30>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf64a40a0>, <UAT_app.database.db_models.TableLogs object at 0x7fdc50198e80>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf28f6520>]",['5.6']
