note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[18],"[[54, 177, 540, 203]]",8,[18],"[[55, 651, 548, 675]]","[UUID('db97776e-9d98-3d6b-bc63-39668a6e4cdb'), UUID('fc74f276-7827-35a7-86d5-571275455dd1')]","[[0, 1, 2, 3, 4], [0, 1, 2]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fba784295e0>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fba78429f10>]","['7', '7']"
8,,[18],"[[55, 651, 548, 675]]",9,[18],"[[54, 935, 503, 960]]",[UUID('f6d116da-1b4a-335e-a24e-3f0e2bae318e')],"[[0, 1, 2, 3, 4, 5, 6]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fba812f5f70>],['8']
9,,[18],"[[54, 935, 503, 960]]",10,[18],"[[54, 1126, 445, 1151]]",[],[],[],['9']
10,,[18],"[[54, 1126, 445, 1151]]",11,[18],"[[54, 1317, 548, 1343]]",[],[],[],['10']
11,,[18],"[[54, 1317, 548, 1343]]",12,[19],"[[54, 177, 491, 202]]",[UUID('4a7a3e82-7858-3fd3-b7f9-544e23bae718')],"[[0, 1, 2]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fba80462a00>],['11']
12,,[19],"[[54, 177, 491, 202]]",13,[19],"[[54, 460, 629, 488]]",[UUID('94d0f6e5-b2ee-316b-9099-832d7f2039bd')],"[[0, 1, 2, 3, 4, 5, 6]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fba7842d6a0>],['12']
13,,[19],"[[54, 460, 629, 488]]",14,[20],"[[54, 177, 521, 203]]","[UUID('50b037b2-4335-3501-927e-293d12a7db96'), UUID('14d201fd-74cc-3e8c-b222-c7ce8101e0b5')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fba7842d6d0>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fba7842d670>]","['13', '13']"
14,,[20],"[[54, 177, 521, 203]]",15,[20],"[[54, 552, 446, 578]]",[UUID('4399ecf2-9b75-39cd-a474-056f3b5cccf8')],"[[0, 1, 2, 3, 4, 5]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fba812f5c70>],['14']
15,,[20],"[[54, 552, 446, 578]]",16,[20],"[[54, 744, 459, 769]]",[UUID('f94f1052-0db5-3cd3-9d20-b93df8b72106')],"[[0, 1, 2, 3, 4]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fba804657c0>],['15']
16,,[20],"[[54, 744, 459, 769]]",17,[21],"[[54, 177, 587, 203]]",[UUID('f94f1052-0db5-3cd3-9d20-b93df8b72106')],"[[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fba804657c0>],['16']
17,,[21],"[[54, 177, 587, 203]]",18,[21],"[[54, 368, 559, 394]]",[UUID('05dd9b0d-0b6d-3533-835a-c2b0966bdaf5')],"[[0, 1, 2, 3]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fba80454ee0>],['17']
18,,[21],"[[54, 368, 559, 394]]",19,[21],"[[55, 746, 431, 771]]",[UUID('dd5fbeec-ce29-3313-8455-da7023571718')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fba804650d0>],['18']
19,,[21],"[[55, 746, 431, 771]]",20,[21],"[[54, 935, 462, 960]]",[],[],[],['19']
20,,[21],"[[54, 935, 462, 960]]",21,[21],"[[54, 1218, 496, 1244]]",[UUID('b4b84d8b-d701-37a9-8d93-fe025ec3ef5b')],"[[0, 1, 2, 3, 4, 5, 6]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fba80465490>],['20']
21,,[21],"[[54, 1218, 496, 1244]]",22,[22],"[[54, 177, 493, 202]]",[UUID('0d10eb63-e70d-36b6-83e5-f9be388cd28e')],"[[0, 1, 2, 3, 4, 5]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fba8046b7c0>],['21']
22,,[22],"[[54, 177, 493, 202]]",23,[22],"[[54, 368, 473, 394]]",[UUID('d493669a-305e-3f5c-a1ba-fd88f7af9920')],"[[0, 1, 2, 3, 4, 5]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fba804655e0>],['22']
23,,[22],"[[54, 368, 473, 394]]",24,[22],"[[54, 559, 507, 585]]",[UUID('d493669a-305e-3f5c-a1ba-fd88f7af9920')],"[[5, 6, 7, 8, 9, 10]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fba804655e0>],['23']
24,,[22],"[[54, 559, 507, 585]]",25,[22],"[[55, 1032, 538, 1060]]",[UUID('d493669a-305e-3f5c-a1ba-fd88f7af9920')],"[[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fba804655e0>],['24']
25,,[22],"[[55, 1032, 538, 1060]]",26,[23],"[[54, 177, 353, 203]]",[UUID('a7bb8dfd-efac-3464-9fdf-7f5eda0df38f')],"[[0, 1, 2]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fba8046bd60>],['25']
26,,[23],"[[54, 177, 353, 203]]",27,[23],"[[54, 552, 366, 578]]",[UUID('d4816cfb-3bb0-3661-85b8-f71fcfa8d112')],"[[0, 1, 2, 3]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fba804685b0>],['26']
