note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[22],"[[150, 832, 982, 861]]",7,[22],"[[152, 1021, 983, 1049]]",[],[],[],"['6', '6']"
7,,[22],"[[152, 1021, 983, 1049]]",8,[23],"[[144, 345, 975, 374]]","[UUID('f597cbeb-e2bc-3daf-a0cb-3c94cecda2d5'), UUID('b2b99647-e5cd-3f44-ba17-ad3abd857504')]","[[0, 1], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7f7de4a7d850>, <UAT_app.database.db_models.TableLogs object at 0x7f7de4a7dc70>]",['7']
8,,[23],"[[144, 345, 975, 374]]",9,[24],"[[150, 310, 546, 338]]",[UUID('f597cbeb-e2bc-3daf-a0cb-3c94cecda2d5')],"[[1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7de4a7d850>],['8']
5,,[21],"[[141, 340, 973, 373]]",6,[22],"[[150, 832, 982, 861]]","[UUID('fb68f8f3-3eb0-3895-8c0e-82713c17328a'), UUID('f41a58e2-b1c5-3d36-ba1b-6a732048bd0c'), UUID('f662e132-683e-304f-8b7f-dc05530d4115')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21], [0, 1, 2, 3, 4, 5, 6, 7, 8]]","[<UAT_app.database.db_models.TableLogs object at 0x7f7de67e57c0>, <UAT_app.database.db_models.TableLogs object at 0x7f7de67e53a0>, <UAT_app.database.db_models.TableLogs object at 0x7f7de4a798b0>]","['5', '5']"
9,,[24],"[[150, 310, 546, 338]]",10,[25],"[[143, 314, 303, 338]]",[UUID('b9562277-126c-3495-a18b-f9dcc8f835d0')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7de5a22850>],['9']
10,,[25],"[[143, 314, 303, 338]]",11,[26],"[[145, 312, 414, 340]]","[UUID('bce96d15-de9e-3032-b098-996262e871c2'), UUID('950adc03-8544-34ed-b9ec-37e2a5cd1cf4')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], [0, 1, 2, 3, 4, 5, 6, 7, 8]]","[<UAT_app.database.db_models.TableLogs object at 0x7f7de5a22640>, <UAT_app.database.db_models.TableLogs object at 0x7f7de5a22ca0>]","['10', '10', '10', '10']"
11,,[26],"[[145, 312, 414, 340]]",12,[26],"[[151, 1095, 983, 1126]]",[UUID('664e7b95-e4d8-3485-94a8-c46f1d821745')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7de5a22df0>],"['11', '11']"
12,,[26],"[[151, 1095, 983, 1126]]",13,[27],"[[146, 346, 978, 376]]","[UUID('664e7b95-e4d8-3485-94a8-c46f1d821745'), UUID('448947d1-94fe-3ccc-aebd-245b666a9d9c')]","[[20, 21, 22, 23, 24, 25], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7f7de5a22df0>, <UAT_app.database.db_models.TableLogs object at 0x7f7de5a224c0>]",['12']
13,,[27],"[[146, 346, 978, 376]]",14,[27],"[[150, 751, 981, 781]]",[UUID('448947d1-94fe-3ccc-aebd-245b666a9d9c')],"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7de5a224c0>],"['13', '13']"
14,,[27],"[[150, 751, 981, 781]]",15,[27],"[[153, 1121, 380, 1149]]",[UUID('448947d1-94fe-3ccc-aebd-245b666a9d9c')],"[[10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7de5a224c0>],"['14', '14']"
15,,[27],"[[153, 1121, 380, 1149]]",16,[28],"[[148, 545, 393, 570]]",[UUID('cd074f39-fc23-324a-9601-ef71d98330c5')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7de5a2d850>],['15']
2,,[20],"[[146, 345, 979, 373]]",3,[20],"[[150, 764, 981, 794]]",[UUID('d1eb2988-f38a-35f9-8797-2827ae51c256')],"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7de5a146d0>],['2']
3,,[20],"[[150, 764, 981, 794]]",4,[20],"[[152, 929, 983, 958]]",[UUID('d1eb2988-f38a-35f9-8797-2827ae51c256')],"[[11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7de5a146d0>],['3']
4,,[20],"[[152, 929, 983, 958]]",5,[21],"[[141, 340, 973, 373]]","[UUID('d1eb2988-f38a-35f9-8797-2827ae51c256'), UUID('f41a58e2-b1c5-3d36-ba1b-6a732048bd0c')]","[[15, 16, 17, 18, 19, 20, 21, 22, 23], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7f7de5a146d0>, <UAT_app.database.db_models.TableLogs object at 0x7f7de67e53a0>]","['4', '4']"
,,[13],"[[143, 772, 468, 797]]",,[13],"[[136, 138, 394, 161]]",[],[],[],"['Acquisition of Property, Plant and Equipment 9']"
