note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
8,,[22],"[[82, 803, 381, 827]]",9,[22],"[[83, 1021, 394, 1046]]",[UUID('dc9e4fa9-40a7-33cc-8a07-67f378126ba4')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7da36c9100>],"['8', '8']"
9,,[22],"[[83, 1021, 394, 1046]]",10,[23],"[[88, 238, 246, 264]]",[UUID('dc9e4fa9-40a7-33cc-8a07-67f378126ba4')],"[[6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7da36c9100>],['9']
10,,[23],"[[88, 238, 246, 264]]",11,[23],"[[87, 794, 257, 816]]",[UUID('3a708201-032d-3a31-b778-1cfb241d33a8')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7da36dc3d0>],['10']
11,,[23],"[[87, 794, 257, 816]]",12,[24],"[[80, 236, 417, 261]]",[UUID('244abe48-95a6-380e-ac52-d643af2fd5dd')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7da36e5df0>],['11']
12,,[24],"[[80, 236, 417, 261]]",13,[24],"[[84, 921, 201, 942]]",[UUID('11861af5-5316-337b-a5b1-1a8181f11da2')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7da36d38e0>],['12']
14,,[26],"[[81, 233, 292, 258]]",15,[26],"[[83, 1041, 373, 1067]]",[UUID('b1a9f356-7fb6-3a39-bb7c-38d13e6e2586')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7da36e0ac0>],['14']
15,,[26],"[[83, 1041, 373, 1067]]",16,[27],"[[90, 236, 352, 263]]",[UUID('f7c9c378-26d0-3445-a485-387d5107d790')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7dac854ee0>],['15']
16,,[27],"[[90, 236, 352, 263]]",17,[27],"[[89, 941, 240, 964]]","[UUID('894762b3-0466-3bac-919f-c4be03785f72'), UUID('2a7042d4-4a97-3c37-a0cb-0341b1428482')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7f7da36d4070>, <UAT_app.database.db_models.TableLogs object at 0x7f7da36d4490>]",['16']
17,,[27],"[[89, 941, 240, 964]]",18,[28],"[[81, 235, 306, 259]]",[UUID('a559bd49-7341-39df-8600-7d954e6250ab')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7da36d3700>],"['17', '17']"
18,,[28],"[[81, 235, 306, 259]]",19,[28],"[[83, 590, 244, 617]]",[UUID('e4f11426-201b-3057-a521-e5ec81886d14')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7f7dac8c52b0>],"['18', '18']"
19,,[28],"[[83, 590, 244, 617]]",20,[29],"[[90, 243, 287, 268]]","[UUID('30edcff6-0c5d-3b35-8257-d5c381f202e5'), UUID('c385dc9a-7b4a-38c6-a837-1b908496492d')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7f7dad723df0>, <UAT_app.database.db_models.TableLogs object at 0x7f7dad723580>]",['19']
