note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
10,,[22],"[[94, 255, 1029, 281]]",11,[22],"[[91, 538, 1028, 564]]",[UUID('39230f6c-1e7d-3dde-b358-42a717fbc7f9')],"[[1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7436b8610>],"['10', '10']"
11,,[22],"[[91, 538, 1028, 564]]",12,[22],"[[91, 751, 1028, 779]]",[UUID('39230f6c-1e7d-3dde-b358-42a717fbc7f9')],"[[8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7436b8610>],['11']
12,,[22],"[[91, 751, 1028, 779]]",13,[22],"[[90, 896, 1029, 924]]",[UUID('39230f6c-1e7d-3dde-b358-42a717fbc7f9')],"[[15, 16, 17, 18, 19]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7436b8610>],['12']
13,,[22],"[[90, 896, 1029, 924]]",14,[23],"[[91, 255, 411, 281]]",[UUID('39230f6c-1e7d-3dde-b358-42a717fbc7f9')],"[[19, 20, 21, 22, 23, 24, 25, 26, 27, 28]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7436b8610>],"['13', '13']"
9,,[21],"[[91, 258, 261, 281]]",10,[22],"[[94, 255, 1029, 281]]","[UUID('94ea4d05-e57e-315b-b9b4-7f20a0a0eef8'), UUID('17d00933-857b-321b-a380-8ba981a10349'), UUID('ccef820e-fdd7-3dcd-98dc-2a78da06bfe3'), UUID('39230f6c-1e7d-3dde-b358-42a717fbc7f9')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6], [0, 1]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef7407c6fa0>, <UAT_app.database.db_models.TableLogs object at 0x7ef7407c6550>, <UAT_app.database.db_models.TableLogs object at 0x7ef7407c66a0>, <UAT_app.database.db_models.TableLogs object at 0x7ef7436b8610>]","['9', '9']"
14,,[23],"[[91, 255, 411, 281]]",15,[23],"[[90, 873, 1029, 900]]",[UUID('746e97b6-41cd-3199-bdbd-65281cabb010')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7407c6dc0>],['14']
15,,[23],"[[90, 873, 1029, 900]]",16,[24],"[[91, 255, 1028, 278]]",[UUID('746e97b6-41cd-3199-bdbd-65281cabb010')],"[[20, 21, 22, 23, 24, 25, 26, 27, 28, 29]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7407c6dc0>],['15']
16,,[24],"[[91, 255, 1028, 278]]",17,[24],"[[89, 515, 275, 541]]",[UUID('93bf1155-bf85-3a42-861a-f050962587b9')],"[[0, 1]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef741663e50>],"['16', '16']"
17,,[24],"[[89, 515, 275, 541]]",18,[25],"[[91, 255, 319, 278]]",[UUID('93bf1155-bf85-3a42-861a-f050962587b9')],"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef741663e50>],"['17', '17']"
18,,[25],"[[91, 255, 319, 278]]",19,[26],"[[91, 253, 330, 274]]","[UUID('b2116125-6927-301c-bf7a-f8bfdd0f82a3'), UUID('b4d399f4-e3ab-361b-814a-2eded9f2953d'), UUID('c0d2b837-27c7-3e58-85fb-77686608cf4d')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef74351b670>, <UAT_app.database.db_models.TableLogs object at 0x7ef740100e50>, <UAT_app.database.db_models.TableLogs object at 0x7ef7f9e097c0>]","['18', '18']"
4,,[20],"[[91, 261, 1025, 283]]",5,[20],"[[89, 436, 1025, 460]]",[UUID('d2a1bc0a-57a0-30e8-9589-fd3f07b74f73')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7468ac940>],['4']
5,,[20],"[[89, 436, 1025, 460]]",6,[20],"[[90, 595, 1024, 617]]",[UUID('d2a1bc0a-57a0-30e8-9589-fd3f07b74f73')],"[[6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7468ac940>],['5']
6,,[20],"[[90, 595, 1024, 617]]",7,[20],"[[88, 771, 1024, 796]]",[UUID('d2a1bc0a-57a0-30e8-9589-fd3f07b74f73')],"[[11, 12, 13, 14, 15, 16, 17]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7468ac940>],['6']
7,,[20],"[[88, 771, 1024, 796]]",8,[20],"[[88, 1137, 1024, 1161]]",[UUID('d2a1bc0a-57a0-30e8-9589-fd3f07b74f73')],"[[31, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7468ac940>],['7']
8,,[20],"[[88, 1137, 1024, 1161]]",9,[21],"[[91, 258, 261, 281]]",[UUID('d2a1bc0a-57a0-30e8-9589-fd3f07b74f73')],"[[31, 32, 33, 34, 35, 36, 37, 38, 39]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7468ac940>],['8']
