note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
11,,[26],"[[139, 963, 377, 982]]",12,[27],"[[138, 221, 331, 239]]",[UUID('89b26c8f-b4e3-3685-aa56-4bb8770c4d37')],"[[31, 32, 33, 34, 35, 25, 26, 27, 28, 29, 30]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef74079f430>],['11']
12,,[27],"[[138, 221, 331, 239]]",13,[27],"[[139, 583, 259, 601]]",[UUID('784c219f-f140-394c-bf63-3890917658da')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef745461490>],"['12', '12']"
18,,[30],"[[138, 177, 265, 198]]",19,[30],"[[139, 485, 359, 505]]",[UUID('e19f8a8d-cc8c-32c3-ac72-2cf6fd11c1a7')],"[[3, 4, 5, 6, 7, 8, 9, 10]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef74261f1c0>],"['18', '18']"
14,,[28],"[[137, 174, 394, 198]]",15,[28],"[[139, 1087, 310, 1109]]","[UUID('7295a6d7-71c5-30b1-9c3c-b736dcd9d118'), UUID('b36dba8d-7b2b-399d-81f6-696937f7b8c8')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef741897c70>, <UAT_app.database.db_models.TableLogs object at 0x7ef7418973a0>]",['14']
15,,[28],"[[139, 1087, 310, 1109]]",16,[29],"[[139, 180, 340, 199]]",[UUID('7b98ff80-9f10-3681-bd50-970b30e8a3b8')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef741897f40>],['15']
16,,[29],"[[139, 180, 340, 199]]",17,[29],"[[139, 597, 314, 615]]",[UUID('879f3701-7f45-3b5e-bacb-d32beffc4d23')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744e8f880>],['16']
17,,[29],"[[139, 597, 314, 615]]",18,[30],"[[138, 177, 265, 198]]","[UUID('182187cc-6c8c-323b-b3e4-170a7c10abad'), UUID('507dc1a9-537b-35d9-8321-4cfd0bcd013d'), UUID('e19f8a8d-cc8c-32c3-ac72-2cf6fd11c1a7')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef743d93280>, <UAT_app.database.db_models.TableLogs object at 0x7ef7435ab730>, <UAT_app.database.db_models.TableLogs object at 0x7ef74261f1c0>]",['17']
19,,[30],"[[139, 485, 359, 505]]",20,[30],"[[139, 663, 222, 683]]",[UUID('7aa03053-da60-398e-9cbf-60d477e9d784')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7459e7b50>],['19']
20,,[30],"[[139, 663, 222, 683]]",21,[30],"[[141, 1109, 262, 1129]]",[UUID('4cbb0b7c-afde-3074-b4ae-b2fff802e5c1')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7459e7b80>],"['20', '20']"
21,,[30],"[[141, 1109, 262, 1129]]",22,[31],"[[137, 177, 251, 198]]","[UUID('5b3ebc05-30b4-3ae2-bd34-fab2908207ca'), UUID('b91ea78a-8e26-3800-9e83-0b0773ff61ce')]","[[0, 1, 2, 3, 4, 5, 6], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7ef743e4adc0>, <UAT_app.database.db_models.TableLogs object at 0x7efbfd719dc0>]","['21', '21']"
22,,[31],"[[137, 177, 251, 198]]",23,[31],"[[175, 276, 1079, 295]]",[UUID('b91ea78a-8e26-3800-9e83-0b0773ff61ce')],"[[3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7efbfd719dc0>],"['22', '22']"
23,,[31],"[[139, 844, 277, 867]]",24,[31],"[[141, 1256, 245, 1276]]",[UUID('87057971-659c-345b-a517-56fafaa19bf9')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744e75190>],['23']
24,,[31],"[[141, 1256, 245, 1276]]",25,[32],"[[138, 117, 285, 137]]",[UUID('c2a4eff7-ff4c-38a9-b10a-5ccb0c0ee8fb')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef744e75b80>],"['24', '24']"
5,,[25],"[[142, 180, 241, 201]]",6,[25],"[[144, 419, 314, 437]]",[UUID('14464a4e-fb2e-3acf-9671-563436a8311f')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7459e7520>],['5']
6,,[25],"[[144, 419, 314, 437]]",7,[25],"[[143, 518, 277, 538]]",[UUID('5c2a48d0-86c4-344c-9582-8735c0f70fbd')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7459e7970>],['6']
7,,[25],"[[143, 518, 277, 538]]",8,[25],"[[143, 736, 259, 756]]",[UUID('5c2a48d0-86c4-344c-9582-8735c0f70fbd')],"[[4, 5, 6, 7, 8, 9, 10, 11]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7459e7970>],['7']
8,,[25],"[[143, 736, 259, 756]]",9,[25],"[[144, 1053, 455, 1073]]",[UUID('89778259-e71c-3106-ba4d-62bcb2fdddbc')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7ef7432442e0>],['8']
