note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[29],"[[139, 800, 568, 828]]",8,[29],"[[135, 970, 570, 993]]",[],[],[],"['7', '7']"
8,,[29],"[[135, 970, 570, 993]]",9,[30],"[[145, 323, 445, 346]]",[UUID('2c38a857-423a-3d1c-9688-3dd6a2bf581b')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba8d6c4f0>],['8']
9,,[30],"[[145, 323, 445, 346]]",10,[30],"[[140, 619, 500, 643]]",[UUID('a66e24c0-afeb-3afa-a14e-254b4511238b')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf27e9a90>],['9']
11,,[30],"[[137, 789, 398, 810]]",12,[31],"[[151, 322, 657, 351]]",[UUID('10611135-4850-3fe3-a0f4-53639e28e420')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba8203280>],['11']
12,,[31],"[[151, 322, 657, 351]]",13,[32],"[[603, 1596, 621, 1614]]","[UUID('555f37b8-b3e0-37c6-8c3d-0d00c9a7c33c'), UUID('c27fe221-c45e-3049-8f27-e5128b8fc210')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba8d6c2b0>, <UAT_app.database.db_models.TableLogs object at 0x7fdba8d6c370>]","['12', '12']"
13,,[33],"[[148, 322, 557, 346]]",14,[34],"[[142, 588, 488, 615]]","[UUID('2bc606ad-f3fa-30c5-b3e3-db263d3e9c07'), UUID('0473b5fd-31b9-3f3f-9255-94e2bfebc738'), UUID('fb6d9d48-1326-38cc-96cf-d7f6f9563c37')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], [0, 1, 2, 3, 4, 5, 6, 7]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdaf5ee0c70>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf5ee0e50>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf5ee08e0>]",['13']
15,,[35],"[[149, 320, 504, 343]]",16,[35],"[[142, 654, 539, 677]]",[UUID('b8952839-050a-33da-9c73-e1b4a3d178b6')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba8203850>],['15']
16,,[35],"[[142, 654, 539, 677]]",17,[35],"[[134, 1136, 432, 1159]]",[UUID('fa0cf7bf-d38e-37cc-b955-16f493ec8913')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf5ee0130>],['16']
17,,[35],"[[134, 1136, 432, 1159]]",18,[35],"[[131, 1307, 575, 1332]]",[UUID('def8088f-87c7-3314-93cc-b92440c76ae5')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba8b7dc10>],['17']
18,,[35],"[[131, 1307, 575, 1332]]",19,[36],"[[149, 322, 574, 348]]",[UUID('d315cb25-bf79-30ac-a8dc-6e19257830ba')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6ef9dac0>],['18']
19,,[36],"[[149, 322, 574, 348]]",20,[36],"[[145, 493, 505, 514]]",[],[],[],['19']
20,,[36],"[[145, 493, 505, 514]]",21,[36],"[[141, 662, 474, 690]]",[],[],[],['20']
22,,[36],"[[138, 833, 463, 858]]",23,[37],"[[149, 314, 528, 337]]","[UUID('0781b5ca-e2df-3bd4-8f28-6f7197f55a48'), UUID('826c9f3b-912e-3f35-be83-26805c507e0a')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdba9a5ebe0>, <UAT_app.database.db_models.TableLogs object at 0x7fdba9a5e700>]",['22']
24,,[37],"[[146, 485, 542, 506]]",25,[37],"[[137, 986, 498, 1013]]",[UUID('7a908898-fa81-3535-a5e3-ea821f32f749')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba9a48d90>],['24']
25,,[37],"[[137, 986, 498, 1013]]",26,[38],"[[146, 319, 409, 343]]","[UUID('a4890994-96d7-3b95-98ad-ab00cd143e0b'), UUID('99f8b3fe-4fa0-3b82-bb29-42602a627e89')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdaf2cf61c0>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf2cf69d0>]",['25']
26,,[38],"[[146, 319, 409, 343]]",27,[38],"[[140, 654, 359, 679]]",[UUID('8df7e7a1-0c86-3717-bdec-ecf3f26d64a2')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba7706ca0>],['26']
28,,[38],"[[138, 823, 412, 848]]",29,[38],"[[134, 1055, 362, 1080]]",[UUID('504a1f7d-85b8-3e76-a013-c3411ad77c08')],"[[0, 1, 2, 3, 4, 5, 6]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf66dd8b0>],"['28', '28']"
