note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
8,,[25],"[[126, 215, 611, 241]]",9,[25],"[[127, 631, 640, 654]]",[UUID('b704474b-2af1-3120-af8c-750adb3f3b79')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fda6f15a970>],"['8', '8']"
9,,[25],"[[127, 631, 640, 654]]",10,[26],"[[134, 235, 478, 259]]",[UUID('6b9a5b4b-2b9d-36ee-8f4e-4e1406e1bcd2')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf6160b50>],['9']
11,,[27],"[[125, 213, 481, 240]]",12,[27],"[[125, 351, 1021, 374]]",[UUID('12e110b1-f717-32dd-869a-7b92812f87d6')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf61647c0>],['11']
10,,[26],"[[134, 235, 478, 259]]",11,[27],"[[125, 213, 481, 240]]",[UUID('501f626a-a2eb-3791-883e-3158f34a1c18')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba8207310>],"['10', '10', '10']"
21,,[34],"[[125, 1164, 380, 1192]]",22,[35],"[[125, 210, 395, 238]]",[UUID('5c8629a2-0239-3181-8f1f-c771370673cd')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba8207910>],"['21', '21']"
12,,[27],"[[127, 618, 547, 641]]",13,[28],"[[129, 212, 507, 233]]",[UUID('1bf87e5b-6d07-3bd9-bc64-988be8c85bee')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdf965e08e0>],['12']
13,,[28],"[[129, 212, 507, 233]]",14,[29],"[[126, 215, 758, 243]]",[UUID('e801a843-5c72-380a-80d6-bab245a44178')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba8d08d90>],['13']
14,,[29],"[[126, 215, 758, 243]]",15,[30],"[[125, 233, 662, 259]]",[UUID('a8a61837-63ef-38e5-b4c6-9467d2642e22')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdba82077c0>],['14']
15,,[30],"[[125, 233, 662, 259]]",16,[31],"[[124, 1105, 587, 1131]]","[UUID('864f9bc9-d8e0-31b9-b158-eefe841c0f8b'), UUID('464134c9-5e4c-3155-bfb1-e61f0fb533c0')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26], [0, 1, 2, 3]]","[<UAT_app.database.db_models.TableLogs object at 0x7fdaf61644c0>, <UAT_app.database.db_models.TableLogs object at 0x7fdaf6164400>]",['15']
20,,[34],"[[126, 215, 522, 241]]",21,[34],"[[125, 1164, 380, 1192]]",[UUID('343337b1-a8a7-3853-8d79-5298a5f933b4')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]]",[<UAT_app.database.db_models.TableLogs object at 0x7fdaf5e39280>],"['20', '20', '20']"
