note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
12,,[21],"[[105, 1182, 364, 1205]]",13,[22],"[[105, 134, 371, 156]]",[UUID('987f8151-ddc6-3cee-8a63-adfbd3e7831b')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4841cd90>],"['12', '12']"
13,,[22],"[[105, 134, 371, 156]]",14,[22],"[[105, 391, 322, 411]]",[UUID('f2f66539-c550-375d-a42e-2a9facc6e8d6')],"[[0, 1, 2, 3, 4, 5]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d4a191850>],['13']
10,,[20],"[[105, 730, 236, 751]]",11,[20],"[[105, 1101, 524, 1124]]","[UUID('33616f87-9f2c-3cbc-af18-bd1e62e16b99'), UUID('d4f8e18e-1d36-366a-a988-f8d0831f22e1')]","[[14, 15, 16, 17, 18, 19, 20], [0, 1, 2, 3, 4]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d4a191be0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d4a1913a0>]","['10', '10']"
14,,[22],"[[105, 391, 322, 411]]",15,[22],"[[105, 559, 248, 578]]",[UUID('cf57e0bb-3313-34d4-ab79-eef28ca9566c')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d47fa6a00>],['14']
15,,[22],"[[105, 559, 248, 578]]",16,[22],"[[104, 721, 391, 746]]",[UUID('38cf6da9-ed36-3414-ad6a-5b28b3e2c86c')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d47fa6310>],['15']
16,,[22],"[[104, 721, 391, 746]]",17,[23],"[[105, 476, 479, 501]]","[UUID('dd01dead-24fd-36f6-95e5-3833a13fa315'), UUID('2d0828cf-1e52-373e-9a58-b569672d1ffe')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d471ddf10>, <UAT_app.database.db_models.TableLogs object at 0x7f1d471dd040>]","['16', '16']"
17,,[23],"[[105, 476, 479, 501]]",18,[23],"[[105, 1297, 217, 1318]]","[UUID('45eaaff4-6b64-3d80-ad3b-8a1b4b69353b'), UUID('732fcc77-a505-3ec2-8af5-8191cf458dfe')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d47a96a60>, <UAT_app.database.db_models.TableLogs object at 0x7f1d47fa6bb0>]",['17']
18,,[23],"[[105, 1297, 217, 1318]]",19,[24],"[[105, 136, 429, 157]]",[UUID('07548bdf-a01c-340d-b212-267bcadb3493')],"[[0, 1, 2, 3, 4]]",[<UAT_app.database.db_models.TableLogs object at 0x7f1d47a96ee0>],['18']
11,,[21],"[[107, 396, 405, 416]]",12,[21],"[[105, 1182, 364, 1205]]","[UUID('d4638cdc-762e-3377-9dd0-db77840bfbf9'), UUID('181e5e7c-68a8-37fd-be66-77a5f0900ed9')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], [9, 10, 11, 12, 13, 14]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d471dd490>, <UAT_app.database.db_models.TableLogs object at 0x7f1d471ddb50>]","['11', '11', '11']"
11,,[20],"[[105, 1101, 524, 1124]]",12,[21],"[[105, 1182, 364, 1205]]","[UUID('d4f8e18e-1d36-366a-a988-f8d0831f22e1'), UUID('d4638cdc-762e-3377-9dd0-db77840bfbf9'), UUID('181e5e7c-68a8-37fd-be66-77a5f0900ed9')]","[[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]]","[<UAT_app.database.db_models.TableLogs object at 0x7f1d4a1913a0>, <UAT_app.database.db_models.TableLogs object at 0x7f1d471dd490>, <UAT_app.database.db_models.TableLogs object at 0x7f1d471ddb50>]",[]
